username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CFHSSkyDancers;2017-11-03 23:40;8;6;"Sky Dancer Dance Clinic- Dec 9! Perfect day to get some shopping done! Visit http:// cyfallsdance.com for more information and to register!!";;;;"926594954805248000";https://twitter.com/CFHSSkyDancers/status/926594954805248000
CFHSSkyDancers;2017-11-02 00:57;19;14;"Just in time for thanksgiving break!! Sky Dancers are selling Texas Roadhouse Rolls!! November 8th is last day of sales! Ask any SD! pic.twitter.com/3w4V52GeSV";;;;"925889689328017409";https://twitter.com/CFHSSkyDancers/status/925889689328017409
CFHSSkyDancers;2017-10-28 16:13;0;14;"Hey Jordi!! https:// twitter.com/cyfairjoel/sta tus/924301402154913793 …";;;;"924308041222279168";https://twitter.com/CFHSSkyDancers/status/924308041222279168
CFHSSkyDancers;2017-10-28 05:09;6;29;"25 Anniversary Pregame with our Alumni! pic.twitter.com/ns8vFIrdyd";;;;"924141053103525888";https://twitter.com/CFHSSkyDancers/status/924141053103525888
CFHSSkyDancers;2017-10-28 05:06;1;24;"Two Sky Dancer Charter Members were on the field with the Sky Dancers tonight! 1st graduating class of CFHS!! pic.twitter.com/VQMhFwW0Ae";;;;"924140309453426689";https://twitter.com/CFHSSkyDancers/status/924140309453426689
CFHSSkyDancers;2017-10-27 14:10;5;20;"Hoco parade! pic.twitter.com/4iFPoWEt7R";;;;"923914690719305730";https://twitter.com/CFHSSkyDancers/status/923914690719305730
CFHSSkyDancers;2017-10-25 23:54;7;22;"Character Day!! #hocoweek17 pic.twitter.com/2yJPOCgiz3";;;#hocoweek17;"923337040208556032";https://twitter.com/CFHSSkyDancers/status/923337040208556032
CFHSSkyDancers;2017-10-25 00:13;9;34;"Hawaiian day!! pic.twitter.com/NamUvKnJvu";;;;"922979352689733632";https://twitter.com/CFHSSkyDancers/status/922979352689733632
CFHSSkyDancers;2017-10-25 00:11;8;23;"Merica Monday!! #hoco2017 #25years pic.twitter.com/l5E3uQEEYD";;;#hoco2017 #25years;"922978869593993216";https://twitter.com/CFHSSkyDancers/status/922978869593993216
CFHSSkyDancers;2017-10-21 13:38;3;8;"pic.twitter.com/vsS3SK2EwN";;;;"921732317068046336";https://twitter.com/CFHSSkyDancers/status/921732317068046336
CFHSSkyDancers;2017-10-21 02:34;4;24;"Sky Dancer Alumni practice! Once a Sky Dancer always a Sky Dancer. These ladies haven't skipped a beat!! #theprofessionals pic.twitter.com/h1QViZMctl";;;#theprofessionals;"921565428383698944";https://twitter.com/CFHSSkyDancers/status/921565428383698944
CFHSSkyDancers;2017-10-21 02:33;1;12;"pic.twitter.com/JTg7PW78af";;;;"921565031665463296";https://twitter.com/CFHSSkyDancers/status/921565031665463296
CFHSSkyDancers;2017-10-20 23:39;6;34;"Check out our rockstar alumni that made it out to practice tonight! pic.twitter.com/1QH7gQjTfI";;;;"921521343308423168";https://twitter.com/CFHSSkyDancers/status/921521343308423168
CFHSSkyDancers;2017-10-19 21:24;2;7;"pic.twitter.com/y8nd9XHb3g";;;;"921124963293323265";https://twitter.com/CFHSSkyDancers/status/921124963293323265
CFHSSkyDancers;2017-10-17 10:20;6;6;"pic.twitter.com/Ifgt4wIdrd";;;;"920233157714202624";https://twitter.com/CFHSSkyDancers/status/920233157714202624
CFHSSkyDancers;2017-10-16 19:39;10;7;"2 days left to sign up! Don't miss out! pic.twitter.com/fU0Op8vep6";;;;"920011321130840064";https://twitter.com/CFHSSkyDancers/status/920011321130840064
CFHSSkyDancers;2017-10-13 03:48;3;10;"Shout out to the @CFGEMB for the homemade cookies!! Y'all are the best!! #thankyou #weareone";;@CFGEMB;#thankyou #weareone;"918684821861421056";https://twitter.com/CFHSSkyDancers/status/918684821861421056
CFHSSkyDancers;2017-10-13 03:41;3;13;"Congrats to our teacher of the week!!! Coach Stephenson.... the best volleyball coach around!! We love you!! pic.twitter.com/lDSy1f5slh";;;;"918683121159213056";https://twitter.com/CFHSSkyDancers/status/918683121159213056
CFHSSkyDancers;2017-10-06 15:02;1;11;"Congrats to our teacher of the week!!! pic.twitter.com/KdgMJYVzXG";;;;"916317870426075137";https://twitter.com/CFHSSkyDancers/status/916317870426075137
CFHSSkyDancers;2017-10-05 11:34;0;9;"pic.twitter.com/PFih1LaUDZ";;;;"915902966946770944";https://twitter.com/CFHSSkyDancers/status/915902966946770944
CFHSSkyDancers;2017-10-03 01:18;3;7;"Class of 2018!! It's Senior Big Head time!!! pic.twitter.com/G6iczMT6q3";;;;"915023235871252481";https://twitter.com/CFHSSkyDancers/status/915023235871252481
CFHSSkyDancers;2017-09-27 01:57;2;13;"Alumni 25th Anniversay shirts are on sale for $25; Pregame performance is $30 and includes football game ticket, shirt, and performance!";;;;"912858782618832896";https://twitter.com/CFHSSkyDancers/status/912858782618832896
CFHSSkyDancers;2017-09-26 22:53;7;6;"pic.twitter.com/JMEMNZZkiJ";;;;"912812477469089793";https://twitter.com/CFHSSkyDancers/status/912812477469089793
CFHSSkyDancers;2017-09-26 21:34;14;20;"Sky Dancer Alumni!! Join us during pre game!! pic.twitter.com/frHOG1ZXIV";;;;"912792572225101829";https://twitter.com/CFHSSkyDancers/status/912792572225101829
CFHSSkyDancers;2017-09-24 19:42;3;12;"Our boys have the best football coaches around!! Can't wait to see our eagles on Saturday against Lakes!! We are one!! https:// twitter.com/steel_coach/st atus/912034824373854213 …";;;;"912039607465861122";https://twitter.com/CFHSSkyDancers/status/912039607465861122
CFHSSkyDancers;2017-09-22 13:26;7;32;"Shout out to our amazing Sky Dancer AP! Happy Birthday Mr. Kratky!! pic.twitter.com/ggF0M3DCBD";;;;"911220045598150657";https://twitter.com/CFHSSkyDancers/status/911220045598150657
CFHSSkyDancers;2017-09-22 11:10;0;10;"Yay! Cy Falls Teachers wearing our Sky Dancer Spirit Shirt!! pic.twitter.com/eClQVkKqpU";;;;"911185825328746501";https://twitter.com/CFHSSkyDancers/status/911185825328746501
CFHSSkyDancers;2017-09-22 11:08;0;17;"Congrats to our Teacher of the Week Megan Brisker!!! pic.twitter.com/uRw8KiO0bK";;;;"911185510844035072";https://twitter.com/CFHSSkyDancers/status/911185510844035072
CFHSSkyDancers;2017-09-19 12:22;2;7;"pic.twitter.com/hjDnJMBubW";;;;"910116838545281024";https://twitter.com/CFHSSkyDancers/status/910116838545281024
CFHSSkyDancers;2017-09-16 13:04;1;30;"Check out our {amazing} Captain!!! https:// twitter.com/cyfairisd/stat us/908927790908678144 …";;;;"909040382880739328";https://twitter.com/CFHSSkyDancers/status/909040382880739328
CFHSSkyDancers;2017-09-16 03:17;18;45;"First halftime of the season! pic.twitter.com/YP363ZfOtr";;;;"908892530753843206";https://twitter.com/CFHSSkyDancers/status/908892530753843206
CFHSSkyDancers;2017-09-16 00:14;1;16;"Congrats to our girls of the week!!! pic.twitter.com/OWmZfK8wtF";;;;"908846560070512641";https://twitter.com/CFHSSkyDancers/status/908846560070512641
CFHSSkyDancers;2017-09-10 14:50;1;28;"Former Sky Dancers now Rangerettes, Elle and Alyssa at their first home game of the season! #otodfgfg pic.twitter.com/7LOP8fQFnK";;;#otodfgfg;"906892714356211712";https://twitter.com/CFHSSkyDancers/status/906892714356211712
CFHSSkyDancers;2017-09-01 22:30;5;23;"Sky Dancers helping out! #CFISDdancersgivingback pic.twitter.com/hwFAJbcNxV";;;#CFISDdancersgivingback;"903746929384976386";https://twitter.com/CFHSSkyDancers/status/903746929384976386
CFHSSkyDancers;2017-09-01 17:20;22;62;"CFISD Drill Teams working together to serve our community!! #CFISDdancersgivingback @cyfallshs @CFISD_FineArts pic.twitter.com/kvHrVWj8Me";;@cyfallshs @CFISD_FineArts;#CFISDdancersgivingback;"903668949807763457";https://twitter.com/CFHSSkyDancers/status/903668949807763457
CFHSSkyDancers;2017-09-01 13:42;6;11;"John Eagle Honda will be serving our community today and handing out care packages to anyone in need!Come one come all! 11-1pm https:// twitter.com/cyfallshs/stat us/903600235590668289 …";;;;"903614047689592832";https://twitter.com/CFHSSkyDancers/status/903614047689592832
CFHSSkyDancers;2017-08-31 01:00;24;33;"#CFISDdancersgiveback pic.twitter.com/4FwaYi8GBT";;;#CFISDdancersgiveback;"903059961655242752";https://twitter.com/CFHSSkyDancers/status/903059961655242752
CFHSSkyDancers;2017-08-26 15:16;0;12;"pic.twitter.com/jpcjtdRUOy";;;;"901463398759768064";https://twitter.com/CFHSSkyDancers/status/901463398759768064
CFHSSkyDancers;2017-08-05 13:59;9;26;"#sisters #otodfgfg #teambreakfast pic.twitter.com/MDWuzk2oNP";;;#sisters #otodfgfg #teambreakfast;"893833848651493377";https://twitter.com/CFHSSkyDancers/status/893833848651493377
CFHSSkyDancers;2017-08-04 02:31;2;18;"Huge thanks to these beautiful Sky Dancer Moms!! #executiveboard pic.twitter.com/75IZ70NWb5";;;#executiveboard;"893298268792377344";https://twitter.com/CFHSSkyDancers/status/893298268792377344
CFHSSkyDancers;2017-08-04 02:29;4;25;"#otodfgfg pic.twitter.com/h5Jg8evL1b";;;#otodfgfg;"893297771117252609";https://twitter.com/CFHSSkyDancers/status/893297771117252609
CFHSSkyDancers;2017-08-02 22:11;6;26;"We love @mayamccormick so much!!! Glad to have her back for a technique combo and leadership!! pic.twitter.com/AuAYRqQCVu";;@mayamccormick;;"892870383656939520";https://twitter.com/CFHSSkyDancers/status/892870383656939520
CFHSSkyDancers;2017-08-02 00:42;8;32;"Sky Dancers go bowling!! #bumpersplease pic.twitter.com/WjBEkLm56a";;;#bumpersplease;"892546059670519808";https://twitter.com/CFHSSkyDancers/status/892546059670519808
CFHSSkyDancers;2017-08-01 20:16;0;1;"Is there an alumni that has a pair of size 6 practice boots to donate to a newsie? #helpasisterout";;;#helpasisterout;"892479084344877056";https://twitter.com/CFHSSkyDancers/status/892479084344877056
CFHSSkyDancers;2017-08-01 20:00;6;26;"Former Sky Dancer Captain and current sophomore Rangerette Elle DePau came to camp to do kick technique with us today!! #otodfgfg pic.twitter.com/giRMwJlxmn";;;#otodfgfg;"892475033913839616";https://twitter.com/CFHSSkyDancers/status/892475033913839616
CFHSSkyDancers;2017-07-24 23:58;19;34;"Huge thanks to Claire Rogers, for coming to speak to us today!!! Day 1 of camp was a huge success!! #otodfgfg pic.twitter.com/MD5HaoH7re";;;#otodfgfg;"889636003086041088";https://twitter.com/CFHSSkyDancers/status/889636003086041088
CFHSSkyDancers;2017-07-24 23:02;1;8;"Thank you @LabayMS for letting us use your gym while @cyfallshs is under construction!!!";;@LabayMS @cyfallshs;;"889621917501620225";https://twitter.com/CFHSSkyDancers/status/889621917501620225
CFHSSkyDancers;2017-07-14 17:42;11;49;"Both of these lovely Sky Dancers had lucky #36 at Rangerette Try outs!! Congrats to Alyssa Moreno for making Rangerettes! pic.twitter.com/gX9RYW8qBD";;;#36;"885917476369952768";https://twitter.com/CFHSSkyDancers/status/885917476369952768
