username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Shilohmorales16;2017-11-03 23:53;0;0;"While my man is at the strip club my ass is staying home and bieng faithful";;;;"926598228493127682";https://twitter.com/Shilohmorales16/status/926598228493127682
Shilohmorales16;2017-10-29 05:18;0;1;"Gonna pay my parking ticket with a bunch of 1's";;;;"924505602583355394";https://twitter.com/Shilohmorales16/status/924505602583355394
Shilohmorales16;2017-10-28 16:45;0;1;"It's scientifically proven lol";;;;"924316299873931270";https://twitter.com/Shilohmorales16/status/924316299873931270
Shilohmorales16;2017-10-28 16:25;0;1;"Take Vitamins C gummies lol they help contain thottiness & boost your immune system";;;;"924311045841317890";https://twitter.com/Shilohmorales16/status/924311045841317890
Shilohmorales16;2017-10-28 02:55;0;0;"Damn hippos are ruthless https:// twitter.com/TheScaryNature /status/924086603940638726 …";;;;"924107399673212928";https://twitter.com/Shilohmorales16/status/924107399673212928
Shilohmorales16;2017-10-28 02:40;0;3;"To all my friends thotting it up tn, be safe, don't get sick and make sure to take a sweater hunny!";;;;"924103477730607104";https://twitter.com/Shilohmorales16/status/924103477730607104
Shilohmorales16;2017-10-28 02:38;0;1;"Guys that suck toes are doing everything right!";;;;"924103007544971265";https://twitter.com/Shilohmorales16/status/924103007544971265
Shilohmorales16;2017-10-26 03:55;0;0;"I just burned my mouth like 5 times trying to eat a hot ass empanada";;;;"923397717228969985";https://twitter.com/Shilohmorales16/status/923397717228969985
Shilohmorales16;2017-10-24 13:54;0;1;"I was gonna go to the gym but then I couldn't find parking so now I'm at home chillin with my roommates dog, I'll try again tomorow";;;;"922823715204644865";https://twitter.com/Shilohmorales16/status/922823715204644865
Shilohmorales16;2017-10-22 04:57;0;1;"Okay but what if I'm both ? https:// twitter.com/circle_fitness _/status/921649784569688064 …";;;;"921963575740166145";https://twitter.com/Shilohmorales16/status/921963575740166145
Shilohmorales16;2017-10-21 18:02;0;0;"I hope I meet my soulmate at a dog park lol";;;;"921798977732927488";https://twitter.com/Shilohmorales16/status/921798977732927488
Shilohmorales16;2017-10-21 17:38;1;0;"This weather is sooooo nice! I don't wanna spend it at work";;;;"921792853663277056";https://twitter.com/Shilohmorales16/status/921792853663277056
