username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ofmlagos;2017-11-03 23:58;3;5;"Worship is seeing God for who He really is—His power,His greatness,His holiness,His sovereignty,His love,and His compassion @ofmlagos pic.twitter.com/tYKIyAQdRi";;@ofmlagos;;"926599411433697281";https://twitter.com/ofmlagos/status/926599411433697281
ofmlagos;2017-11-03 23:31;1;2;"Worshiping in his presence @ofmlagos pic.twitter.com/Eey6MZvMW4";;@ofmlagos;;"926592809150316549";https://twitter.com/ofmlagos/status/926592809150316549
ofmlagos;2017-11-03 23:26;0;3;"Prayers By Pastor Ossy My Father My Father as I pray now, make me a solution to my generation @ofmlagos pic.twitter.com/SuGkb0eAjU";;@ofmlagos;;"926591507716608001";https://twitter.com/ofmlagos/status/926591507716608001
ofmlagos;2017-11-03 23:23;2;3;"Prayers led by Bro Kenneth My Father My Father,as I pray tonight,Lord pull me out of the company of impotent men and give me value @ofmlagos pic.twitter.com/yFkj2JbMJm";;@ofmlagos;;"926590710656139266";https://twitter.com/ofmlagos/status/926590710656139266
ofmlagos;2017-11-03 22:37;1;3;"Opening Prayers led by Bro Nicholas Imuse 1. My Father My Maker, as I begin to pray tonight by your mercy show me favour. @ofmlagos pic.twitter.com/tHIMVem6YY";;@ofmlagos;;"926579066714689536";https://twitter.com/ofmlagos/status/926579066714689536
ofmlagos;2017-11-03 22:27;1;4;"WELCOME TO OUR STATE FIRE NIGHT,AS YOU WORSHIP WITH US TONIGHT, AN UNEXPLAINABLE MIRACLE WILL HAPPEN TO YOU IN JESUS NAME. @ofmlagos pic.twitter.com/ePBKfv7OUN";;@ofmlagos;;"926576711671730176";https://twitter.com/ofmlagos/status/926576711671730176
ofmlagos;2017-11-03 13:56;3;8;"Join us tonight by 10PM for our Fire and Miracle Night With Rev Fidelis Ayemoba. God is interested in your matter, come with an Expectation. https:// twitter.com/ofmlagos/statu s/925239392230412289 …";;;;"926447912665731072";https://twitter.com/ofmlagos/status/926447912665731072
ofmlagos;2017-11-02 17:35;2;1;"https:// youtu.be/YXjjUT3JE90";;;;"926140788689571840";https://twitter.com/ofmlagos/status/926140788689571840
ofmlagos;2017-11-01 08:44;0;4;"HOLY GHOST ANTENATAL PREVIEW 02-11-2017 https:// youtu.be/S5TkqoniWVs via @YouTube";;@YouTube;;"925644688828362752";https://twitter.com/ofmlagos/status/925644688828362752
ofmlagos;2017-10-31 05:53;3;3;"FIRE AND MIRACLE NIGHT WITH REV FIDELIS AYEMOBA, TAGGED "THE EXPLAINABLE" PREVIEW: http:// youtu.be/H5mFc_O7Vr8?a via @YouTube";;@YouTube;;"925239392230412289";https://twitter.com/ofmlagos/status/925239392230412289
ofmlagos;2017-10-31 05:50;0;4;"FIRE AND MIRACLE NIGHT WITH REV FIDELIS AYEMOBA, TAGGED "THE EXPLAINABLE" IS THIS FRIDAY 3RD NOVEMBER 2017 BY 10 P.M. #Ofmlagos #SaveTheDATE pic.twitter.com/PyIUPhk2HB";;;#Ofmlagos #SaveTheDATE;"925238585242120192";https://twitter.com/ofmlagos/status/925238585242120192
ofmlagos;2017-10-29 17:46;0;4;"OFM LAGOS LIVE, MOMENT OF WORSHIP WITH REV FIDELIS AYEMOBA: http:// youtu.be/yNmxM0ni3ts?a via @YouTube";;@YouTube;;"924694021817151488";https://twitter.com/ofmlagos/status/924694021817151488
ofmlagos;2017-10-29 16:55;0;9;"OFM LAGOS LIVE, MOMENT OF WORSHIP WITH REV FIDELIS AYEMOBA https://www. pscp.tv/w/bMSuHzFxTGpH cG14WHFFSlp8MWxER0xBRHFORVpKbXPp_PqL5HsXuL-BTx2ZItV6F6MTJHaUPflmEsI6vhQK …";;;;"924681227851915264";https://twitter.com/ofmlagos/status/924681227851915264
ofmlagos;2017-10-29 10:34;0;4;"OFM LAGOS LIVE, SUNDAY SERVICE WITH REV FIDELIS AYEMOBA TAGGED "THERE IS A CHAMPION IN EVERY SEASON": http:// youtu.be/t70MJR109q0?a via";;;;"924585166412156929";https://twitter.com/ofmlagos/status/924585166412156929
ofmlagos;2017-10-29 08:49;1;8;"OFM LAGOS LIVE https://www. pscp.tv/w/bMQ8GjFxTGpH cG14WHFFSlp8MU95SkFkWFhZVm5HYmXppAxSVs1J_QfgSyIPMD568OkobR00nSZBVRxubcwe …";;;;"924558803542032384";https://twitter.com/ofmlagos/status/924558803542032384
ofmlagos;2017-10-25 10:36;2;7;"MOMENT OF WORSHIP IS HERE AGAIN!!! JOIN US THIS SUNDAY; 29 OCTOBER 2017 BY 4 P.M. ARE YOU A TRUE WORSHIPER? 4 DAYS TO GO pic.twitter.com/e58ngBXXPP";;;;"923136081905836032";https://twitter.com/ofmlagos/status/923136081905836032
ofmlagos;2017-10-22 10:12;1;1;"@ofmlagos pic.twitter.com/hbwuURv2SM";;@ofmlagos;;"922043004231340032";https://twitter.com/ofmlagos/status/922043004231340032
ofmlagos;2017-10-22 00:12;1;4;"OFM LAGOS LIVE, GRAND FINALE OF THE 6 NIGHTS OF DIVINE INTERVENTION#Day6ofRevivalNightwithRevFidelisAyemoba #Ofmlag … https://www. pscp.tv/w/bLqIYDFxTGpH cG14WHFFSlp8MWVhSmJxRUFSWVZHWJdRaqBtoNBSedUpgRaldsMolBgj0C8p08tdImDp54WC …";;;#Day6ofRevivalNightwithRevFidelisAyemoba #Ofmlag;"921891919604563968";https://twitter.com/ofmlagos/status/921891919604563968
ofmlagos;2017-10-21 02:18;0;2;"OFM LAGOS LIVE, 6 NIGHTS OF DIVINE INTERVENTION (DAY 5).: http:// youtu.be/WLGJ27YZsfQ?a via @YouTube";;@YouTube;;"921561364660973574";https://twitter.com/ofmlagos/status/921561364660973574
ofmlagos;2017-10-21 00:45;0;2;"OFM LAGOS LIVE, #Day5ofRevivalNightwithRevFidelisAyemoba #Tagged6NightofDivineIntervention #WomenfireNightOFM #Ofmlagos #Wealthyplace https:// twitter.com/ofmlagos/statu s/921537341864345601 …";;;#Day5ofRevivalNightwithRevFidelisAyemoba #Tagged6NightofDivineIntervention #WomenfireNightOFM #Ofmlagos #Wealthyplace;"921537856031641601";https://twitter.com/ofmlagos/status/921537856031641601
ofmlagos;2017-10-21 00:43;2;3;"https://www. pscp.tv/w/bLk-JjFxTGpH cG14WHFFSlp8MU9kS3JBcmJZcUF4WD8v8SPI2XjvkLNMTwJwh0kuLXv8DN6uNubdLQm4bP8v …";;;;"921537341864345601";https://twitter.com/ofmlagos/status/921537341864345601
ofmlagos;2017-10-20 01:52;1;3;"OFM LAGOS LIVE, 6 NIGHTS OF DIVINE INTERVENTION (DAY 4).: http:// youtu.be/6uK7pKIhzp0?a via @YouTube";;@YouTube;;"921192246707441666";https://twitter.com/ofmlagos/status/921192246707441666
ofmlagos;2017-10-20 01:23;0;3;"OFM LAGOS LIVE, 6 NIGHTS OF DIVINE INTERVENTION (DAY 4).: http:// youtu.be/vtaiGG3mU7s?a via @YouTube";;@YouTube;;"921185038988922880";https://twitter.com/ofmlagos/status/921185038988922880
ofmlagos;2017-10-19 23:57;0;3;"OFM LAGOS LIVE, 6 NIGHTS OF DIVINE INTERVENTION (DAY 4).: http:// youtu.be/urGhJ9iNlMg?a via @YouTube";;@YouTube;;"921163406819975173";https://twitter.com/ofmlagos/status/921163406819975173
ofmlagos;2017-10-19 23:50;2;10;"OFM LAGOS LIVE, 6 NIGHTS OF DIVINE INTERVENTION (DAY 4). #Day4ofRevivalNightwithRevFidelisAyemoba #Ofmlagos https://www. pscp.tv/w/bLfgOTFxTGpH cG14WHFFSlp8MXlOR2FWb3JFTGpKag1Zp2dfvF58wOZbWirfE3cP9VvnVayovFPM_2X2mMfM …";;;#Day4ofRevivalNightwithRevFidelisAyemoba #Ofmlagos;"921161611573911553";https://twitter.com/ofmlagos/status/921161611573911553
ofmlagos;2017-10-19 00:43;0;2;"@ofmlagos pic.twitter.com/pfKJ14fdaB";;@ofmlagos;;"920812522231533579";https://twitter.com/ofmlagos/status/920812522231533579
