username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
peculiargrrl;2017-11-03 23:56;0;6;"happy national sandwich day i just devoured a footlong and i feel disgusting";;;;"926598868350926860";https://twitter.com/peculiargrrl/status/926598868350926860
peculiargrrl;2017-11-03 23:11;0;3;"Ugh";;;;"926587620402057216";https://twitter.com/peculiargrrl/status/926587620402057216
peculiargrrl;2017-11-03 23:10;0;0;"^";;;;"926587531185000448";https://twitter.com/peculiargrrl/status/926587531185000448
peculiargrrl;2017-11-03 21:45;0;1;"i know right";;;;"926565920130109440";https://twitter.com/peculiargrrl/status/926565920130109440
peculiargrrl;2017-11-03 19:59;0;0;"god damn, least he’s ok";;;;"926539315156484096";https://twitter.com/peculiargrrl/status/926539315156484096
peculiargrrl;2017-11-03 16:46;1;6;"its in the way that u speak n what u say when ur heated";;;;"926490779069177857";https://twitter.com/peculiargrrl/status/926490779069177857
peculiargrrl;2017-11-03 16:07;0;3;"i am so tired of people";;;;"926481044123119616";https://twitter.com/peculiargrrl/status/926481044123119616
peculiargrrl;2017-11-03 03:18;0;4;"“IM straight edge so tht automatically makes me better than u”";;;;"926287354368790529";https://twitter.com/peculiargrrl/status/926287354368790529
peculiargrrl;2017-11-03 03:13;1;8;"Listen to wasted on you (ft. 93FEETOFSMOKE and KING CHRISTIAN) by familypet #np on #SoundCloud https:// soundcloud.com/familypet/wast ed-on-you-ft-93feetofsmoke-and-king-christian …";;;#np #SoundCloud;"926286065597669377";https://twitter.com/peculiargrrl/status/926286065597669377
peculiargrrl;2017-11-03 03:10;0;1;"Hey queen";;;;"926285316230705157";https://twitter.com/peculiargrrl/status/926285316230705157
peculiargrrl;2017-11-03 02:13;0;4;"“okay i have to tellcthe story after i smoke a bowl”";;;;"926271151021740033";https://twitter.com/peculiargrrl/status/926271151021740033
peculiargrrl;2017-11-03 02:03;0;0;"yeha";;;;"926268445544632320";https://twitter.com/peculiargrrl/status/926268445544632320
peculiargrrl;2017-11-03 02:02;0;1;"also? j right";;;;"926268351894245376";https://twitter.com/peculiargrrl/status/926268351894245376
peculiargrrl;2017-11-03 02:02;0;1;"me when **** told me he was gonna scoop when i was im town and i couldn’t say no";;;;"926268293333340165";https://twitter.com/peculiargrrl/status/926268293333340165
peculiargrrl;2017-11-03 02:02;0;1;"i";;;;"926268210902650881";https://twitter.com/peculiargrrl/status/926268210902650881
peculiargrrl;2017-11-03 01:06;1;3;"is literally on my wall now pic.twitter.com/pMnY7CKOUO";;;;"926254272982986752";https://twitter.com/peculiargrrl/status/926254272982986752
peculiargrrl;2017-11-03 01:05;0;2;"also i forgot to send that pic to @joshrefe i shoulda snapped u too";;@joshrefe;;"926254021077356544";https://twitter.com/peculiargrrl/status/926254021077356544
peculiargrrl;2017-11-03 01:05;0;1;"my mom in da background";;;;"926253945034600448";https://twitter.com/peculiargrrl/status/926253945034600448
peculiargrrl;2017-11-03 01:05;0;1;"HDOBCKDBD";;;;"926253923127713793";https://twitter.com/peculiargrrl/status/926253923127713793
peculiargrrl;2017-11-03 01:03;0;3;"Uhhhmmm";;;;"926253541085282304";https://twitter.com/peculiargrrl/status/926253541085282304
peculiargrrl;2017-11-03 01:00;0;5;"my twitter may as well jus b a joshrefe dedication page";;;;"926252812807409664";https://twitter.com/peculiargrrl/status/926252812807409664
peculiargrrl;2017-11-02 22:07;0;0;"no :(((";;;;"926209220210544640";https://twitter.com/peculiargrrl/status/926209220210544640
peculiargrrl;2017-11-02 15:18;1;8;"yeah i’m crying to joshrefe at school so what!!!";;;;"926106165804699648";https://twitter.com/peculiargrrl/status/926106165804699648
peculiargrrl;2017-11-02 14:40;0;4;"get the fuck away from me";;;;"926096696697901056";https://twitter.com/peculiargrrl/status/926096696697901056
peculiargrrl;2017-11-02 04:52;0;3;"youll probably walk right out the door";;;;"925948601653743616";https://twitter.com/peculiargrrl/status/925948601653743616
peculiargrrl;2017-11-02 04:50;0;2;"i’m scared of what might happen";;;;"925948267980115969";https://twitter.com/peculiargrrl/status/925948267980115969
peculiargrrl;2017-11-02 04:50;0;1;"@prudenthot omfg";;@prudenthot;;"925948182806360064";https://twitter.com/peculiargrrl/status/925948182806360064
peculiargrrl;2017-11-02 04:49;0;0;"Yeah U think is deep bruh?";;;;"925947831227179008";https://twitter.com/peculiargrrl/status/925947831227179008
peculiargrrl;2017-11-02 04:48;0;2;"BLDBDKX";;;;"925947701988085760";https://twitter.com/peculiargrrl/status/925947701988085760
peculiargrrl;2017-11-02 04:45;0;1;"Ur so deep";;;;"925946925463064576";https://twitter.com/peculiargrrl/status/925946925463064576
peculiargrrl;2017-11-02 04:43;0;1;"smdh";;;;"925946425237757952";https://twitter.com/peculiargrrl/status/925946425237757952
peculiargrrl;2017-11-02 04:43;0;1;":(";;;;"925946409219747845";https://twitter.com/peculiargrrl/status/925946409219747845
peculiargrrl;2017-11-02 03:00;0;2;"i hate goin on soundcloud";;;;"925920567823396866";https://twitter.com/peculiargrrl/status/925920567823396866
peculiargrrl;2017-11-02 00:13;0;0;"sending. hugs";;;;"925878460337319940";https://twitter.com/peculiargrrl/status/925878460337319940
peculiargrrl;2017-11-01 23:29;0;0;"i love u..";;;;"925867402855927808";https://twitter.com/peculiargrrl/status/925867402855927808
peculiargrrl;2017-11-01 23:25;1;5;"I Can B so basic it hurts pic.twitter.com/JFoEM63pUR";;;;"925866426921086979";https://twitter.com/peculiargrrl/status/925866426921086979
peculiargrrl;2017-11-01 23:20;0;0;"I LOVE U BXTCHHHH I AINT EVER GONNA STLP LOVIN U BXTCHHHHH";;;;"925865072752291843";https://twitter.com/peculiargrrl/status/925865072752291843
peculiargrrl;2017-11-01 23:17;0;0;"ohhh my goddddd my favorite";;;;"925864516952477696";https://twitter.com/peculiargrrl/status/925864516952477696
peculiargrrl;2017-11-01 23:11;0;1;"i know i also love that we all have the same filter like did u do that on purpose?";;;;"925862876237135872";https://twitter.com/peculiargrrl/status/925862876237135872
peculiargrrl;2017-11-01 23:05;1;7;"i love my family #refesquad pic.twitter.com/fexcjGjvZd";;;#refesquad;"925861466028244993";https://twitter.com/peculiargrrl/status/925861466028244993
peculiargrrl;2017-11-01 20:17;0;0;"https:// open.spotify.com/track/6AgtouHw 1KrKy1PsoLjY3o?si=fDZdAIl7QJK-rIHarUGwbA …";;;;"925819149527539712";https://twitter.com/peculiargrrl/status/925819149527539712
peculiargrrl;2017-10-31 03:59;0;5;"i hope @93feetofsmoke knows how fuckin much i love him and appreciate his music";;@93feetofsmoke;;"925210602959720448";https://twitter.com/peculiargrrl/status/925210602959720448
peculiargrrl;2017-10-31 03:57;0;3;"gettin sum damn mixed signals";;;;"925210089119735808";https://twitter.com/peculiargrrl/status/925210089119735808
peculiargrrl;2017-10-31 02:45;0;0;"just crying";;;;"925191858787151872";https://twitter.com/peculiargrrl/status/925191858787151872
peculiargrrl;2017-10-31 01:27;1;6;"Listen to Pieces of you float around like dust by window light (acoustic) by 93FEETOFSMOKE #np on #SoundCloud https:// soundcloud.com/93feetofsmoke/ pieces-of-you-float-around-like-dust-by-window-light-acoustic …";;;#np #SoundCloud;"925172438345945088";https://twitter.com/peculiargrrl/status/925172438345945088
peculiargrrl;2017-10-30 23:18;0;2;"PERFECT";;;;"925139889787686912";https://twitter.com/peculiargrrl/status/925139889787686912
peculiargrrl;2017-10-30 23:17;0;2;"die";;;;"925139564326539264";https://twitter.com/peculiargrrl/status/925139564326539264
peculiargrrl;2017-10-30 23:16;0;2;"im blocking U";;;;"925139427206336513";https://twitter.com/peculiargrrl/status/925139427206336513
peculiargrrl;2017-10-30 23:15;0;2;"honestly like i had my phone turned off and i turned it on and i had like 50 notifs idek wtf is going on";;;;"925139066806505472";https://twitter.com/peculiargrrl/status/925139066806505472
peculiargrrl;2017-10-30 20:06;0;0;"jeff";;;;"925091452719378439";https://twitter.com/peculiargrrl/status/925091452719378439
peculiargrrl;2017-10-30 19:22;1;8;"ima fuckin make sure that u die alone";;;;"925080610691076096";https://twitter.com/peculiargrrl/status/925080610691076096
peculiargrrl;2017-10-30 04:30;0;3;"i have so much to say";;;;"924856129343115264";https://twitter.com/peculiargrrl/status/924856129343115264
peculiargrrl;2017-10-30 04:29;0;8;"#NewProfilePic pic.twitter.com/XLTPJFsmfs";;;#NewProfilePic;"924855782780305408";https://twitter.com/peculiargrrl/status/924855782780305408
peculiargrrl;2017-10-29 17:59;0;2;"holy shit https:// twitter.com/n04hz_ark/stat us/924484741641879554 …";;;;"924697139250434048";https://twitter.com/peculiargrrl/status/924697139250434048
peculiargrrl;2017-10-29 03:34;0;1;"i went dry fucking givin chances";;;;"924479636570099712";https://twitter.com/peculiargrrl/status/924479636570099712
peculiargrrl;2017-10-29 03:34;1;3;"Listen to hmu say wsup hope ur ok, ok (prod. 4evr + 93) by 93FEETOFSMOKE #np on #SoundCloud https:// soundcloud.com/93feetofsmoke/ hmu-say-wassup-hope-ur-ok-ok-prod-4evr-93 …";;;#np #SoundCloud;"924479570291707905";https://twitter.com/peculiargrrl/status/924479570291707905
peculiargrrl;2017-10-28 14:20;0;3;"KICKED IN THE CORNER NECK BURNS WHILE THEY STARE NUMB";;;;"924279676691976192";https://twitter.com/peculiargrrl/status/924279676691976192
peculiargrrl;2017-10-28 14:19;1;8;"do what u wanna do u kno i trust u";;;;"924279425654550528";https://twitter.com/peculiargrrl/status/924279425654550528
peculiargrrl;2017-10-27 02:46;0;2;"never had so much rage in my fucking soul look me in my eyes and lie until the case is cold";;;;"923742559310139392";https://twitter.com/peculiargrrl/status/923742559310139392
peculiargrrl;2017-10-26 18:50;0;0;"i hate you";;;;"923622762408792064";https://twitter.com/peculiargrrl/status/923622762408792064
peculiargrrl;2017-10-26 17:50;0;0;"this tweet has been Deleted.";;;;"923607741347827714";https://twitter.com/peculiargrrl/status/923607741347827714
peculiargrrl;2017-10-26 17:39;0;0;"This tweet has been deleted.";;;;"923605113545117696";https://twitter.com/peculiargrrl/status/923605113545117696
peculiargrrl;2017-10-26 03:41;2;4;"send lots of love to @93feetofsmoke tonight";;@93feetofsmoke;;"923394226133626881";https://twitter.com/peculiargrrl/status/923394226133626881
peculiargrrl;2017-10-26 01:02;0;1;"Listen to Dazin Bed by King Christian #np on #SoundCloud https:// soundcloud.com/refeboykc/dazi n-bed …";;;#np #SoundCloud;"923354067354701827";https://twitter.com/peculiargrrl/status/923354067354701827
peculiargrrl;2017-10-25 04:34;0;0;"xo";;;;"923045010446192641";https://twitter.com/peculiargrrl/status/923045010446192641
peculiargrrl;2017-10-25 04:33;1;10;"me, part 2 pic.twitter.com/d2S31G6Skz";;;;"923044832116969478";https://twitter.com/peculiargrrl/status/923044832116969478
peculiargrrl;2017-10-25 04:33;0;0;"thank you love";;;;"923044722515566592";https://twitter.com/peculiargrrl/status/923044722515566592
peculiargrrl;2017-10-25 04:32;0;0;"FUCK I TWEETED THE WRONG ONE";;;;"923044510048845824";https://twitter.com/peculiargrrl/status/923044510048845824
peculiargrrl;2017-10-25 04:20;0;1;"good tweet";;;;"923041619754004480";https://twitter.com/peculiargrrl/status/923041619754004480
peculiargrrl;2017-10-25 04:19;0;6;"please please please let me get what i want";;;;"923041199237279744";https://twitter.com/peculiargrrl/status/923041199237279744
peculiargrrl;2017-10-25 01:24;0;2;"ur stupid as shit";;;;"922997231413747712";https://twitter.com/peculiargrrl/status/922997231413747712
peculiargrrl;2017-10-25 01:23;0;0;"fuck";;;;"922997058323091456";https://twitter.com/peculiargrrl/status/922997058323091456
peculiargrrl;2017-10-24 15:41;1;6;"i fell in luv w an online freak";;;;"922850586281828352";https://twitter.com/peculiargrrl/status/922850586281828352
peculiargrrl;2017-10-24 15:37;0;0;"ill forget ur face though my love remains";;;;"922849552897593345";https://twitter.com/peculiargrrl/status/922849552897593345
peculiargrrl;2017-10-22 21:36;0;1;"thanks";;;;"922215194973089793";https://twitter.com/peculiargrrl/status/922215194973089793
peculiargrrl;2017-10-22 16:59;0;2;"I ! Love you";;;;"922145289208811527";https://twitter.com/peculiargrrl/status/922145289208811527
peculiargrrl;2017-10-22 08:22;1;3;"kno the pains a bundle kno ur still sore";;;;"922015399671189504";https://twitter.com/peculiargrrl/status/922015399671189504
peculiargrrl;2017-10-22 08:22;0;1;"how the fuck did this all happen";;;;"922015358000812033";https://twitter.com/peculiargrrl/status/922015358000812033
peculiargrrl;2017-10-22 05:03;0;2;"REAL HIGH LIKE ITS NEW TO ME";;;;"921965243567411200";https://twitter.com/peculiargrrl/status/921965243567411200
peculiargrrl;2017-10-21 04:24;0;0;"i’m in Luv";;;;"921593077856423937";https://twitter.com/peculiargrrl/status/921593077856423937
