username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wilkojhb;2017-11-03 23:59;0;1;"Es mucho para mi pobre corazón";;;;"926599743442178050";https://twitter.com/wilkojhb/status/926599743442178050
wilkojhb;2017-11-03 23:57;0;1;"I love it @sammywilk and @DerekLuh #PublicFigure https:// soundcloud.com/derekluh/publi c-figure-feat-sammy-wilk …";;@sammywilk @DerekLuh;#PublicFigure;"926599323693043712";https://twitter.com/wilkojhb/status/926599323693043712
wilkojhb;2017-11-03 23:45;0;0;"IM SHOCKED TYSM, BOYS @sammywilk @DerekLuh #PublicFigure pic.twitter.com/AhtERXwZSU";;@sammywilk @DerekLuh;#PublicFigure;"926596252292255745";https://twitter.com/wilkojhb/status/926596252292255745
wilkojhb;2017-11-03 23:43;0;0;"OMG SAMMY Y DEREK FAVED ME";;;;"926595635335323650";https://twitter.com/wilkojhb/status/926595635335323650
wilkojhb;2017-11-03 23:29;2;31;"That song is I LOVE IT @sammywilk @DerekLuh #PublicFigure pic.twitter.com/7Bumszw8DV";;@sammywilk @DerekLuh;#PublicFigure;"926592223495507975";https://twitter.com/wilkojhb/status/926592223495507975
wilkojhb;2017-11-03 23:28;0;0;"Derek faved me";;;;"926591826093584387";https://twitter.com/wilkojhb/status/926591826093584387
wilkojhb;2017-11-03 23:20;0;0;"Is amazing. Good job, my boys";;;;"926589807786065920";https://twitter.com/wilkojhb/status/926589807786065920
wilkojhb;2017-11-03 23:19;0;3;"My new favorite song is #PublicFigure by @sammywilk & @DerekLuh That song is";;@sammywilk @DerekLuh;#PublicFigure;"926589724940218368";https://twitter.com/wilkojhb/status/926589724940218368
wilkojhb;2017-11-03 22:31;0;0;"#PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure";;;#PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure #PublicFigure;"926577670762180608";https://twitter.com/wilkojhb/status/926577670762180608
wilkojhb;2017-11-03 22:29;0;0;"Yaaaaaas #PublicFigure";;;#PublicFigure;"926577140778356737";https://twitter.com/wilkojhb/status/926577140778356737
wilkojhb;2017-11-03 22:29;0;0;"Need a #PublicFigure ‘s video @sammywilk @DerekLuh";;@sammywilk @DerekLuh;#PublicFigure;"926577025355337728";https://twitter.com/wilkojhb/status/926577025355337728
wilkojhb;2017-11-03 22:16;0;0;"THAT SONG IS DOPE";;;;"926573783032434695";https://twitter.com/wilkojhb/status/926573783032434695
wilkojhb;2017-11-03 22:15;0;0;"EVERYONE GO LISTEN #PublicFigure of my boys @DerekLuh @sammywilk on SoundCloud https:// soundcloud.com/derekluh/publi c-figure-feat-sammy-wilk …";;@DerekLuh @sammywilk;#PublicFigure;"926573698915667969";https://twitter.com/wilkojhb/status/926573698915667969
wilkojhb;2017-11-03 22:14;0;0;"‘Public figure’ of my boys @sammywilk and @DerekLuh is my new favorite song #PublicFigure pic.twitter.com/IR1LTDYMJj";;@sammywilk @DerekLuh;#PublicFigure;"926573277253984256";https://twitter.com/wilkojhb/status/926573277253984256
wilkojhb;2017-11-02 21:35;0;0;"Give me the black hoodie";;;;"926201037890969600";https://twitter.com/wilkojhb/status/926201037890969600
wilkojhb;2017-11-02 21:33;0;0;"Can’t wait";;;;"926200675775729665";https://twitter.com/wilkojhb/status/926200675775729665
wilkojhb;2017-11-02 21:33;0;0;"You should give me a hoodie";;;;"926200574747578371";https://twitter.com/wilkojhb/status/926200574747578371
wilkojhb;2017-11-02 19:18;0;0;"@mamawilk4 love u, mom";;@mamawilk4;;"926166694216765440";https://twitter.com/wilkojhb/status/926166694216765440
wilkojhb;2017-11-02 19:12;0;0;"U give me a hoodie https:// twitter.com/sammywilk/stat us/926164621156687872 …";;;;"926165067644702722";https://twitter.com/wilkojhb/status/926165067644702722
wilkojhb;2017-11-02 19:11;0;0;"You give me a hoodie";;;;"926164800333406209";https://twitter.com/wilkojhb/status/926164800333406209
wilkojhb;2017-11-02 18:59;0;0;"Lmao";;;;"926161934608723969";https://twitter.com/wilkojhb/status/926161934608723969
wilkojhb;2017-11-02 18:16;0;0;"Same";;;;"926150916671229958";https://twitter.com/wilkojhb/status/926150916671229958
