username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Kevindogluver;2017-08-18 21:14;0;0;"https:// twitter.com/Kevindogluver/ status/898269161079656449 …";;;;"898654295603658753";https://twitter.com/Kevindogluver/status/898654295603658753;AnaaisLEC,BarbMuenchen
GeorgeA48790149;2017-08-18 19:13;0;0;"God bless our President and our Country.";;;;"898623968722116608";https://twitter.com/GeorgeA48790149/status/898623968722116608;AnaaisLEC
doublel71;2017-08-18 12:42;0;0;"RADICAL ISLAM & RADICAL DEMOCRATICS WHAT'S THE DIFFERENCE?";;;;"898525472912551938";https://twitter.com/doublel71/status/898525472912551938;AnaaisLEC,lindaspracia12
doublel71;2017-08-18 12:40;0;0;"RADICAL DEMOCRATICS AND RADICAL ISLAM WHAT'S THE DIFFERENCE. MAGA";;;;"898524986306174977";https://twitter.com/doublel71/status/898524986306174977;AnaaisLEC,lindaspracia12
jaubergine1;2017-08-17 05:13;1;0;"@seanhannity @SebGorka @POTUS @THEHermanCain @jessebwatters @JudgeJeanine @rushlimbaugh @TheFive @foxandfriends @foxheadlines THIS IS EPIC!";;@seanhannity @SebGorka @POTUS @THEHermanCain @jessebwatters @JudgeJeanine @rushlimbaugh @TheFive @foxandfriends @foxheadlines;;"898050243580887040";https://twitter.com/jaubergine1/status/898050243580887040;AnaaisLEC
Patrici89635327;2017-08-17 03:32;1;1;"Now that's funny";;;;"898024646368518144";https://twitter.com/Patrici89635327/status/898024646368518144;AnaaisLEC,BarbMuenchen
LeaWoodford;2017-08-17 03:28;0;0;"AnaaisLEC , thanks for following me! Check out my site here: http://www. smartfem.com We are always looking for great stories!";;;;"898023719733473280";https://twitter.com/LeaWoodford/status/898023719733473280;
SABrown1962;2017-08-17 03:13;0;0;"I smell a little shame oozing out";;;;"898019804845617152";https://twitter.com/SABrown1962/status/898019804845617152;AnaaisLEC
DealerDonnieR;2017-08-17 03:07;0;1;"Here's another more recent one that might interest you. pic.twitter.com/BoejyRglEC";;;;"898018396557762561";https://twitter.com/DealerDonnieR/status/898018396557762561;AnaaisLEC,BarbMuenchen
bobshell1968;2017-08-17 02:56;0;0;"@cnnbrk @HillaryClinton @ChelseaClinton @ChuckySchumer @MSN @MSNBC @POTUS44 @BLMNational hmm all of unamerican idiots #maga";;@cnnbrk @HillaryClinton @ChelseaClinton @ChuckySchumer @MSN @MSNBC @POTUS44 @BLMNational;#maga;"898015611921600512";https://twitter.com/bobshell1968/status/898015611921600512;AnaaisLEC,BarbMuenchen
vanderfk;2017-08-17 00:14;0;0;"Not PC. He should have anyway.What's he got to lose? MSM crucifies either way.";;;;"897974853483081729";https://twitter.com/vanderfk/status/897974853483081729;JerseyJim2,AnaaisLEC,BarbMuenchen
Linda97157;2017-08-16 19:00;0;0;"Demented. Period.";;;;"897895919764611073";https://twitter.com/Linda97157/status/897895919764611073;AnaaisLEC,BarbMuenchen
Carlton92639115;2017-08-16 18:53;0;0;"That's a good thought";;;;"897894211906916352";https://twitter.com/Carlton92639115/status/897894211906916352;AnaaisLEC
MikeSevers4;2017-08-16 17:52;0;0;"the true hate is from the godless left";;;;"897878789832810496";https://twitter.com/MikeSevers4/status/897878789832810496;AnaaisLEC
MikeSevers4;2017-08-16 17:51;0;0;"The left thugs blm and antifa are slithering communists, the msm are fellow travelers";;;;"897878537281163269";https://twitter.com/MikeSevers4/status/897878537281163269;AnaaisLEC
Patrici89635327;2017-08-16 14:42;0;0;"I made a remark and Twitter is not letting it go through saying I already said that! I'm allfor shipping them off!";;;;"897830863056056322";https://twitter.com/Patrici89635327/status/897830863056056322;AnaaisLEC,BarbMuenchen
Patrici89635327;2017-08-16 14:39;0;0;"I will vote for that!";;;;"897830265812287489";https://twitter.com/Patrici89635327/status/897830265812287489;AnaaisLEC,BarbMuenchen
GloriaJ4Trump;2017-08-16 14:29;0;0;"Are gonna take Jefferson off the 20$ bill";;;;"897827740732338177";https://twitter.com/GloriaJ4Trump/status/897827740732338177;AnaaisLEC,BarbMuenchen
Akito__Tenkawa;2017-08-16 11:18;0;0;"Here's some history. pic.twitter.com/VinhaTraVB";;;;"897779624402407424";https://twitter.com/Akito__Tenkawa/status/897779624402407424;AnaaisLEC,BarbMuenchen
Blogbuster4u2;2017-08-16 11:14;0;0;"Make no mistake we are in the middle of a Civil War and Fake News tipped the scales so this would happen. pic.twitter.com/mIxiKrJYu5";;;;"897778708857077760";https://twitter.com/Blogbuster4u2/status/897778708857077760;AnaaisLEC,BarbMuenchen
JewishRed;2017-08-16 11:02;0;0;"And they respond he deserved it though";;;;"897775561468239872";https://twitter.com/JewishRed/status/897775561468239872;AnaaisLEC,BarbMuenchen
Carlton92639115;2017-08-16 11:02;0;0;"The worst finally come out of his mouth I don't know what took him so long";;;;"897775495273689088";https://twitter.com/Carlton92639115/status/897775495273689088;AnaaisLEC,BarbMuenchen
ibrahim96075149;2017-08-16 03:13;0;0;"@AnaaisLEC hi";;@AnaaisLEC;;"897657585830154242";https://twitter.com/ibrahim96075149/status/897657585830154242;
ConserveJayne12;2017-08-16 01:08;0;0;"Laughing aloud literally";;;;"897626034606092288";https://twitter.com/ConserveJayne12/status/897626034606092288;AnaaisLEC,BarbMuenchen
CigarWrappers;2017-08-15 22:47;0;0;"Check out our parody, “Illegal Immigrant Song” (to Led Zep’s “Immigrant Song”). Spread the word! https://www. youtube.com/watch?v=nSO-jY 0OWL8 …";;;;"897590699624812544";https://twitter.com/CigarWrappers/status/897590699624812544;AnaaisLEC
lorraineallison;2017-08-15 19:00;3;6;"Yes. Let's buy MaryAnne Marsh a one way ticket to the Arctic where she can become chief spokesperson for plight of penguins and polar bears.";;;;"897533519555043328";https://twitter.com/lorraineallison/status/897533519555043328;AnaaisLEC,BarbMuenchen
HarryBurleson;2017-08-15 13:44;0;0;"Folks Please consider Retweeting this Tweet.Gets the word out who was Responsible for the Debacle in Charlottesville! Drain the Swamp";;;;"897453831314825216";https://twitter.com/HarryBurleson/status/897453831314825216;AnaaisLEC,BarbMuenchen
JulioZ32;2017-08-15 01:44;0;0;"@BarbMuenchen It's no longer the Democrat party, it's now the communist party.";;@BarbMuenchen;;"897272698140676097";https://twitter.com/JulioZ32/status/897272698140676097;AnaaisLEC
tasmith0013;2017-08-14 14:54;1;6;"Lets not forget this is about globalization, power and money. Republicans are all in as well. DJT is up against insurmountable odds.";;;;"897109197183234048";https://twitter.com/tasmith0013/status/897109197183234048;AnaaisLEC,BarbMuenchen
Emaxx2044;2017-08-14 14:40;1;1;"Until all American see it this way, nothing will change";;;;"897105562038665217";https://twitter.com/Emaxx2044/status/897105562038665217;AnaaisLEC,OxleyMaryann
DasOschi;2017-08-14 14:34;0;0;"@AnaaisLEC looks cute but is brain dead, trump ha pfu";;@AnaaisLEC;;"897104143403425793";https://twitter.com/DasOschi/status/897104143403425793;
