username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
ErickSvalinn;2017-10-18 10:45;0;0;"School Idol Festival";;;;"920601811664408576";https://twitter.com/ErickSvalinn/status/920601811664408576;_Andrea_Day_
Rodrigosu;2017-10-16 03:28;0;1;"Clash Royale";;;;"919766989786279936";https://twitter.com/Rodrigosu/status/919766989786279936;_Andrea_Day_
Emicorleone;2017-10-09 23:45;0;0;"Hermooosooss!! Donde lo compraste";;;;"917536532881342464";https://twitter.com/Emicorleone/status/917536532881342464;_Andrea_Day_
Rodrigosu;2017-10-06 12:54;0;0;"hahaha! Pero mujer!! xD Hay que armarlo!";;;;"916285470719520768";https://twitter.com/Rodrigosu/status/916285470719520768;_Andrea_Day_
Rockko64;2017-09-26 23:54;0;0;"cuál era ese?";;;;"912827673424072704";https://twitter.com/Rockko64/status/912827673424072704;_Andrea_Day_
Panda_Austen;2017-09-20 23:25;0;1;"Ojalá no sea la segunda :(";;;;"910646125304180736";https://twitter.com/Panda_Austen/status/910646125304180736;_Andrea_Day_
el_gR;2017-09-17 01:29;0;0;"Está re entretenido, pero pide mucha maquina donde está tan mal optimizado";;;;"909227880827236352";https://twitter.com/el_gR/status/909227880827236352;_Andrea_Day_
Emicorleone;2017-09-11 21:54;0;1;"Mejor ni meterse";;;;"907361703351988224";https://twitter.com/Emicorleone/status/907361703351988224;_Andrea_Day_
HRamclav;2017-09-11 21:39;0;1;"No pierdas la esperanza. Estoy seguro que encontrarás una pega donde te valoraran y respetaran profesionalmente";;;;"907358037916217344";https://twitter.com/HRamclav/status/907358037916217344;_Andrea_Day_
HRamclav;2017-09-11 21:37;0;0;"A lo mejor es el lugar donde son muy anticuados/machistas.";;;;"907357464106094593";https://twitter.com/HRamclav/status/907357464106094593;_Andrea_Day_
HRamclav;2017-09-11 21:28;0;1;"Que paja que aún hay empresas q culturalmente no respetan la equidad de genero. Ojalá que cambien pronto esto con las nuevas generaciones";;;;"907355273177833472";https://twitter.com/HRamclav/status/907355273177833472;_Andrea_Day_
rolandoando_;2017-09-07 22:52;0;1;"pic.twitter.com/keNCsoyzkT";;;;"905926858918830080";https://twitter.com/rolandoando_/status/905926858918830080;Rodrigosu,TheSaint,_Andrea_Day_
KrisMactavish;2017-09-05 18:31;0;0;"Ya, vale";;;;"905136445052133378";https://twitter.com/KrisMactavish/status/905136445052133378;_Andrea_Day_
KrisMactavish;2017-09-05 18:17;0;0;"Aaaah xD";;;;"905132881210740736";https://twitter.com/KrisMactavish/status/905132881210740736;_Andrea_Day_
KrisMactavish;2017-09-05 18:17;0;0;"Ooh, verdad que salió el 2, creo que ese no lo he jugado";;;;"905132820997263360";https://twitter.com/KrisMactavish/status/905132820997263360;_Andrea_Day_
KrisMactavish;2017-09-05 18:16;0;0;"Manso juego, ya lo terminé";;;;"905132577610182657";https://twitter.com/KrisMactavish/status/905132577610182657;_Andrea_Day_
DonFilofio;2017-09-02 19:05;0;1;"HOLY SHIT";;;;"904057829820129281";https://twitter.com/DonFilofio/status/904057829820129281;_Andrea_Day_
HRamclav;2017-09-01 00:39;0;1;"Tirando pinta ;) bien ahí";;;;"903417060369330178";https://twitter.com/HRamclav/status/903417060369330178;_Andrea_Day_
Madtinaa;2017-08-23 23:57;0;1;"Fez (?) Teslagsda(?) Mschinarium(?) Esos son cortos, pero entretes";;;;"900507299944464384";https://twitter.com/Madtinaa/status/900507299944464384;_Andrea_Day_
DonFilofio;2017-08-23 20:45;0;1;"De allá somos";;;;"900458927762100227";https://twitter.com/DonFilofio/status/900458927762100227;_Andrea_Day_,TheSaint
TheSaint;2017-08-23 17:43;0;1;"Esa reacción fue sin ver el video todavía";;;;"900413181977395200";https://twitter.com/TheSaint/status/900413181977395200;Massytero,_Andrea_Day_
Massytero;2017-08-23 17:40;0;1;"Le hablé por fb solo porque no encontraba su reacción XD";;;;"900412557034500097";https://twitter.com/Massytero/status/900412557034500097;_Andrea_Day_,TheSaint
viztorhugo;2017-08-23 14:12;0;0;"AL TETO";;;;"900360133510701057";https://twitter.com/viztorhugo/status/900360133510701057;_Andrea_Day_
viztorhugo;2017-08-17 13:20;0;3;"pero si saben que me gustan los rusiesitos. además me acuerdo que él me cantaba mon laferte cuando rankeabamos jajajajajaja pic.twitter.com/yUdnHDVSnE";;;;"898172710211260417";https://twitter.com/viztorhugo/status/898172710211260417;rolandoando_,_Andrea_Day_
rolandoando_;2017-08-17 13:18;0;0;"Te van a echar lo perroh del amor";;;;"898172165836726272";https://twitter.com/rolandoando_/status/898172165836726272;_Andrea_Day_,viztorhugo
viztorhugo;2017-08-17 13:08;0;0;"y después nos vamos por ahí MmmmmmmmmmmmMMmMMMmMMm ya mejor juntémonos el otro viernes";;;;"898169619227320322";https://twitter.com/viztorhugo/status/898169619227320322;_Andrea_Day_,TheSaint
viztorhugo;2017-08-17 01:51;0;0;"ya entonces lo pateamos pal otro viernes santitos ?¿";;;;"897999397652508672";https://twitter.com/viztorhugo/status/897999397652508672;Rodrigosu,_Andrea_Day_
