username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
JulesKemper;2017-05-01 08:26;0;0;"Da quando ha annunciato l'alleanza con Forza Italia";;;;"858960834067922944";https://twitter.com/JulesKemper/status/858960834067922944;mattinodinapoli,AnnaRoman0
JulesKemper;2017-04-28 06:50;0;0;"Il tuo posto da #Amici è quello da tronista, racconta il flusso di denaro alle #ONG";;;#Amici #ONG;"857849518364250113";https://twitter.com/JulesKemper/status/857849518364250113;giusmo1,AnnaRoman0
UomodiMelma;2017-04-27 13:16;0;0;"Cioè alla Rai vi perculate da soli? Meravigliosi!";;;;"857584233732329473";https://twitter.com/UomodiMelma/status/857584233732329473;RaiRadio2,AnnaRoman0
grandeleo020975;2017-04-25 17:54;0;0;"Hey @AnnaRoman0 @Rosalvati @ArciFalciano thanks for being top new followers this week! Much appreciated :)";;@AnnaRoman0 @Rosalvati @ArciFalciano;;"856929514647060483";https://twitter.com/grandeleo020975/status/856929514647060483;
Andrea92605;2017-04-22 12:54;0;0;"Concordo! Ma non credo facciano tanta cassa con mertens! Soprattutto se butti 18mln per pavoletti e 25mln per maksimovic!";;;;"855766811173937152";https://twitter.com/Andrea92605/status/855766811173937152;JulesKemper,Gazzetta_it,AnnaRoman0
JulesKemper;2017-04-22 12:39;0;0;"#Insigne rimane #Mertens parte per far cassa";;;#Insigne #Mertens;"855763004645928960";https://twitter.com/JulesKemper/status/855763004645928960;Gazzetta_it,AnnaRoman0
JulesKemper;2017-04-19 06:24;0;0;"Gli ammerriggani non sono vaccinato al morbillo?";;;;"854581383989276672";https://twitter.com/JulesKemper/status/854581383989276672;ultimenotizie,AnnaRoman0
ciopheca;2017-04-14 16:03;0;0;"Berlusconi avrebbe venduto il Milan?";;;;"852915203855568896";https://twitter.com/ciopheca/status/852915203855568896;Sport_Mediaset,AnnaRoman0
MauroLisanti;2017-04-13 18:17;0;0;"Fottuta infame...";;;;"852586654535753728";https://twitter.com/MauroLisanti/status/852586654535753728;AcK_c_u,Joe911S
AcK_c_u;2017-04-13 12:01;2;0;"Niente RT? @Joe911S @matteosalvinimi @borghi_claudio @SegatDavide @MauroLisanti @AnnaRoman0 @Luca_Mussati @giek2 https:// video.twimg.com/ext_tw_video/8 52204216898781186/pu/vid/640x360/up6d1ywbyDRqkVns.mp4 …";;@Joe911S @matteosalvinimi @borghi_claudio @SegatDavide @MauroLisanti @AnnaRoman0 @Luca_Mussati @giek2;;"852491936057503744";https://twitter.com/AcK_c_u/status/852491936057503744;
ciopheca;2017-04-12 06:20;0;0;"Di invaso hai solo la tua testa di comunista confusa.";;;;"852043671943823360";https://twitter.com/ciopheca/status/852043671943823360;lauraboldrini,AnnaRoman0
ciopheca;2017-04-07 06:50;0;0;"Emerito scemo";;;;"850239324930981889";https://twitter.com/ciopheca/status/850239324930981889;PiazzapulitaLA7,AnnaRoman0,matteorenzi
ItalianPolitics;2017-04-03 19:16;0;0;"@AnnaRoman0 Grazie per le molte attenzioni e paziente lettura";;@AnnaRoman0;;"848977428995244032";https://twitter.com/ItalianPolitics/status/848977428995244032;
JulesKemper;2017-04-02 17:52;0;0;"Campionato per il Bologna finito da mesi, dalla fiorentina all'empoli il nulla";;;;"848594035304525824";https://twitter.com/JulesKemper/status/848594035304525824;Ansa_ER,AnnaRoman0
BEPPESARNO;2017-04-02 13:42;0;0;"La colpa è del qualunquismo di trasmissioni come queste,quando 2ministri insultano #Italiani e nn si dimettono #madia #poletti #arenagiletti";;;#Italiani #madia #poletti #arenagiletti;"848531093556998145";https://twitter.com/BEPPESARNO/status/848531093556998145;ArenaGiletti,AnnaRoman0,AtacNews
JulesKemper;2017-04-02 11:34;0;0;"Set di pentole, rottame obsoleto";;;;"848498958070677504";https://twitter.com/JulesKemper/status/848498958070677504;Agenzia_Dire,AnnaRoman0
Paolo885;2017-03-31 15:24;0;0;"Positivo";;;;"847832030343835648";https://twitter.com/Paolo885/status/847832030343835648;repubblica,AnnaRoman0
fra2009100;2017-03-30 10:51;0;0;"la destra e' gia' al governo, Sveglia!";;;;"847400927631884289";https://twitter.com/fra2009100/status/847400927631884289;civati,AnnaRoman0
grandeleo020975;2017-03-28 14:27;0;0;"Gli Ulivi ci giudicheranno";;;;"846730396909932544";https://twitter.com/grandeleo020975/status/846730396909932544;RepubblicaTv,AnnaRoman0
ciopheca;2017-03-27 13:43;0;0;"@AnnaRoman0 motivi politici?";;@AnnaRoman0;;"846357037764296704";https://twitter.com/ciopheca/status/846357037764296704;Sport_Mediaset
Russia2018RT;2017-03-25 18:59;0;0;"RT @AnnaRoman0 : RT @Gazzetta_it : Qualificazioni #Russia2018 , #SpagnaItalia si gioca a #Madrid ? Il sogno è il Berna… http:// buff.ly/2nPPD5J";;@AnnaRoman0 @Gazzetta_it;#Russia2018 #SpagnaItalia #Madrid;"845711635763400705";https://twitter.com/Russia2018RT/status/845711635763400705;
puffyamalia205;2017-03-22 08:09;0;0;"@AnnaRoman0 No dejes dekoir esto lo ma|imo https:// youtu.be/V6goP540YyM";;@AnnaRoman0;;"844461062112055297";https://twitter.com/puffyamalia205/status/844461062112055297;
machenmathews;2017-03-15 12:16;0;0;"#thanks @GamblingBob @AnnaRoman0 thanks for the recent follow, much appreciated :)";;@GamblingBob @AnnaRoman0;#thanks;"841986370381983746";https://twitter.com/machenmathews/status/841986370381983746;
JulesKemper;2017-03-10 22:41;0;0;"pic.twitter.com/Q9WiuG2W8R";;;;"840331812828270593";https://twitter.com/JulesKemper/status/840331812828270593;ilmessaggeroit,AnnaRoman0
ciopheca;2017-03-10 12:59;0;0;"IN BOCCA AL LUPO!";;;;"840185341541830656";https://twitter.com/ciopheca/status/840185341541830656;Sport_Mediaset,AnnaRoman0
MovArturoLazio;2017-03-09 00:24;0;0;"@AnnaRoman0 va e firma 2/3 contratti di ricche forniture di armi as usual.";;@AnnaRoman0;;"839632937024962560";https://twitter.com/MovArturoLazio/status/839632937024962560;NotizieGeopolit
topskateboards;2017-03-08 06:22;0;0;"Thanks for the recent follow @AnnaRoman0 @MariaLuigi5 ! Happy to connect :) have a great Tuesday. (Want this? https:// commun.it/get-more-follo wers/?aid=thankyou116 … )";;@AnnaRoman0 @MariaLuigi5;;"839360627852382208";https://twitter.com/topskateboards/status/839360627852382208;
