username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
eumallu_;2017-08-22 19:26;0;0;"Anny — Gorda https:// curiouscat.me/MaluOliveira/p ost/191951206?t=1503429998 …";;;;"900076768740216832";https://twitter.com/eumallu_/status/900076768740216832;
sandrafelicitas;2017-03-31 13:54;0;0;"Así está después de irse de joda toda la noche. #Anny #Gorda #VidaDeGato https://www. instagram.com/p/BSTg6geltsW/";;;#Anny #Gorda #VidaDeGato;"847809346947907585";https://twitter.com/sandrafelicitas/status/847809346947907585;
sandrafelicitas;2017-03-29 00:58;0;0;"Me dormí #Anny #Gorda #VidaDeGato https://www. instagram.com/p/BSM-gzOFNOc/";;;#Anny #Gorda #VidaDeGato;"846889267796291589";https://twitter.com/sandrafelicitas/status/846889267796291589;
goliveraaa;2017-02-06 23:32;0;0;"gorda é assim msm";;;;"828748187653505025";https://twitter.com/goliveraaa/status/828748187653505025;_ari_anny
MouranCarlos;2017-02-06 00:01;0;1;"GORDA";;;;"828393219490770945";https://twitter.com/MouranCarlos/status/828393219490770945;_Aryannee
goliveraaa;2017-01-30 01:06;0;0;"gorda é assim msm migs";;;;"825872886292430849";https://twitter.com/goliveraaa/status/825872886292430849;_ari_anny
cesfernandes_;2016-10-21 23:21;1;0;"Com certeza anny gorda https:// twitter.com/_Annygabrielly _/status/789437116094767104 …";;;;"789607626824974336";https://twitter.com/cesfernandes_/status/789607626824974336;
ber_sthefany;2016-09-27 18:54;1;0;"gorda";;;;"780843081981693952";https://twitter.com/ber_sthefany/status/780843081981693952;wolff_anny
AgusEnriquez11;2016-09-12 00:46;0;0;"Anny gorda";;;;"775133469240352768";https://twitter.com/AgusEnriquez11/status/775133469240352768;
DaraJubs;2016-04-11 17:15;0;0;"@jubs_anny gorda";;@jubs_anny;;"719574664259969024";https://twitter.com/DaraJubs/status/719574664259969024;jubs_anny
DaraJubs;2016-03-10 00:37;1;2;"@jubs_anny gorda";;@jubs_anny;;"707727104654319621";https://twitter.com/DaraJubs/status/707727104654319621;jubs_anny
beagoms_;2016-02-03 02:07;1;0;"@maidana_anny gorda mesmo";;@maidana_anny;;"694703850322837504";https://twitter.com/beagoms_/status/694703850322837504;maidana_anny
