username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
danielmalmer;2017-11-01 22:51;1;2;"16/Interesting, he was interacting with Atlanta_Online , another suspended account. pic.twitter.com/mHj9lN6XsV";;;;"925857765423177728";https://twitter.com/danielmalmer/status/925857765423177728;
blackrockersam2;2017-08-28 15:48;0;0;"@HobbyAirport the new wireless data ticketing direct to luggage e advertising e passport e qr code . @ATLairport @Atlanta_Online @ATLBlackSt pic.twitter.com/Uq54UMh815";;@HobbyAirport @ATLairport @Atlanta_Online @ATLBlackSt;;"902196119207333888";https://twitter.com/blackrockersam2/status/902196119207333888;
biasbustersofks;2017-08-20 22:58;0;0;"@Atlanta_Online https://www. youtube.com/watch?v=-Ww-da 4XkOE … pic.twitter.com/nJcHnlSi5y";;@Atlanta_Online;;"899405315258634241";https://twitter.com/biasbustersofks/status/899405315258634241;
biasbustersofks;2017-08-19 18:28;0;0;"@Atlanta_Online @TheAtlantic @TexasTribune #LYNNHOSLEY @KCStar @CBS6 @kdfw01 @USATODAY @LDNforHillary @whnt @TB_Times @PEcom_news @wcax @PBS https:// twitter.com/B_blackwhoelse /status/898961168793980929 …";;@Atlanta_Online @TheAtlantic @TexasTribune @KCStar @CBS6 @kdfw01 @USATODAY @LDNforHillary @whnt @TB_Times @PEcom_news @wcax @PBS;#LYNNHOSLEY;"898975025025482754";https://twitter.com/biasbustersofks/status/898975025025482754;
biasbustersofks;2017-08-18 21:59;0;0;"@KCStar @KCTV5Newsdesk @messymondaykc @CopOfTheRock @CNNPolitics @stltoday @Atlanta_Online @TheAtlantic @worldnetdaily @ReprezentRadio @CBS pic.twitter.com/9eOVk187oW";;@KCStar @KCTV5Newsdesk @messymondaykc @CopOfTheRock @CNNPolitics @stltoday @Atlanta_Online @TheAtlantic @worldnetdaily @ReprezentRadio @CBS;;"898665762856030208";https://twitter.com/biasbustersofks/status/898665762856030208;77CaptainMarvel
jasonmlong;2017-08-15 23:11;0;1;"@BColwell_EMGMKT @zackcapp @Atlanta_Online - Thanks for being new top engaged this week :)";;@BColwell_EMGMKT @zackcapp @Atlanta_Online;;"897596593448378368";https://twitter.com/jasonmlong/status/897596593448378368;
AskDrTedeschi;2017-08-15 14:24;0;0;"@Atlanta_Online Thanks for the follow! Wishing you a FABULOUS day! #HappyTuesday";;@Atlanta_Online;#HappyTuesday;"897463956150812673";https://twitter.com/AskDrTedeschi/status/897463956150812673;
kjohorri;2017-08-15 07:52;0;1;"@Atlanta_Online Thank you for following!! Together we will #runbeyondthechallenge with #inner &outerAppeal via https:// Statusbrew.com";;@Atlanta_Online;#runbeyondthechallenge #inner;"897365415478820865";https://twitter.com/kjohorri/status/897365415478820865;
APICS_Atlanta;2017-08-15 01:01;0;0;"@Atlanta_Online @alvinlindsay21 @saverio_canepa - Hello :) Happy to meet you, have a great day :)";;@Atlanta_Online @alvinlindsay21 @saverio_canepa;;"897262000866295812";https://twitter.com/APICS_Atlanta/status/897262000866295812;
TODOSsomosVT;2017-08-14 19:50;0;0;"@Atlanta_Online GRACIAS POR SEGUIRME TRATARE DE MANDARTE LA INFORMACION ACTUALIZADA DEL FUTBOL VENEZO #TuitUtil http://www. tuitutil.net";;@Atlanta_Online;#TuitUtil;"897183610729529348";https://twitter.com/TODOSsomosVT/status/897183610729529348;
CIAmediagroup;2017-08-14 17:15;0;0;"@Atlanta_Online thanks for the follow! How can we help? We mainly tweet about #legalmarketing #videomarketing and #SEOTips";;@Atlanta_Online;#legalmarketing #videomarketing #SEOTips;"897144687475261440";https://twitter.com/CIAmediagroup/status/897144687475261440;
drkassorla;2017-08-14 17:13;0;0;"" Atlanta Online ," Thank you for following me! https:// twitter.com/Atlanta_Online";;;;"897144096673984515";https://twitter.com/drkassorla/status/897144096673984515;
YeahLetsGoAtl;2017-08-04 12:20;0;0;"The latest The Atlanta Fun Daily! http:// paper.li/AtlMomsonMove? edition_id=451bf560-790f-11e7-b326-0cc47a0d15fd … Thanks to @Atlanta_Online #atlanta";;@Atlanta_Online;#atlanta;"893446487740428288";https://twitter.com/YeahLetsGoAtl/status/893446487740428288;
beverlyNOTMYPRE;2017-08-01 19:04;0;0;"";;;;"892460961189306368";https://twitter.com/beverlyNOTMYPRE/status/892460961189306368;Atlanta_Online
mugsprt;2017-07-31 02:14;0;0;"I hope many wonderful pets found fantastic homes!!!";;;;"891844491057000453";https://twitter.com/mugsprt/status/891844491057000453;Atlanta_Online,Maliciouslink
rkahsin421;2017-07-30 17:32;0;0;"@Atlanta_Online https:// youtu.be/CmDRvCvLgQE #detroit #rap #ITSKASH #bangthis #signme #newshit #radiobanger #feature rich #rt";;@Atlanta_Online;#detroit #rap #ITSKASH #bangthis #signme #newshit #radiobanger #feature #rt;"891713082338275328";https://twitter.com/rkahsin421/status/891713082338275328;
YeahLetsGoAtl;2017-07-27 12:20;0;0;"The latest The Atlanta Fun Daily! http:// paper.li/AtlMomsonMove? edition_id=f1db62e0-72c5-11e7-b326-0cc47a0d15fd … Thanks to @Atlanta_Online #deltaliving #atltraffic";;@Atlanta_Online;#deltaliving #atltraffic;"890547385247694848";https://twitter.com/YeahLetsGoAtl/status/890547385247694848;
SSC_LeonSAdams;2017-07-26 10:32;0;0;"Hopefully they change their lives";;;;"890157997770649601";https://twitter.com/SSC_LeonSAdams/status/890157997770649601;Atlanta_Online
SonayPhenomenal;2017-07-25 11:48;0;0;"Ok ,next";;;;"889814648228384768";https://twitter.com/SonayPhenomenal/status/889814648228384768;Atlanta_Online
PhidippidesATL;2017-07-24 15:34;1;0;"@Atlanta_Online Thank you for following us!";;@Atlanta_Online;;"889509135267528709";https://twitter.com/PhidippidesATL/status/889509135267528709;
sumdumnut;2017-07-20 15:59;0;0;"You'll never convince a racist that black people don't deserve to be beaten or killed.";;;;"888065926222016514";https://twitter.com/sumdumnut/status/888065926222016514;Atlanta_Online
