username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
MeeuRotaru;2017-09-20 09:00;0;0;"TY4RT @quinnCeNation & @BLMSoldier ! On firefighters and oxygen masks for #pets http:// bit.ly/2w5SsRb #cat #dog #1016";;@quinnCeNation @BLMSoldier;#pets #cat #dog #1016;"910428474309005312";https://twitter.com/MeeuRotaru/status/910428474309005312;
Mortdtrolls;2017-08-04 05:50;0;2;"That's a lot of retweets all at once @BLMSoldier . Feeling a bit bot-like today?";;@BLMSoldier;;"893348467543728129";https://twitter.com/Mortdtrolls/status/893348467543728129;
patinaandcompan;2017-07-31 21:21;0;1;"It's a reality show. And not a new one, either.";;;;"892133107041808385";https://twitter.com/patinaandcompan/status/892133107041808385;MattyIceUS,BLMSoldier
realjdobypr;2017-07-24 14:29;0;0;"#thanks @DKPresents @n0watercup @BLMSoldier , Thanks for the retweets this week. Much appreciated :) Want this https:// commun.it/thank-you/?aid =thankyou138 …";;@DKPresents @n0watercup @BLMSoldier;#thanks;"889492786982072320";https://twitter.com/realjdobypr/status/889492786982072320;
TavaresJones1;2017-07-16 22:11;0;0;"Who had worse Monday night ratings as champ, him or HBK? In HBK's defense, he had to contend with the NWO! Probably Diesel, tho!";;;;"886709900541403137";https://twitter.com/TavaresJones1/status/886709900541403137;WrestlingsFacts,BLMSoldier
mackdrama1017;2017-07-15 23:08;2;1;"Top retweeters this week, @therealslimbaby @RealHwivestweet @BLMSoldier : Thank you :) Want this https:// commun.it/thank-you/?aid =thankyou138 …";;@therealslimbaby @RealHwivestweet @BLMSoldier;;"886361862354460673";https://twitter.com/mackdrama1017/status/886361862354460673;
MeeuRotaru;2017-05-17 09:00;2;1;"TY4RT @BLMSoldier & @1511stefan & @edjlazar ! Obesity's incredible paradox http:// bit.ly/2qq144D #health #cancer #HeartAttack #628";;@BLMSoldier @1511stefan @edjlazar;#health #cancer #HeartAttack #628;"864767658335535104";https://twitter.com/MeeuRotaru/status/864767658335535104;
MeeuRotaru;2017-05-02 12:30;3;3;"TY4RT @BLMSoldier & @EcoWomenOrg & @Atroost3 ! #Fossil #lizard making a comeback http:// bit.ly/2p2Ccgj #evolution #22";;@BLMSoldier @EcoWomenOrg @Atroost3;#Fossil #lizard #evolution #22;"859384521543778305";https://twitter.com/MeeuRotaru/status/859384521543778305;
AQE_NY;2017-04-29 20:26;0;0;"Thanks for the retweets this week @BLMSoldier @mizdowney @Alichatcat much appreciated!";;@BLMSoldier @mizdowney @Alichatcat;;"858417202642509825";https://twitter.com/AQE_NY/status/858417202642509825;
realjdobypr;2017-04-18 14:09;1;1;"#thanks @JassScott @BLMSoldier @DiamondKesawn , Thanks for the retweets this week. Much appreciated :) Want this https:// commun.it/?aid=thankyou1 43 …";;@JassScott @BLMSoldier @DiamondKesawn;#thanks;"854336019080118272";https://twitter.com/realjdobypr/status/854336019080118272;
