username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
holgerHase;2017-07-17 15:14;0;0;"Das stimmt Martin Schulz";;;;"886967265278787584";https://twitter.com/holgerHase/status/886967265278787584;BLandershof
holgerHase;2017-07-17 15:13;0;0;"Sie hat doch auch kostenlose Bildung in der DDR genossen";;;;"886967060395417600";https://twitter.com/holgerHase/status/886967060395417600;BLandershof
jowicz;2017-05-11 12:16;0;0;"Thanks for the recent follow @PurgedNATO @JHF_Voss @BLandershof Happy to connect :) have a great Thursday. >> http:// bit.ly/_want_this_free";;@PurgedNATO @JHF_Voss @BLandershof;;"862642513160568832";https://twitter.com/jowicz/status/862642513160568832;
rstrohmi;2017-04-25 19:36;0;0;"Share the love: @OllieBass202 @BLandershof , thanks for being top new followers this week :) >> Want this ? https:// commun.it/grow-your-foll owers/?aid=thankyou156 …";;@OllieBass202 @BLandershof;;"856955042984841216";https://twitter.com/rstrohmi/status/856955042984841216;
drakkalas;2017-04-17 21:36;0;0;"Hey @BLandershof @dominikkeller22 thanks for being top new followers this week! Much appreciated :) Want this https:// commun.it/?aid=thankyou1 62 …";;@BLandershof @dominikkeller22;;"854086249828765697";https://twitter.com/drakkalas/status/854086249828765697;
lekh27;2017-04-15 04:03;0;0;"@BLandershof Good morning ,nice to see you";;@BLandershof;;"853096327521214464";https://twitter.com/lekh27/status/853096327521214464;
parkett_depot;2017-04-14 21:54;0;2;"Wir freuen uns über die neuen Follower @BLandershof @neubau_kompass @VOLKSHANDWERK @immobilienwert & wünschen ein schönes Oster #Wochenende";;@BLandershof @neubau_kompass @VOLKSHANDWERK @immobilienwert;#Wochenende;"853003593477230592";https://twitter.com/parkett_depot/status/853003593477230592;
wandkasten;2017-04-14 19:06;0;0;"Was ist @BLandershof bitte für 1 Merkel-Fan-Account? Freu mich ja über Weltoffenheit, auch bei Konservativen.. Was sagt @_juliaschramm dazu?";;@BLandershof @_juliaschramm;;"852961206306582528";https://twitter.com/wandkasten/status/852961206306582528;
derekakessler;2017-04-12 00:18;0;1;"Oh hey there, @BLandershof , you're follower #4,000. #partytime";;@BLandershof;#4 #partytime;"851952754419433472";https://twitter.com/derekakessler/status/851952754419433472;
helarctos;2017-04-11 12:51;0;0;"Frau kann tweets auch loeschen. Kleiner grauer Pfeil rechts oben";;;;"851779849521954817";https://twitter.com/helarctos/status/851779849521954817;BLandershof
jowicz;2017-04-10 12:33;0;0;"Thanks for the recent follow @EDeliloglu @BLandershof Happy to connect :) have a great Monday. Want this https:// commun.it/grow-your-foll owers?aid=thankyou144 …";;@EDeliloglu @BLandershof;;"851412708272599040";https://twitter.com/jowicz/status/851412708272599040;
rstrohmi;2017-03-23 12:03;0;0;"Share the love: @Raihan01988 @BLandershof , thanks for being top new followers this week :) Grow followers ➪ http:// bit.ly/free_followers_";;@Raihan01988 @BLandershof;;"844882207344877568";https://twitter.com/rstrohmi/status/844882207344877568;
AlexSchestag;2017-03-14 12:43;0;0;"Petra Pau? ;-)";;;;"841630937356095488";https://twitter.com/AlexSchestag/status/841630937356095488;BLandershof
drakkalas;2017-03-09 10:59;0;0;"Hey @BLandershof @SwidaMason thanks for being top new followers this week! Much appreciated :) Want this https:// commun.it/grow-your-like s/?aid=thankyou161 …";;@BLandershof @SwidaMason;;"839792665105424384";https://twitter.com/drakkalas/status/839792665105424384;
dynamo1955;2017-03-02 23:44;0;0;"#welcometweet @BLandershof via https:// Statusbrew.com";;@BLandershof;#welcometweet;"837448515773157377";https://twitter.com/dynamo1955/status/837448515773157377;
dynamo1955;2017-02-21 23:01;0;0;"#welcometweet @BLandershof via https:// Statusbrew.com";;@BLandershof;#welcometweet;"834176185223487489";https://twitter.com/dynamo1955/status/834176185223487489;
PeachAnnett;2017-02-21 13:17;0;0;"@BLandershof Hallo ziemlich merkellastig deine Tweets, wieso? :)";;@BLandershof;;"834029214538092547";https://twitter.com/PeachAnnett/status/834029214538092547;
KickOutTheUS;2016-07-21 12:06;0;0;"Die #cdu hat in der Bundesregierung mehrfach die Gesetze gebrochen. Daher wählen #cdu -Wähler jetzt #AfD";;;#cdu #cdu #AfD;"756098083310755840";https://twitter.com/KickOutTheUS/status/756098083310755840;BLandershof
