username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
shorgio;2017-10-18 04:52;0;0;"@Beckster319 I’ll buy this if you video the reaction";;@Beckster319;;"920512775222448128";https://twitter.com/shorgio/status/920512775222448128;WGNNews
cederom;2017-10-15 16:26;0;0;"silence is better than bullshit :-)";;;;"919600431042650112";https://twitter.com/cederom/status/919600431042650112;Beckster319,KeithOlbermann
cederom;2017-10-15 16:04;0;0;"u2 bye :-)";;;;"919594931890552832";https://twitter.com/cederom/status/919594931890552832;Beckster319,KeithOlbermann
cederom;2017-10-15 16:03;0;0;"go ahead ;-)";;;;"919594636687134721";https://twitter.com/cederom/status/919594636687134721;Beckster319,KeithOlbermann
cederom;2017-10-15 11:23;0;1;"maybe he is just healthy normal guy, you try to find a problem in other people to hide something wrong with you huh? :-)";;;;"919524061658611712";https://twitter.com/cederom/status/919524061658611712;KeithOlbermann,Beckster319
cats_cant_golf;2017-10-15 01:31;0;0;"";;;;"919375086204813313";https://twitter.com/cats_cant_golf/status/919375086204813313;Beckster319
BlackMajikMan90;2017-10-12 18:43;0;0;"Because you know you're wrong.";;;;"918547571974590464";https://twitter.com/BlackMajikMan90/status/918547571974590464;mikeracanelli,Beckster319
cederom;2017-10-12 18:28;0;0;"nice pants ;-)";;;;"918544001183244291";https://twitter.com/cederom/status/918544001183244291;Beckster319
BlackMajikMan90;2017-10-12 17:40;0;0;"Answer the question. She is in the same group that knew about him, should she have said something just like everyone else? Yes or no??";;;;"918531818600706048";https://twitter.com/BlackMajikMan90/status/918531818600706048;mikeracanelli,Beckster319
BlackMajikMan90;2017-10-12 17:38;0;0;"Ok Mr. 110% tell me, is it or is it not hypocritical and immoral to call people out on Harvey, when she could have said something as well?";;;;"918531227916865536";https://twitter.com/BlackMajikMan90/status/918531227916865536;mikeracanelli,Beckster319
BlackMajikMan90;2017-10-12 16:33;0;0;"And neither do you.";;;;"918514874971492352";https://twitter.com/BlackMajikMan90/status/918514874971492352;mikeracanelli,Beckster319
BlackMajikMan90;2017-10-12 16:32;0;0;"Everyone has done stupid things, but ther is no excuse for calling out people "who all knew" but yet she was also a part of those people.";;;;"918514738774110209";https://twitter.com/BlackMajikMan90/status/918514738774110209;mikeracanelli,Beckster319
BlackMajikMan90;2017-10-12 16:28;0;0;"She is no better than others who didn't speak up about Harvey and neither are you. Stop acting like you people are better than anyone else";;;;"918513600414789634";https://twitter.com/BlackMajikMan90/status/918513600414789634;mikeracanelli,Beckster319
BlackMajikMan90;2017-10-12 16:26;0;0;"So you claim to speak to her. What's her answer for not speaking about Harvey after accepting 100,000 dollars from him in 1997? Hypocrite";;;;"918513109404352512";https://twitter.com/BlackMajikMan90/status/918513109404352512;mikeracanelli,Beckster319
BlackMajikMan90;2017-10-12 12:53;0;0;"No it's because she is crazy";;;;"918459572855230464";https://twitter.com/BlackMajikMan90/status/918459572855230464;Beckster319
shorgio;2017-10-11 21:03;0;0;"Am I crazy that I don't see the problem with his TRL appearance? It's TRL, late 90s-00s MTV. Eric Nies had a show called "The Grind"";;;;"918220451180109825";https://twitter.com/shorgio/status/918220451180109825;Beckster319
cederom;2017-10-11 10:32;0;0;"reporting for duty miss! :-) :-) :-)";;;;"918061782471725058";https://twitter.com/cederom/status/918061782471725058;Beckster319
MaxW8Roc;2017-10-11 06:32;0;0;"Plot twist: the stallion is beige/purply";;;;"918001234233106432";https://twitter.com/MaxW8Roc/status/918001234233106432;Beckster319
shorgio;2017-10-10 23:26;0;0;"Hey get out of my Netflix";;;;"917894109683167232";https://twitter.com/shorgio/status/917894109683167232;Beckster319
MaxW8Roc;2017-10-10 23:20;0;0;"DM me for photos.";;;;"917892666171441152";https://twitter.com/MaxW8Roc/status/917892666171441152;Beckster319
WriteRachel;2017-10-05 04:44;0;0;"";;;;"915799940135186434";https://twitter.com/WriteRachel/status/915799940135186434;Beckster319
mpaden2002;2017-10-04 16:47;0;0;"Not funny..";;;;"915619476233695232";https://twitter.com/mpaden2002/status/915619476233695232;Beckster319
