username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
diggadugger;2017-10-07 09:06;0;1;"Komisch, gell.";;;;"916590458364743680";https://twitter.com/diggadugger/status/916590458364743680;DarylMaryk,BerlinBote
DarylMaryk;2017-10-07 09:05;0;1;"";;;;"916590360272539648";https://twitter.com/DarylMaryk/status/916590360272539648;diggadugger,BerlinBote
diggadugger;2017-10-07 08:50;0;1;"Der Account von @BerlinBote wurde gesperrt!";;@BerlinBote;;"916586588502724608";https://twitter.com/diggadugger/status/916586588502724608;
principiante_ww;2017-10-06 13:14;0;3;"#ff #Spielpause @iBaerlin @EintrachtUSA @holger101x @sge @zwoelfter_sge @MG64AB @eintracht_fs @Spielvrlagerung @BerlinBote";;@iBaerlin @EintrachtUSA @holger101x @sge @zwoelfter_sge @MG64AB @eintracht_fs @Spielvrlagerung @BerlinBote;#ff #Spielpause;"916290644997439489";https://twitter.com/principiante_ww/status/916290644997439489;
Andreas__Nagel;2017-10-04 21:46;3;0;"http://www. tagesspiegel.de/berlin/berlin- kreuzberg-teil-des-mariannenplatzes-soll-nach-rio-reiser-benannt-werden/20413612.html … @BerlinBote wurde von Twitter gesperrt, warum eigentlich?";;@BerlinBote;;"915694552211644416";https://twitter.com/Andreas__Nagel/status/915694552211644416;
Andreas__Nagel;2017-10-04 21:19;3;4;"Ton Steine Scherben - Rauch Haus Song (Live 1983) https://www. youtube.com/watch?v=5l_sfQ DsgZg … Rio Reiser ...";;;;"915687807263354880";https://twitter.com/Andreas__Nagel/status/915687807263354880;BerlinBote,bengie_d
030Berlinerin;2017-10-04 19:45;0;0;"Jetzt, wo Beweise vorliegen und sogar Facebook die Machenschaften bestätigt hat, sind die damaligen Schreier und Putinfreunde ganz still.";;;;"915664234494746624";https://twitter.com/030Berlinerin/status/915664234494746624;BerlinBote
hannes_schinder;2017-10-04 15:31;0;0;"... SPD und Linke vereint lediglich die gemeinsame Angst vor der politischen Bedeutungslosigkeit und vor der AfD.";;;;"915600311229849600";https://twitter.com/hannes_schinder/status/915600311229849600;BerlinBote
explicitanalysi;2017-10-04 08:47;0;0;"Mittlerweile lässt sich in der Zeitung lesen, was „ besorgte Bürger“ längst befürchteten ...";;;;"915498583335555072";https://twitter.com/explicitanalysi/status/915498583335555072;BerlinBote
Lisette1701;2017-10-04 07:16;0;0;"Die Läden offnen doch erst um 10:00 Uhr";;;;"915475585874489344";https://twitter.com/Lisette1701/status/915475585874489344;BerlinBote
hannes_schinder;2017-10-03 11:45;0;0;"... das schmerzt die Eltern nicht, wenn sie denn gewiss sein könnten, dass ihre Kinder gut vorbereitet ins Leben gehen können.";;;;"915180914560442368";https://twitter.com/hannes_schinder/status/915180914560442368;BerlinBote
RolfMetaller;2017-10-03 09:31;0;1;"Ruhe in Frieden.";;;;"915147391925407745";https://twitter.com/RolfMetaller/status/915147391925407745;BerlinBote
BerlinSandra78;2017-10-03 07:02;0;0;"Ich will Gauland nicht im Bundestag. Und nu? Wir bekommen nicht immer was wir wollen.";;;;"915109693432979456";https://twitter.com/BerlinSandra78/status/915109693432979456;BerlinBote
A1Geyer;2017-10-02 19:00;0;0;"Eine Diskussionsrunde zur Urheberrechtsreform am 5. Oktober 2017 im betahaus Berlin @BerlinBote https:// ti.to/mozilla-copyri ght/dontbreaktheinternet …";;@BerlinBote;;"914928076634644480";https://twitter.com/A1Geyer/status/914928076634644480;
wolff_ernst;2017-10-02 15:47;0;0;"@BerlinBote Könnte interessieren: https://www. urania.de/finanz-tsunami -wie-das-globale-finanzsystem-uns-alle-bedroht … pic.twitter.com/MsIoPeoojQ";;@BerlinBote;;"914879577998184448";https://twitter.com/wolff_ernst/status/914879577998184448;
rolandk_19;2017-10-02 12:40;0;0;"evtl weil es (fast) keinen interessiert ;-)";;;;"914832438777524225";https://twitter.com/rolandk_19/status/914832438777524225;BerlinBote
PengPongRecords;2017-10-02 09:30;0;1;"sehr #Lesenswert";;;#Lesenswert;"914784590363013120";https://twitter.com/PengPongRecords/status/914784590363013120;BerlinBote
dervonBerg;2017-10-01 18:08;0;0;"pic.twitter.com/6KcgGB9FY8";;;;"914552516637069317";https://twitter.com/dervonBerg/status/914552516637069317;BerlinBote
