username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
lorrieirbyj;2017-08-22 12:23;0;0;"PWESHUS!!!";;;;"899970284467474434";https://twitter.com/lorrieirbyj/status/899970284467474434;Blk_Voice
arlethapappas;2017-08-21 23:21;0;0;"He's my Hero";;;;"899773540018266112";https://twitter.com/arlethapappas/status/899773540018266112;Blk_Voice
ProfPozzebon;2017-08-19 06:08;0;0;"Get your own statue! Lead an uprising based on a totally immoral platform aimed at degradation and murder, then lose at the war it creates.";;;;"898788691669381125";https://twitter.com/ProfPozzebon/status/898788691669381125;Blk_Voice
lorrieirbyj;2017-08-19 01:41;0;0;"Who wants their tax dollars subsidizing that madness?!? Shoulda BEEN gone!!!";;;;"898721438999482369";https://twitter.com/lorrieirbyj/status/898721438999482369;Blk_Voice
Anthony_vfp;2017-08-18 23:58;0;0;"Every last one!";;;;"898695620940017665";https://twitter.com/Anthony_vfp/status/898695620940017665;Blk_Voice
fsidat22;2017-08-14 03:57;0;0;"";;;;"896943715259891712";https://twitter.com/fsidat22/status/896943715259891712;Crystal1Johnson,Blk_Voice
francesgates54;2017-08-13 21:32;0;0;"#NoConfederate #BlackLivesMatter";;;#NoConfederate #BlackLivesMatter;"896847064612470785";https://twitter.com/francesgates54/status/896847064612470785;Blk_Voice
CharlieJoiner18;2017-08-13 21:28;0;1;"They are really trying to";;;;"896845839762464768";https://twitter.com/CharlieJoiner18/status/896845839762464768;Blk_Voice
grolaw;2017-08-13 20:31;0;0;"NO. They require: https:// en.wikipedia.org/wiki/Capital_p unishment_in_Virginia … because the state has a duty to protect. If the charges do not include a capital offense #Racist";;;#Racist;"896831566713716736";https://twitter.com/grolaw/status/896831566713716736;Blk_Voice
TrixieDalek;2017-08-07 02:50;0;0;"Beautiful Punkin! And smart too!! Kudos.";;;;"894390318996631552";https://twitter.com/TrixieDalek/status/894390318996631552;Blk_Voice
KareemEpps;2017-08-07 02:28;0;0;"White America is all about protecting White America. Yet they want to steal from other races because they have no culture of their own";;;;"894384635404333056";https://twitter.com/KareemEpps/status/894384635404333056;Blk_Voice
SusieNattibree;2017-08-07 01:27;0;0;"They get jobs 2 help but eff us up, we don't know they're kkk followers I believe this is why blks have it so hard cuz they make it that way";;;;"894369447925993472";https://twitter.com/SusieNattibree/status/894369447925993472;Blk_Voice
SusieNattibree;2017-08-07 00:30;0;0;"They could be judge, cop lawyer etc, this is not good these racist kids are now adults, they'll have jobs where they help blk folks. NEVER";;;;"894355151997349888";https://twitter.com/SusieNattibree/status/894355151997349888;Blk_Voice
jmollins;2017-08-06 01:23;0;0;"Poor Usain. But he's been incredible and that's what people will remember";;;;"894005884107534336";https://twitter.com/jmollins/status/894005884107534336;Blk_Voice
DeniseL70106825;2017-08-05 23:07;0;0;"True!!!";;;;"893971850405007360";https://twitter.com/DeniseL70106825/status/893971850405007360;Crystal1Johnson,Blk_Voice
DeniseL70106825;2017-08-05 23:05;0;0;"To Cute";;;;"893971257905090563";https://twitter.com/DeniseL70106825/status/893971257905090563;Blk_Voice
DeniseL70106825;2017-08-05 22:59;0;0;"Happy Birthday Keith Sweat!!!!";;;;"893969727705550848";https://twitter.com/DeniseL70106825/status/893969727705550848;Blk_Voice
ARTESIA13;2017-08-05 02:10;0;0;"Until we stop feeding out of the Europeans hand and feed are self they will manipulate and control or existence forever";;;;"893655448020058112";https://twitter.com/ARTESIA13/status/893655448020058112;reesetheone1,Blk_Voice
