username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
987thebeat;2017-11-03 03:20;0;2;"It's the TaKeOvEr! What should play next on 98.7 THE BEAT? GOLDLINK/ BRENT FAIYAZ/SHY GLIZZY, @kendricklamar ? Vote @http:// bit.ly/Y2vXTS";;@kendricklamar @http;;"926287974169489408";https://twitter.com/987thebeat/status/926287974169489408;
Mickey_Wayne;2017-11-01 21:35;0;0;"Brent Kendrick #Antone Davis#Empty Neyland all in one week. What in the hell are you thinking? You might be next!";;;#Antone #Empty;"925838644245680128";https://twitter.com/Mickey_Wayne/status/925838644245680128;
Mickey_Wayne;2017-11-01 21:32;0;0;"Butch Jones is toast, no one wants to hear his BS anymore. Fire his A$$ now#Antone Davis#Brent Kendrick";;;#Antone #Brent;"925837946745446400";https://twitter.com/Mickey_Wayne/status/925837946745446400;VolNetwork_IMG,calhouns
bschumac;2017-11-01 18:58;0;0;"The fact that Butch Jones won’t disclose Brent Kendrick ’s injury after all of this just makes it worse.";;;;"925799224855482373";https://twitter.com/bschumac/status/925799224855482373;
JimmyHyams;2017-11-01 17:55;1;1;"Vols out for USM: OT Marcus Tatum, OT Brett Kendrick , WR Josh Smith. Questionable: PK Brent Cimaglia, LB Dillon Bates, OT Drew Richmond.";;;;"925783472416882688";https://twitter.com/JimmyHyams/status/925783472416882688;
pbrown247;2017-11-01 16:11;0;1;"#Vols injury update: Brett Kendrick , Marcus Tatum and Josh Smith are OUT for Southern Miss. Questionable: Brent Cimaglia and Drew Richmond.";;;#Vols;"925757096012013574";https://twitter.com/pbrown247/status/925757096012013574;
TylerWombles;2017-11-01 16:10;0;1;"Jones says that Marcus Tatum and Brett Kendrick are out for Saturday's game. Drew Richmond and Brent Cimaglia are questionable.";;;;"925756985357799424";https://twitter.com/TylerWombles/status/925756985357799424;
UTKBeaconSports;2017-11-01 16:10;0;0;"Jones says that Marcus Tatum and Brett Kendrick are out for Saturday's game. Drew Richmond and Brent Cimaglia are questionable.";;;;"925756985286516736";https://twitter.com/UTKBeaconSports/status/925756985286516736;
MattDennis9;2017-11-01 05:17;0;0;"Kendrick wear #84 proud he was one of my favorite 49ers, and a great guy Brent Jones.";;;#84;"925592673834057729";https://twitter.com/MattDennis9/status/925592673834057729;BournePoly11
McThickum;2017-10-29 13:26;2;6;"Need to see Tyler the creator , Kendrick , goldlink , brent faiyaz , frank ocean omg , dom k , schoolboy Q & James Blake live before I die";;;;"924628452468240384";https://twitter.com/McThickum/status/924628452468240384;
llerameilla;2017-10-13 04:24;2;10;"i got kendrick , sza, tyler, hov, dvsn, brent faiyaz, goldlink projects all in the same year. all i need is for miguel to drop an album ASAP.";;;;"918693920342548481";https://twitter.com/llerameilla/status/918693920342548481;
987thebeat;2017-10-06 23:56;0;1;"It's the TaKeOvEr! What should play next on 98.7 THE BEAT? GOLDLINK/ BRENT FAIYAZ/SHY GLIZZY, @kendricklamar ? Vote @http:// bit.ly/Y2vXTS";;@kendricklamar @http;;"916452091740246016";https://twitter.com/987thebeat/status/916452091740246016;
987thebeat;2017-10-03 23:26;0;1;"It's the TaKeOvEr! What should play next on 98.7 THE BEAT? @kendricklamar , GOLDLINK/ BRENT FAIYAZ/SHY GLIZZY? Vote @http:// bit.ly/Y2vXTS";;@kendricklamar @http;;"915357372113149958";https://twitter.com/987thebeat/status/915357372113149958;
