username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
em2wice;2017-08-04 05:39;1;1;"#TimelineTitans #FF #SeizeTheTimeline @TrackKingBeatz @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod";;@TrackKingBeatz @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod;#TimelineTitans #FF #SeizeTheTimeline;"893345582231805952";https://twitter.com/em2wice/status/893345582231805952;
em2wice;2017-07-21 12:48;1;0;"#FF #SeizeTheTimeline #FF #ATimelinesATurribleThingToWaste #FF @JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb";;@JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb;#FF #SeizeTheTimeline #FF #ATimelinesATurribleThingToWaste #FF;"888380238790635525";https://twitter.com/em2wice/status/888380238790635525;
em2wice;2017-06-01 17:17;2;0;"#DEFF #SeizeTheTimeline #DEFF #DayEarlyFollowFriday @JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb @AlDudley3";;@JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb @AlDudley3;#DEFF #SeizeTheTimeline #DEFF #DayEarlyFollowFriday;"870328466117279744";https://twitter.com/em2wice/status/870328466117279744;
em2wice;2017-04-07 00:18;1;2;"#DEFF #SeizeTheTimeline #DayEarlyFollowFriday #DEFF @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod";;@SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod;#DEFF #SeizeTheTimeline #DayEarlyFollowFriday #DEFF;"850140660451614720";https://twitter.com/em2wice/status/850140660451614720;
em2wice;2017-03-31 16:38;1;0;"#Twitwits #TimelineTitans #FF #SeizeTheTime #FF #RESIST @JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb @AlDudley3";;@JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb @AlDudley3;#Twitwits #TimelineTitans #FF #SeizeTheTime #FF #RESIST;"847850474816626688";https://twitter.com/em2wice/status/847850474816626688;
em2wice;2017-03-02 16:53;0;0;"#DEFF #TheyStrive #DEFF #WeLive #DEFF #RESIST #DayEarlyFollowFriday @JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412";;@JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412;#DEFF #TheyStrive #DEFF #WeLive #DEFF #RESIST #DayEarlyFollowFriday;"837345244660260864";https://twitter.com/em2wice/status/837345244660260864;
CVHarrell;2017-02-06 09:12;0;0;"http:// ln.is/tumblr.com/YlL hH … @jtities , @sheera612 , @lilmisstoya , @bricegeller , @sutterhome , @theselfdevelop , @hardheadfilms";;@jtities @sheera612 @lilmisstoya @bricegeller @sutterhome @theselfdevelop @hardheadfilms;;"828531697985675264";https://twitter.com/CVHarrell/status/828531697985675264;
em2wice;2017-02-03 17:38;1;2;"#TheyStrive #WeThrive #TimelineTitans @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110";;@SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110;#TheyStrive #WeThrive #TimelineTitans;"827572052055953413";https://twitter.com/em2wice/status/827572052055953413;
ArtsinNewYork;2017-02-01 18:38;0;1;"Thanks for the recent follow @jsyork @JohnieBoyCooks @BriceGeller Happy to connect :) have a great Wednesday. >> http:// bit.ly/_want_this_free";;@jsyork @JohnieBoyCooks @BriceGeller;;"826862219149398016";https://twitter.com/ArtsinNewYork/status/826862219149398016;
zipplang;2017-01-29 12:13;0;0;"Thanks Brice!";;;;"825678160989655040";https://twitter.com/zipplang/status/825678160989655040;afropunk,BriceGeller,HiddenFigures
em2wice;2017-01-13 17:07;1;0;"#TheyStrive #WeThrive #140ProofTruth #FF @JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb @AlDudley3 @motownbelle";;@JadonHutchinson @BriceGeller @BrentMcclure275 @blackstarr412 @fillagainb @AlDudley3 @motownbelle;#TheyStrive #WeThrive #140ProofTruth #FF;"819954132719194112";https://twitter.com/em2wice/status/819954132719194112;
em2wice;2017-01-13 12:36;0;2;"#TheyStrive#WeLive#140ProofTruths#FF @TrackKingBeatz @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod";;@TrackKingBeatz @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod;#TheyStrive #WeLive #140ProofTruths #FF;"819885890747121666";https://twitter.com/em2wice/status/819885890747121666;
mark1107;2016-12-08 19:39;0;0;"Why chai tea is good for you... http:// ln.is/OiXQc by #BriceGeller via @c0nvey";;@c0nvey;#BriceGeller;"806946340617986048";https://twitter.com/mark1107/status/806946340617986048;
em2wice;2016-10-14 21:24;0;2;"#FF #TimelineTitans Of #140ProofTruth #FollowTheLeaders #FF @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110";;@BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110;#FF #TimelineTitans #140ProofTruth #FollowTheLeaders #FF;"787041359152766977";https://twitter.com/em2wice/status/787041359152766977;
ArtsinNewYork;2016-10-04 18:12;0;1;"Thanks for the recent follow @HiImKhloe @BriceGeller @pernellhusband Happy to connect :) have a great Tuesday. >>by https:// commun.it/?aid=thankyou1 08 …";;@HiImKhloe @BriceGeller @pernellhusband;;"783369220125921280";https://twitter.com/ArtsinNewYork/status/783369220125921280;
EngagedE;2016-09-27 17:54;0;0;"Thanks for the recent follow @HiImKhloe @BriceGeller Happy to connect :) have a great Tuesday. >> Get ? https:// commun.it/?aid=thankyou1 03 …";;@HiImKhloe @BriceGeller;;"780827993157480449";https://twitter.com/EngagedE/status/780827993157480449;
em2wice;2016-09-22 12:21;1;2;"#DEFF #DayEarlyFollowFriday #DEFF #BecauseTomorrowIsNotPromised @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110";;@BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110;#DEFF #DayEarlyFollowFriday #DEFF #BecauseTomorrowIsNotPromised;"778932287064969217";https://twitter.com/em2wice/status/778932287064969217;
em2wice;2016-09-16 14:53;1;2;"#140ProofTruth #FF #TheFireThisTime #FF @SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110";;@SoundCloud_PR @dvsdetroit @BrentMcclure275 @BriceGeller @JadonHutchinson @SpiderdaGod @Hilary0110;#140ProofTruth #FF #TheFireThisTime #FF;"776796161675923456";https://twitter.com/em2wice/status/776796161675923456;
