username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
propornot;2017-11-02 23:02;0;1;"Great work on that article @CalifroniaRep ! The excoriating @conspirator0 has done great work hunting #calexit bots: https:// twitter.com/search?f=tweet s&q=calexit%20from%3Aconspirator0 …";;@CalifroniaRep @conspirator0;#calexit;"926223127532761096";https://twitter.com/propornot/status/926223127532761096;CaliforniaForAm,sdutIdeas
conspirator0;2017-11-02 02:21;100;129;"Raw text of CalifroniaRep 's #Calexit tweets. Again, this is a confirmed Kremlin accounts from today's hearings. #CalexitisaKremlinOperation pic.twitter.com/68uEGrw9xV";;;#Calexit #CalexitisaKremlinOperation;"925910672168304640";https://twitter.com/conspirator0/status/925910672168304640;
conspirator0;2017-11-02 02:17;24;49;"I found one called " CalifroniaRep " that I just so happened to have some data about lying around. #CalexitisaKremlinOperation #Calexit pic.twitter.com/EI5hQBzjHo";;;#CalexitisaKremlinOperation #Calexit;"925909760112713728";https://twitter.com/conspirator0/status/925909760112713728;
ewqdsa223;2017-08-22 07:45;0;0;"@CaliforniaTHC @CaliforniaVolvo @CalifroniaRep https:// twitter.com/d941ng29le/sta tus/897674806937518081 …";;@CaliforniaTHC @CaliforniaVolvo @CalifroniaRep;;"899900243977814016";https://twitter.com/ewqdsa223/status/899900243977814016;
ShawnaGrafton;2017-07-12 16:47;0;1;"Agreed. They also exempted themselves/staff from any HC leg. Ryan has been there almost 20yrs. Is he even 45? What leg has he ever written?";;;;"885178914120904705";https://twitter.com/ShawnaGrafton/status/885178914120904705;DeAnnBlevins,CalifroniaRep
DeAnnBlevins;2017-07-12 16:44;0;1;"We pay them for nothing. Not one bill passed in 6 months.They spent 8 yrs obstructing, they don't know how to govern. Theyve gotta go 18/20.";;;;"885178010680340483";https://twitter.com/DeAnnBlevins/status/885178010680340483;ShawnaGrafton,CalifroniaRep
ShawnaGrafton;2017-07-12 16:34;0;1;"Before they leave for a month vacation. <144 days worked a yr/12days a mo. The most do-nothing Congress in history 4 or 5x over.";;;;"885175555603259392";https://twitter.com/ShawnaGrafton/status/885175555603259392;CalifroniaRep,DeAnnBlevins
D_Ericson;2017-07-07 20:53;0;0;"#thanks @Phire2Fire @CalifroniaRep @AaronKolp thanks for the recent follow. Much appreciated :) Want this https:// commun.it/grow-your-foll owers/?aid=thankyou160 …";;@Phire2Fire @CalifroniaRep @AaronKolp;#thanks;"883428798435381248";https://twitter.com/D_Ericson/status/883428798435381248;
mlsimmons;2017-06-30 19:28;0;0;"Thanks for the recent follow @CalifroniaRep @skkg3 @tillietweeting Happy to connect :) have a great Friday. https:// commun.it/thank-you/?aid =thankyou135 …";;@CalifroniaRep @skkg3 @tillietweeting;;"880870770607628289";https://twitter.com/mlsimmons/status/880870770607628289;
bbonnie123;2017-06-23 18:20;0;0;"Thanks for the recent follow @NationsBeautys @dkrevelli @CalifroniaRep ! Happy to connect :) have a great Friday.";;@NationsBeautys @dkrevelli @CalifroniaRep;;"878316741356470272";https://twitter.com/bbonnie123/status/878316741356470272;
mlsimmons;2017-05-12 13:03;1;1;"#thanks @SDTwitGuy @CalifroniaRep thanks for the recent follow. Much appreciated :) Want this ? https:// commun.it/thank-you/?aid =thankyou122 …";;@SDTwitGuy @CalifroniaRep;#thanks;"863016740900544513";https://twitter.com/mlsimmons/status/863016740900544513;
SISBROS1957;2017-05-10 00:46;1;0;"Good no more Berkley, no more 55 Electoral votes , No PC Snowflakes . Good to hear you want to leave the NEW Venezuela of the North , Bye !";;;;"862106510100496384";https://twitter.com/SISBROS1957/status/862106510100496384;CalifroniaRep
francesci;2017-05-09 18:48;0;0;"Helllo @CalifroniaRep @Vote_CNP @YesCalifornia https:// twitter.com/onlmaps/status /862012378287751168 …";;@CalifroniaRep @Vote_CNP @YesCalifornia;;"862016349312360449";https://twitter.com/francesci/status/862016349312360449;
GeekCollage;2017-05-06 05:12;0;0;"@CalifroniaRep hey are you really a Californian or the Putin pusher dude from Russia?";;@CalifroniaRep;;"860723910886563840";https://twitter.com/GeekCollage/status/860723910886563840;
vlramirez12;2017-05-02 19:24;0;0;"@CalifroniaRep We all know this is a campaign created and supported by Russia. IT'S OVER.";;@CalifroniaRep;;"859488713025486848";https://twitter.com/vlramirez12/status/859488713025486848;
sevenbowie;2017-05-02 13:20;1;2;"(fair). And, yes it does! It's a great plan!";;;;"859397136173158401";https://twitter.com/sevenbowie/status/859397136173158401;CalifroniaRep,LindaCollins11
