username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Kenhunt98575812;2017-10-20 21:19;0;0;"Shows liberal stupidity.";;;;"921486028992598018";https://twitter.com/Kenhunt98575812/status/921486028992598018;CandismBRR
Dogdazetoo;2017-10-20 15:06;0;0;"They all knew about Weinstein behavior. I bet they didn't know they had no dough!!";;;;"921392208502239239";https://twitter.com/Dogdazetoo/status/921392208502239239;CandismBRR
CaTrumpGrl;2017-10-20 03:41;0;0;"Dumb A$$'s ..thats Killary!";;;;"921219834565640192";https://twitter.com/CaTrumpGrl/status/921219834565640192;CandismBRR
JamieJALFT;2017-10-20 01:19;0;1;"Worked for Ellen another leftist sellour";;;;"921184020825804801";https://twitter.com/JamieJALFT/status/921184020825804801;CandismBRR
CaTrumpGrl;2017-10-19 15:35;0;1;"I get those too..dont do them";;;;"921036979789209600";https://twitter.com/CaTrumpGrl/status/921036979789209600;Coffeepls7,CandismBRR
Coffeepls7;2017-10-19 15:23;0;0;"I would love to watch it. But I keep getting something about I won something, click here.";;;;"921034082015879169";https://twitter.com/Coffeepls7/status/921034082015879169;CandismBRR,CaTrumpGrl
sactown_mom;2017-10-19 15:03;0;0;"Nasty woman";;;;"921029089351278593";https://twitter.com/sactown_mom/status/921029089351278593;CandismBRR
NCDproductionco;2017-10-17 22:47;0;1;"Hope they live to tell it.";;;;"920421119714308096";https://twitter.com/NCDproductionco/status/920421119714308096;CandismBRR,bluevol10
freemasonusa2;2017-10-17 22:41;0;0;"only when they are funny";;;;"920419508233424897";https://twitter.com/freemasonusa2/status/920419508233424897;CandismBRR
fxr_ryder;2017-10-17 17:35;0;0;"Then please leave! The NVA will open their arms for you.";;;;"920342407056674816";https://twitter.com/fxr_ryder/status/920342407056674816;CandismBRR
IndeCardio;2017-10-16 21:31;0;0;"Oh yeah!! Obamacare done gone DeadBug 'cause we elected Trump the Political Orkin Man!";;;;"920039635023253504";https://twitter.com/IndeCardio/status/920039635023253504;CandismBRR,RogeeBrand
NeillyLori;2017-10-16 17:12;0;0;"That woman is the devil";;;;"919974232741818370";https://twitter.com/NeillyLori/status/919974232741818370;CandismBRR
Blueshep;2017-10-16 11:09;0;0;"He reminds me of Hilary, they never go away!";;;;"919883084400660480";https://twitter.com/Blueshep/status/919883084400660480;CandismBRR
rick_guinn;2017-10-16 10:33;0;0;"";;;;"919873955674062848";https://twitter.com/rick_guinn/status/919873955674062848;CandismBRR,EverythingKath
shansmith;2017-10-16 10:30;0;0;"Like he has any of those";;;;"919873237038895104";https://twitter.com/shansmith/status/919873237038895104;CandismBRR
CaTrumpGrl;2017-10-16 00:44;0;0;"It's time we show this creep the power of the people! #BoycottKimmel #BoycottKi ! 🖒";;;#BoycottKimmel #BoycottKi;"919725716576419840";https://twitter.com/CaTrumpGrl/status/919725716576419840;CandismBRR
av8trix6;2017-10-15 17:27;0;0;"Says a guy that married his stepdaughter";;;;"919615689186451456";https://twitter.com/av8trix6/status/919615689186451456;CandismBRR
CeylonBlue94;2017-10-13 20:29;0;0;"Well I hope it is just to scare rocket man, because China said if we strike first they are going to side with North Korea. God bless the USA";;;;"918936816144846851";https://twitter.com/CeylonBlue94/status/918936816144846851;CandismBRR
tbdawn;2017-10-13 01:03;0;0;"Seriously? The View should be called the Democratic Party view of the world. Whoopie & pals open their mouths & Obama/Hillary pour out.";;;;"918643272356114432";https://twitter.com/tbdawn/status/918643272356114432;CandismBRR
dpklein;2017-10-12 23:41;0;0;"I support his right to quit";;;;"918622598984077313";https://twitter.com/dpklein/status/918622598984077313;CandismBRR
rubylu18;2017-10-12 17:40;0;0;"She is impossible To watch";;;;"918531763525292038";https://twitter.com/rubylu18/status/918531763525292038;CandismBRR
drandlsleon494;2017-10-12 02:45;0;0;"awe !!sweet";;;;"918306570525536256";https://twitter.com/drandlsleon494/status/918306570525536256;CandismBRR
Jerzygma;2017-10-12 00:31;0;0;"@JimmyKimmel So rediculous this A**HOLE self righteous hypocritical liberal DEGENERATE!!";;@JimmyKimmel;;"918272962582798336";https://twitter.com/Jerzygma/status/918272962582798336;CandismBRR
NeillyLori;2017-10-11 08:36;0;0;"What a #Meathead";;;#Meathead;"918032495421124609";https://twitter.com/NeillyLori/status/918032495421124609;CandismBRR
conservpopulist;2017-10-11 01:49;0;0;"That's that espn chick without hair";;;;"917930012283678720";https://twitter.com/conservpopulist/status/917930012283678720;CandismBRR
beny_benson;2017-10-11 01:03;0;0;"'bout friggin time. Let'em weep & gnash their tooth. Employers have a #right to fire at will.";;;#right;"917918606247284736";https://twitter.com/beny_benson/status/917918606247284736;CandismBRR
CeylonBlue94;2017-10-11 01:01;0;0;"Good! He should be, I am sick of people disrespecting the flag";;;;"917918129040363521";https://twitter.com/CeylonBlue94/status/917918129040363521;CandismBRR
tacticalpablo;2017-10-11 00:33;0;1;"shut up #meathead";;;#meathead;"917911071079501826";https://twitter.com/tacticalpablo/status/917911071079501826;CandismBRR
KristinHall916;2017-10-10 18:18;0;0;"People being pushy for acceptance while violating other's rights is the main issue.";;;;"917816536798318592";https://twitter.com/KristinHall916/status/917816536798318592;CandismBRR
KristinHall916;2017-10-10 18:09;0;0;"I know a woman with this condition. She said just use the closed bathroom stalls and dress like what you most resemble at that time.";;;;"917814375536263168";https://twitter.com/KristinHall916/status/917814375536263168;CandismBRR
KristinHall916;2017-10-10 18:07;0;0;"There are people born with two sets of organs. Born with, not voluntarily altered. To them, yes, compassion is needed. Being sue happy? No.";;;;"917813873713012736";https://twitter.com/KristinHall916/status/917813873713012736;CandismBRR
RShakra;2017-10-10 16:33;0;0;"Nutjob Comey and wackjob McCain had a hand or two in the manufacturing of the dossier";;;;"917790226147348480";https://twitter.com/RShakra/status/917790226147348480;CandismBRR
freedomschild77;2017-10-10 15:09;0;0;"Self inflicted wounds. Keep it up. Protest based on LIES about police brutality & "targeting" blacks. Lies. WTH are you protesting now?";;;;"917769015405228032";https://twitter.com/freedomschild77/status/917769015405228032;CandismBRR
AlwaysmyPres;2017-10-10 12:37;0;0;"so what the left commits murder fraud and all kinds of shit but no action no press, GOP forgets to flush toilet and all hell breaks loose";;;;"917730933159219203";https://twitter.com/AlwaysmyPres/status/917730933159219203;CandismBRR,TinaOrt79591465
blazerbay250;2017-10-09 17:06;0;1;"I love it ! Finally a honest American President and Not part of the Swamp .";;;;"917436094542680064";https://twitter.com/blazerbay250/status/917436094542680064;CandismBRR,micasth87
NWcarol28;2017-10-09 16:18;0;2;"I suggest reading his immigration reform plan, it HONORS the good in the DACA program. Demo wanted reform now they dont";;;;"917424051248807936";https://twitter.com/NWcarol28/status/917424051248807936;CandismBRR,griffisk
mrdobbs1;2017-10-09 14:52;0;1;"Pence & Trump outsmarted the "LIBTARDS"! #AlwaysStandForNationalAnthem";;;#AlwaysStandForNationalAnthem;"917402420988301313";https://twitter.com/mrdobbs1/status/917402420988301313;CandismBRR
lucky_penny123;2017-10-09 14:41;0;1;"Got everyone's attention!!!";;;;"917399741545230336";https://twitter.com/lucky_penny123/status/917399741545230336;CandismBRR
chestnut2171;2017-10-08 01:20;0;1;"The Election has definitely shown us all who the crazies are.";;;;"916835716935667713";https://twitter.com/chestnut2171/status/916835716935667713;CandismBRR,RgfcPhil
lucky_penny123;2017-10-07 22:25;0;0;"I respect and honor him.";;;;"916791605281132544";https://twitter.com/lucky_penny123/status/916791605281132544;CandismBRR
buddyg;2017-10-07 22:13;0;0;"Maybe that’s because there’s so little positive to say about our Dear Leader.";;;;"916788561294143488";https://twitter.com/buddyg/status/916788561294143488;CandismBRR,xatzisotiris
BLUECHARGER69;2017-10-07 20:00;0;0;"She has let the the wildcat nation down again. Did she play the game to get ahead in Hollywood. I feel bad about this but I don’t like her.";;;;"916755020808380416";https://twitter.com/BLUECHARGER69/status/916755020808380416;BLUECHARGER69,CandismBRR
BLUECHARGER69;2017-10-07 19:54;0;0;"After last year rant this didn’t make sense to be silent about this. I thought she said she was a strong woman. So a keeper of the couch";;;;"916753667948269568";https://twitter.com/BLUECHARGER69/status/916753667948269568;CandismBRR
Erics481969;2017-10-07 18:20;0;2;"Gose to show you Hollywood has no morals !!";;;;"916730012883193857";https://twitter.com/Erics481969/status/916730012883193857;CandismBRR,CelticERnurse
aroesta;2017-10-07 14:00;0;0;"You know what's next? Drain the US Congress, flush out all the rats";;;;"916664507166011392";https://twitter.com/aroesta/status/916664507166011392;CandismBRR
conservpopulist;2017-10-06 23:22;0;0;"No surprise. These amphibians all are comfortable living in pond scum. Bank fraud Bernie is thinking about his own sorry ass.";;;;"916443489881161729";https://twitter.com/conservpopulist/status/916443489881161729;CandismBRR
peddycache;2017-10-06 21:03;0;0;"HOW MUCH IS PUTIN PAYING YOU, CANDY BROOKS?";;;;"916408517124173824";https://twitter.com/peddycache/status/916408517124173824;CandismBRR
peddycache;2017-10-06 21:02;0;0;"CANDY BROOKS IS A RUSSIAN BOT.";;;;"916408275771334656";https://twitter.com/peddycache/status/916408275771334656;CandismBRR
peddycache;2017-10-06 21:01;0;0;"HOW ARE THINGS IN RUSSIA TODAY?";;;;"916408143407546368";https://twitter.com/peddycache/status/916408143407546368;CandismBRR
ChrisFagan57;2017-10-06 16:03;0;0;"HEY MAINSTREAM MEDIA & DNC... HAVE ANY MORE LIES TODAY??? pic.twitter.com/P2M1bc4Agh";;;;"916333193070030849";https://twitter.com/ChrisFagan57/status/916333193070030849;CandismBRR
STEVE_TRUMPENCE;2017-10-06 14:54;0;0;"Kobe..... Or not Kobe. .. It's not even a question anymore.. just when ya thought he couldn't get more hated.... Mr personality speaks..";;;;"916315828626190339";https://twitter.com/STEVE_TRUMPENCE/status/916315828626190339;CandismBRR
realdem54;2017-10-06 00:27;0;0;"OK Budwieser, now you need to make a choice!";;;;"916097429044449280";https://twitter.com/realdem54/status/916097429044449280;CandismBRR
StoneColdChik;2017-10-06 00:26;0;0;"wonder whats so different in these two books? https://www. nytimes.com/2016/09/15/us/ politics/clinton-book-stronger-together.html …";;;;"916097372782022656";https://twitter.com/StoneColdChik/status/916097372782022656;CandismBRR
MsPassionator;2017-10-05 14:32;0;0;"I don't trust the FBI. I get the feeling he doesn't either.";;;;"915947764474892288";https://twitter.com/MsPassionator/status/915947764474892288;CandismBRR
waynocook;2017-10-05 03:26;0;1;"Yeah, I'll wait and see.";;;;"915780182476247040";https://twitter.com/waynocook/status/915780182476247040;CeliaCh24609512,CandismBRR
CeliaCh24609512;2017-10-05 03:25;0;1;"This woman gives me a bad impression";;;;"915780000313253888";https://twitter.com/CeliaCh24609512/status/915780000313253888;CandismBRR,waynocook
CeliaCh24609512;2017-10-05 03:15;0;1;"Our true angels in uniforms God bless him";;;;"915777462683889664";https://twitter.com/CeliaCh24609512/status/915777462683889664;CandismBRR,waynocook
waynocook;2017-10-05 03:12;0;0;"Knew it would happen!";;;;"915776753880244224";https://twitter.com/waynocook/status/915776753880244224;CandismBRR
waynocook;2017-10-05 03:11;0;0;"Another ungrateful player";;;;"915776508077232130";https://twitter.com/waynocook/status/915776508077232130;CandismBRR
VicrdrJohn;2017-10-04 18:16;0;0;"He's been an idiot his entire life! Void of all logic!";;;;"915641717830819840";https://twitter.com/VicrdrJohn/status/915641717830819840;CandismBRR
