username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
BoatsAndJoes_;2017-11-01 11:16;0;1;"I’m Danny Dyer and welcome to hardest men in football, in this weeks program, Conor Lattka";;;;"925682971264339969";https://twitter.com/BoatsAndJoes_/status/925682971264339969;_Bheanian_
MorganGGMU;2017-10-02 13:34;0;2;"Danny Dyer 's: Rossairs most wanted";;;;"914846140897611776";https://twitter.com/MorganGGMU/status/914846140897611776;Conor_Murphy1
jaymmmzztho;2017-09-27 00:15;0;0;"Danny dyer as a lad was a snack";;;;"912833085019971584";https://twitter.com/jaymmmzztho/status/912833085019971584;conor_chaplin
acornshandy;2017-09-23 13:18;0;1;"My team to beat Wolves wud be Davies Steele Yeadon Stones Bree Taggart Mccarthy Hammill Moncur Redfearn Conor Ugbo Thiam Ward Dyer";;;;"911580530331840514";https://twitter.com/acornshandy/status/911580530331840514;
UNILADFooty;2017-08-25 13:05;46;139;"The Conor McGregor vs Floyd Mayweather undercard has been announced: Zlatan vs Kjaer Bowyer vs Dyer Diego Costa vs Skrtel Mexes vs Mauri pic.twitter.com/v3Mi6Emnvl";;;;"901067892736831488";https://twitter.com/UNILADFooty/status/901067892736831488;
ewanrobertson95;2017-08-22 23:10;0;0;"Conor McGregor, Paulie Malignaggi Have Heated Confrontation - MMA Fighting @aarron_ dyer https://www. youtube.com/watch?v=uakNbr Tkfh4&feature=share …";;@aarron_;;"900133227633012737";https://twitter.com/ewanrobertson95/status/900133227633012737;
whiteley_martin;2017-08-06 11:42;0;0;"I don't think he offered much other than getting on Conor 's crosses. I never rated him. Dyer was better as well for me.";;;;"894161706733252609";https://twitter.com/whiteley_martin/status/894161706733252609;sykesy1983,athersleyredsSB
DanColantonio4;2017-07-06 18:15;0;1;"I wish Twitter brought back the Favorite in addition to the Like to express show much I agree with this";;;;"883026582016753665";https://twitter.com/DanColantonio4/status/883026582016753665;Dyer_Wolf_
sqstudios;2017-07-03 15:42;0;0;"Danny Dyer will be presenting this on @davechannel by the end of the year.";;@davechannel;;"881900857255710720";https://twitter.com/sqstudios/status/881900857255710720;conor__jm
PhillyChristian;2017-05-31 22:27;0;1;"Doubt that kid trusts the process anymore.";;;;"870044120269697024";https://twitter.com/PhillyChristian/status/870044120269697024;Dyer_Wolf_
shaniccce;2017-05-21 21:48;0;0;"Clayton noo!";;;;"866410329751859200";https://twitter.com/shaniccce/status/866410329751859200;Dyer_Wolf_
DimalineHarry;2017-04-23 08:55;0;8;"Dunno why ma mum thinks she's danny dyer after a drink come in last night floating about like she's conor mcgregor";;;;"856068994310311936";https://twitter.com/DimalineHarry/status/856068994310311936;
_lissyjones;2017-04-11 00:10;0;1;"Danny Dyer PHWOAR";;;;"851588211835011072";https://twitter.com/_lissyjones/status/851588211835011072;KieranAllen_,conor_tudor
VladSmishkewych;2017-03-14 11:37;2;2;"Thanks @stephanie_ dyer & stellar playing by you, Conor , Eva & Yonit. Thanks also @GalwayCityCo @gwy_earlymusic @RTElyricfm @EarlyMusicDay";;@stephanie_ @GalwayCityCo @gwy_earlymusic @RTElyricfm @EarlyMusicDay;;"841614211591606272";https://twitter.com/VladSmishkewych/status/841614211591606272;stephanie_dyer
Vicki1959;2017-02-12 18:55;0;0;"@JosephLBast @Jerry_Giorgio @Conor _ Dyer @missmissmissu @ryan100_100ryan Very good everyone to see! http:// bit.ly/2k7W4jF";;@JosephLBast @Jerry_Giorgio @Conor @missmissmissu @ryan100_100ryan;;"830852724648509440";https://twitter.com/Vicki1959/status/830852724648509440;
TuttoParioli;2017-02-05 13:49;0;0;"Mike Catt and Conor O'Shea taking their seats for Federugby v WelshRugbyUnion #ITAvWAL SixNationsRugby pic.twitter.com/6qnMVOMAII by Ioan_ Dyer";;;#ITAvWAL;"828239115363684352";https://twitter.com/TuttoParioli/status/828239115363684352;
GRoblyn;2017-02-05 12:26;0;0;"Conor benn did the same. Shame same can't be said for Paul ince and Kieron Dyer";;;;"828218272361357312";https://twitter.com/GRoblyn/status/828218272361357312;boxingrob1990,leeselby126
PerthHeat;2017-01-05 10:38;1;3;"Lineups: @PerthHeat Wong, Dyer , Hughes, T Kennelly, Peterson, Riley, M Kennelly, Bojarski, S Kennelly - SP: Conor Lourey";;@PerthHeat;;"816957142934532096";https://twitter.com/PerthHeat/status/816957142934532096;
Miriam_Kelliher;2016-12-22 10:27;0;0;"Looks like he's trying 2hard 2dress like Conor McGregor.I'd say he's failed,but McG's recent "fashion" picks have been dyer !";;;;"811880769014689792";https://twitter.com/Miriam_Kelliher/status/811880769014689792;Rubberbandits
shabrina_aida;2016-12-01 15:11;0;0;"Om Conor ngepans Danny Dyer xDDD https:// twitter.com/conorwoodman/s tatus/804259800196534273 …";;;;"804342135755395072";https://twitter.com/shabrina_aida/status/804342135755395072;
DeanAinsworth;2016-10-04 09:18;0;0;"Danny Dyer , Boris Johnson, Tyson Fury, Conor McGregor";;;;"783234778803863552";https://twitter.com/DeanAinsworth/status/783234778803863552;Cozzie1981,fastFT
Rhys_callow;2016-08-22 15:31;0;0;"Mark Wright Vs Danny Dyer is the new Conor McGregor Vs Nate Diaz";;;;"767746099213926400";https://twitter.com/Rhys_callow/status/767746099213926400;
alexevans26;2016-08-20 13:34;0;2;"I'm going for a McGregor decision!";;;;"766991779287687168";https://twitter.com/alexevans26/status/766991779287687168;dyer_dyer,MARC0_ALEXANDRE,TheNotoriousMMA
KarsynHopp;2016-08-09 02:25;1;11;"Conor Dyer cute as heck Chad Le Clos cute as heck Kevin Cordes cute as heck Nathan Adrian Cody Miller Michael Phelps I love swimming";;;;"762837081378791424";https://twitter.com/KarsynHopp/status/762837081378791424;
stephie08;2016-06-10 22:28;0;4;"Someone I know is lovin' that Conor McGregor RT'd them. Well I'm blocked by Jeremy Kyle *and* Danny Dyer so I win.";;;;"741396692952567808";https://twitter.com/stephie08/status/741396692952567808;
SarahWalton22;2016-05-21 21:48;0;0;"Thank you & welcome Billy Read, Zach Silver, Tom Hollands, Conor Hyde & Jamie Dyer for the new likes & support.. Appreciate it guys 󾌰";;;;"734138820535406598";https://twitter.com/SarahWalton22/status/734138820535406598;
