username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
denver7717;2017-10-14 05:04;0;0;"the city got a bit of a face lift.";;;;"919066398621548544";https://twitter.com/denver7717/status/919066398621548544;DailyNewsDenver
GTK54;2017-10-13 18:14;0;0;"You tell me anyone who is perfect, look, Garrett Bolles played for the Running Utes( University of Utah) and Coach Whittingham. He's Great !";;;;"918902779346747392";https://twitter.com/GTK54/status/918902779346747392;DailyNewsDenver
reubenwoodruff;2017-10-12 23:55;0;0;"Vile and almost comically untrue.";;;;"918626084668579842";https://twitter.com/reubenwoodruff/status/918626084668579842;DailyNewsDenver
reubenwoodruff;2017-10-12 23:23;0;0;"It's about time!";;;;"918618053297893376";https://twitter.com/reubenwoodruff/status/918618053297893376;DailyNewsDenver
Zaps80;2017-10-11 16:33;0;0;"Seems like a pretty typical internet response.";;;;"918152537810915331";https://twitter.com/Zaps80/status/918152537810915331;DailyNewsDenver
straight_arrow;2017-10-06 01:46;0;0;"huh";;;;"916117487829184512";https://twitter.com/straight_arrow/status/916117487829184512;
VenuePromenade;2017-10-05 23:34;0;0;"Denver’s Food For Thought is an amazing organization, providing weekend meals to kids in need! #Denver";;;#Denver;"916084273416998912";https://twitter.com/VenuePromenade/status/916084273416998912;DailyNewsDenver
straight_arrow;2017-10-05 00:58;0;0;". Wap #Wap @RemaynRytu Mosquito! GetItRightKid @emilynussbaum @LHSummers @DailyNewsDenver @VRWomen #Sllnt pic.twitter.com/D6nriUqOLW";;@RemaynRytu @emilynussbaum @LHSummers @DailyNewsDenver @VRWomen;#Wap #Sllnt;"915743053763227648";https://twitter.com/straight_arrow/status/915743053763227648;
GTK54;2017-10-03 16:24;0;0;"It's about time.";;;;"915251320050692096";https://twitter.com/GTK54/status/915251320050692096;DailyNewsDenver
GTK54;2017-10-03 01:21;0;0;"The Winning Line up Silly";;;;"915024055316635648";https://twitter.com/GTK54/status/915024055316635648;DailyNewsDenver
GTK54;2017-10-03 01:19;0;0;"GO GET 'UM ROCKIES";;;;"915023579992883201";https://twitter.com/GTK54/status/915023579992883201;DailyNewsDenver
Colfaxsnug;2017-10-02 02:05;0;1;"Thanks for the follows! @DailyNewsDenver @thornecassidy @irish_daily_ @StephanieHworks @PippinsTavern @HistoricRoute40 @CHUNDenver";;@DailyNewsDenver @thornecassidy @irish_daily_ @StephanieHworks @PippinsTavern @HistoricRoute40 @CHUNDenver;;"914672637762301952";https://twitter.com/Colfaxsnug/status/914672637762301952;
PotatoisI;2017-09-29 23:08;1;0;"Why not. It’s lost everything else about it to yuppies.";;;;"913903297643167744";https://twitter.com/PotatoisI/status/913903297643167744;DailyNewsDenver
GTK54;2017-09-28 21:02;0;0;"Let's Hear it for the University of Utah Running Utes !!!! GO BRONCOS";;;;"913509202403848193";https://twitter.com/GTK54/status/913509202403848193;DailyNewsDenver
mc2inspections;2017-09-27 23:35;2;1;"Our Top Picks: http:// paper.li/mc2inspections /1419021332?edition_id=92d2f180-a3dc-11e7-bd9c-0cc47a0d1609 … http:// mc2homeinspectionsdenver.com Stories via @DailyNewsDenver @Tewksbury_RE @JackGuttentag #realestate";;@DailyNewsDenver @Tewksbury_RE @JackGuttentag;#realestate;"913185406581198848";https://twitter.com/mc2inspections/status/913185406581198848;
TonyGrungy;2017-09-27 15:50;0;0;"Back in the day we would've rolled up on that school and settled shit behind the scenes";;;;"913068333548814336";https://twitter.com/TonyGrungy/status/913068333548814336;DailyNewsDenver
JehseaLynn;2017-09-26 05:41;0;0;"You call this an article? An alert? A bulletin? WTF is this even posted for? smh.";;;;"912552778232459264";https://twitter.com/JehseaLynn/status/912552778232459264;DailyNewsDenver
GTK54;2017-09-24 12:51;0;0;"The SOUTH SHALL RISE AGAIN";;;;"911936131834327040";https://twitter.com/GTK54/status/911936131834327040;DailyNewsDenver
1kevinkerby;2017-09-22 21:14;0;0;"It is hallarious";;;;"911337833746460672";https://twitter.com/1kevinkerby/status/911337833746460672;DailyNewsDenver
