username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
MindfulnessDC;2017-10-20 19:19;0;1;"In The Flow with Dr. Deborah Norris : http:// youtu.be/2JPNTXaor18?a via @YouTube";;@YouTube;;"921455927408185344";https://twitter.com/MindfulnessDC/status/921455927408185344;
MindfulnessDC;2017-10-20 18:39;0;0;"In The Flow with Dr. Deborah Norris : http:// youtu.be/iBhdfSnSvFM?a via @YouTube";;@YouTube;;"921445822486712320";https://twitter.com/MindfulnessDC/status/921445822486712320;
sindyyogini;2017-10-05 19:54;0;0;"@danbharris I'm a huge fan of the podcast and think Dr. Deborah Norris from The Mindfulness Center in Bethesda would be a great guest!";;@danbharris;;"916028772213764097";https://twitter.com/sindyyogini/status/916028772213764097;
HeidiCramm;2017-09-26 16:03;1;3;"Dr Deborah Norris MSVU presents on post traumatic growth among CAF Veteran couples #CIMVHR17 framed around a cycle of (in)stability pic.twitter.com/V4EJkPuTx6";;;#CIMVHR17;"912709178170462209";https://twitter.com/HeidiCramm/status/912709178170462209;
MSVU_Halifax;2017-09-26 12:06;2;15;"Great news! Dr. Deborah Norris is a Family Studies & Gerontology professor at the Mount! https:// twitter.com/CIMVHR_ICRSMV/ status/912329626852184064 …";;;;"912649672430374912";https://twitter.com/MSVU_Halifax/status/912649672430374912;
KellyDSchwartz;2017-09-25 21:52;1;0;"Pleased to present @CIMVHR_ICRSMV Forum our Vet families in transition study w/ @HeidiCramm and Dr. Deborah Norris . pic.twitter.com/tx5AmFGEeJ";;@CIMVHR_ICRSMV @HeidiCramm;;"912434596964388864";https://twitter.com/KellyDSchwartz/status/912434596964388864;
CIMVHR_ICRSMV;2017-09-25 16:20;1;4;"CIMVHR Fellow, Dr. Deborah Norris presents 'Post-traumatic Growth & #PTSD : A scoping Review' at #CIMVHR @MSVU_Halifax 17";;@MSVU_Halifax;#PTSD #CIMVHR;"912351024903540738";https://twitter.com/CIMVHR_ICRSMV/status/912351024903540738;
CIMVHR_ICRSMV;2017-09-25 14:55;2;5;"Congratulations to Dr. Deborah Norris , named as a 2017 Canadian Institute for Military & Veteran Health Research Fellow! @MSVU_Halifax pic.twitter.com/6dVnXTZazT";;@MSVU_Halifax;;"912329626852184064";https://twitter.com/CIMVHR_ICRSMV/status/912329626852184064;
toddjeff09;2017-08-06 20:27;0;0;"Two new songs coming from Old Dog's Records. Recording Artist and singer songwriter Deborah Norris will be... http:// fb.me/xmzkyqya";;;;"894293752956801027";https://twitter.com/toddjeff09/status/894293752956801027;
kdwilso2;2017-07-03 18:30;0;0;"Kerry Douglas Deborah Norris";;;;"881943261815943168";https://twitter.com/kdwilso2/status/881943261815943168;
RealtorSullivan;2017-05-06 18:19;0;0;"Deborah Norris Mello have you seen this? It's about time! http:// fb.me/30CdiSObw";;;;"860921908325437440";https://twitter.com/RealtorSullivan/status/860921908325437440;
MoneyGovernment;2017-04-22 23:10;0;0;"#MoneyInGovernment #DeborahNorris #PierceCounty https:// goo.gl/Kxm324";;;#MoneyInGovernment #DeborahNorris #PierceCounty;"855921871782649856";https://twitter.com/MoneyGovernment/status/855921871782649856;
MoneyGovernment;2017-04-22 23:03;0;0;"#MoneyInGovernment #DeborahNorris #PierceCounty https:// goo.gl/aXdZRx";;;#MoneyInGovernment #DeborahNorris #PierceCounty;"855919951277961216";https://twitter.com/MoneyGovernment/status/855919951277961216;
MoneyGovernment;2017-04-22 22:55;0;0;"#MoneyInGovernment #DeborahNorris #PierceCounty https:// goo.gl/BqKadL";;;#MoneyInGovernment #DeborahNorris #PierceCounty;"855917908773539840";https://twitter.com/MoneyGovernment/status/855917908773539840;
LGatHP;2017-04-10 17:16;0;0;"Surely #FaceBook there has got to be more than Deborah Norris on my News feed today.";;;#FaceBook;"851484082076884992";https://twitter.com/LGatHP/status/851484082076884992;
kdwilso2;2017-04-09 17:25;0;0;"Deborah Norris http:// fb.me/3NO57OKau";;;;"851124030816100357";https://twitter.com/kdwilso2/status/851124030816100357;
painwiseliving;2017-03-02 08:53;0;0;"Excellent 4 Part Series on "Mindfulness Meditation as Therapy" Kaplan Center - Featuring Deborah Norris , Ph.D. https:// youtu.be/GneGjRIIadU";;;;"837224207025000448";https://twitter.com/painwiseliving/status/837224207025000448;
AU_Psych_Dept;2017-01-31 16:40;0;0;"Psychologist-in-Residence in @AU_Psych_Dept , Deborah Norris , Ph.D. Recently published her book “In the Flow.” http:// amzn.to/2kQuPWDn";;@AU_Psych_Dept;;"826470267035729921";https://twitter.com/AU_Psych_Dept/status/826470267035729921;
HypermobileYogi;2017-01-21 14:59;0;0;"Just attended Book Launch Party for "In the Flow", by Deborah Norris , Ph.D. at @MindfulnessD http:// get.mndbdy.ly/s1ud/cz3d7ADq7z pic.twitter.com/w1rIUKw4tD";;@MindfulnessD;;"822820846146322437";https://twitter.com/HypermobileYogi/status/822820846146322437;
paulareeves821;2017-01-13 16:02;0;0;"Book Launch Party for "In the Flow", by Deborah Norris , Ph.D. http:// fb.me/8jKOC3diO";;;;"819937551356166144";https://twitter.com/paulareeves821/status/819937551356166144;
MHayesEstero;2017-01-08 22:13;0;0;"Ughhhhhh, Deborah Norris !! ALL YOUR FAULT!!!! :) :) :)";;;;"818219057459724288";https://twitter.com/MHayesEstero/status/818219057459724288;
MHayesEstero;2017-01-08 13:30;0;0;"UGHHHH, Deborah Norris !!! ALL YOUR FAULT!!! :) :) :)";;;;"818087485171347457";https://twitter.com/MHayesEstero/status/818087485171347457;
MHayesEstero;2017-01-08 02:19;0;0;"Deborah Norris , just for you. http:// fb.me/8j38PTNOh";;;;"817918703996125184";https://twitter.com/MHayesEstero/status/817918703996125184;
garnerbarro;2017-01-03 18:27;0;0;"Mindfulness Meditation as Therapy, Featuring Deborah Norris , Ph.D., Part 3 of 3 http:// organic.garnerbarro.com/2017/01/03/min dfulness-meditation-as-therapy-featuring-deborah-norris-ph-d-part-3-of-3/ … pic.twitter.com/IzBDVuRcbu";;;;"816350227871531008";https://twitter.com/garnerbarro/status/816350227871531008;
JoJoWazoo;2016-12-19 22:24;0;0;"Deborah Norris McQuinn. That Granddaughter of ours, Kaelyn Marie...... We were driving around looking at... http:// fb.me/5lBZuCIQc";;;;"810974007776395265";https://twitter.com/JoJoWazoo/status/810974007776395265;
ConnieTBowman;2016-10-28 11:18;0;1;"Listen as I interview Deborah Norris , Ph. D. about the many benefits of meditation. In the Flow http:// conniebowman.com/happyhealthyyo u/2016/10/in-the-flow/ … via @ConnieTBowman";;@ConnieTBowman;;"791962393421066241";https://twitter.com/ConnieTBowman/status/791962393421066241;
ConnieTBowman;2016-10-27 11:34;0;0;"Get "in the flow" with us tomorrow on the Happy Healthy You! podcast when Deborah Norris , PhD gives us the skinny... http:// fb.me/3LzmrowTy";;;;"791603966719234050";https://twitter.com/ConnieTBowman/status/791603966719234050;
HIVEdmonton;2016-10-20 22:53;2;0;"Deborah Norris , long standing #hiv advocate talks to our group preparing to join her by sharing their own lived experience! Thanks @ViiVHC pic.twitter.com/UGkjTMTEbG";;@ViiVHC;#hiv;"789238026945691649";https://twitter.com/HIVEdmonton/status/789238026945691649;
ConnieTBowman;2016-10-04 11:56;0;0;"Author, founder of the DC Mindfulness Center and friend Deborah Norris , PhD has a new book entitled In the Flow... http:// fb.me/5cq3UxAoP";;;;"783274686767652864";https://twitter.com/ConnieTBowman/status/783274686767652864;
JoEllenLitz;2016-06-19 12:11;0;0;"So many people seem to enjoy the history of Lebanon County, so I thought I'd share my research on Deborah Norris Coleman Brock.";;;;"744502791574454272";https://twitter.com/JoEllenLitz/status/744502791574454272;
MAREMARINE;2016-04-25 20:33;0;0;"Michael and Deborah Norris picked up their Ranger MPV 1652 at MARE Inc from John Sisson on their anniversary.... http:// fb.me/4nRaQ2llh";;;;"724697792988499968";https://twitter.com/MAREMARINE/status/724697792988499968;
HillDNorris;2016-04-23 16:21;0;8;"Get a sun kissed glow with Youniques Beachfront Products! Younique Virtual Party for Deborah Norris http://www. youniqueproducts.com/DeborahNorris/ party/4016986/view …";;;;"723909774497165312";https://twitter.com/HillDNorris/status/723909774497165312;
