username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
tom_lewisville;2017-08-02 11:34;0;0;"Last time I checked statues can't talk.";;;;"892710235990884352";https://twitter.com/tom_lewisville/status/892710235990884352;DominicValent
ASElliotKing;2017-07-26 10:10;0;0;"FTW!";;;;"890152354829434880";https://twitter.com/ASElliotKing/status/890152354829434880;DominicValent
Clearwatrs;2017-07-13 19:32;0;0;"@DominicValent pic.twitter.com/RUiHy7RojS";;@DominicValent;;"885582644284715008";https://twitter.com/Clearwatrs/status/885582644284715008;
trevor_prather;2017-05-31 19:37;0;0;"@DominicValent happy birthday!";;@DominicValent;;"870001216423514112";https://twitter.com/trevor_prather/status/870001216423514112;
tzerigawa;2017-04-12 04:08;0;3;"@charley_ck14 @JessicaNexus @Aricka_Shuck @DominicValent @lisamarie1222 @scottruegg @Darth_Pingu I'd read it.";;@charley_ck14 @JessicaNexus @Aricka_Shuck @DominicValent @lisamarie1222 @scottruegg @Darth_Pingu;;"852010489215188992";https://twitter.com/tzerigawa/status/852010489215188992;Darth_Pingu,CheechooTrain
Machete_Tigre;2017-02-05 03:31;0;0;"@DominicValent HELLO FURRIEND, HOWL ARE YOU DOING?";;@DominicValent;;"828083666156978176";https://twitter.com/Machete_Tigre/status/828083666156978176;
ladycherrycake;2017-01-21 14:30;0;0;"True. Nice advise RT. #WhatIWouldTellA15YearOldMe .... Do not be afraid to speak up especially when you know you are right. @DominicValent";;@DominicValent;#WhatIWouldTellA15YearOldMe;"822813705108918276";https://twitter.com/ladycherrycake/status/822813705108918276;DominicValent
AbuMarz;2017-01-14 10:02;0;0;"oy vey";;;;"820209568508706816";https://twitter.com/AbuMarz/status/820209568508706816;DominicValent
theusagirl;2017-01-11 19:57;0;0;"@DominicValent Thanks for the follow...";;@DominicValent;;"819271958613413897";https://twitter.com/theusagirl/status/819271958613413897;
YouCanStilLive;2017-01-11 18:00;0;0;"@DominicValent Thanks for following! My page is all about maximizing the best of life no matter the situation. Stay great!-RLC";;@DominicValent;;"819242507649351684";https://twitter.com/YouCanStilLive/status/819242507649351684;
infowest;2017-01-11 17:24;0;1;"@DominicValent Thank you for the follow! #HappyWednesday";;@DominicValent;#HappyWednesday;"819233523345199105";https://twitter.com/infowest/status/819233523345199105;
VeeBear;2017-01-11 13:03;0;0;"@DominicValent hallo! Thanks for the follow! Would love you to check out my music http://www. veritysmith.com";;@DominicValent;;"819167923944247296";https://twitter.com/VeeBear/status/819167923944247296;
MrsPrester;2017-01-03 20:54;0;0;"Thanks for the recent follow @DominicValent @ParrotEducation Happy to connect :) have a great Tuesday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@DominicValent @ParrotEducation;;"816387300527640580";https://twitter.com/MrsPrester/status/816387300527640580;
BrainstainNews;2016-12-29 12:14;0;1;"@Aiden7757 @HackettWrites @DominicValent @DickyIrwin Cheers for the follow guys! Hope you enjoy your stay here at Brainstain News central";;@Aiden7757 @HackettWrites @DominicValent @DickyIrwin;;"814444444166606849";https://twitter.com/BrainstainNews/status/814444444166606849;
GodsTeapot;2016-12-28 21:21;0;0;"@DominicValent thanks for following";;@DominicValent;;"814219770442588160";https://twitter.com/GodsTeapot/status/814219770442588160;
TY4C1;2016-12-28 20:57;0;0;"@DominicValent hello";;@DominicValent;;"814213709899898880";https://twitter.com/TY4C1/status/814213709899898880;
EdwinKanu;2016-12-28 20:05;0;0;"@DominicValent Thanks for following me! Tell everyone to follow/mention @EdwinKanu ! #HappyHolidays";;@DominicValent @EdwinKanu;#HappyHolidays;"814200737240674304";https://twitter.com/EdwinKanu/status/814200737240674304;
Protogenes1;2016-12-28 16:30;0;1;"@DominicValent ha don't bet on it";;@DominicValent;;"814146440004042756";https://twitter.com/Protogenes1/status/814146440004042756;xxMichelleSxx
