username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Timestopped4u;2017-06-25 00:50;0;0;"Thanks for the recent follow @MiltonPost @DorothieBell ! Happy to connect :) have a great Saturday. >> Want this ? https:// commun.it/get-more-follo wers/?aid=thankyou154 …";;@MiltonPost @DorothieBell;;"878777456127332352";https://twitter.com/Timestopped4u/status/878777456127332352;
Timestopped4u;2017-05-25 00:51;0;0;"Thanks for the recent follow @MiltonPost @DorothieBell ! Happy to connect :) have a great Wednesday. Want this https:// commun.it/thank-you/?aid =thankyou141 …";;@MiltonPost @DorothieBell;;"867543615916167168";https://twitter.com/Timestopped4u/status/867543615916167168;
Timestopped4u;2017-04-25 00:50;0;0;"Thanks for the recent follow @MiltonPost @DorothieBell @eventswithSOHO ! Happy to connect :) have a great Monday. https:// commun.it/thank-you/?aid =thankyou136 …";;@MiltonPost @DorothieBell @eventswithSOHO;;"856671719196684288";https://twitter.com/Timestopped4u/status/856671719196684288;
baldit;2017-04-17 22:50;0;0;"@DorothieBell Hi Dorothie; any chance of a follow in my future? :-)";;@DorothieBell;;"854104846282129408";https://twitter.com/baldit/status/854104846282129408;
Cris_Michelle21;2017-04-02 19:32;0;0;"@DorothieBell @lashundamaglio5 @HipHopFRA @ShellyC78839855 @tyleer___ https:// twitter.com/i/moments/8486 15908977254400?from_editor=true …";;@DorothieBell @lashundamaglio5 @HipHopFRA @ShellyC78839855 @tyleer___;;"848619188704878592";https://twitter.com/Cris_Michelle21/status/848619188704878592;
Timestopped4u;2017-03-24 18:22;0;0;"Thanks for the recent follow @MiltonPost @DorothieBell @eventswithSOHO ! Happy to connect :) have a great Friday. >> http:// bit.ly/_want_this_free";;@MiltonPost @DorothieBell @eventswithSOHO;;"845339986610307072";https://twitter.com/Timestopped4u/status/845339986610307072;
RexRedbone;2017-03-17 20:19;0;1;"@DorothieBell @Lonnie_Szoke @t_beez22 @pepethetroll @Honest_Hillary https:// twitter.com/i/moments/8427 73188551442433?from_editor=true …";;@DorothieBell @Lonnie_Szoke @t_beez22 @pepethetroll @Honest_Hillary;;"842832908620648448";https://twitter.com/RexRedbone/status/842832908620648448;
readwriteblue;2017-03-07 20:53;0;0;"Top retweeters this week, @mpg25mary @DorothieBell @DataCompetition : Thank you :) >> Want this ? https:// commun.it/?aid=thankyou1 55 …";;@mpg25mary @DorothieBell @DataCompetition;;"839217511069548544";https://twitter.com/readwriteblue/status/839217511069548544;
Corp125Vet;2017-03-05 12:31;0;1;"@DorothieBell Shut them Down Feds lets go";;@DorothieBell;;"838366390486724610";https://twitter.com/Corp125Vet/status/838366390486724610;FriendlyJMC
sectu912er;2017-03-03 00:19;0;0;"@DorothieBell lying libtards never satisfied";;@DorothieBell;;"837457393982320640";https://twitter.com/sectu912er/status/837457393982320640;Conservatexian
Cris_Michelle21;2017-02-27 21:01;0;0;"@coolkicks4us @MatrealG @JohnsonTaft @freddyjock @yumacellrepair @cIassy @wiesneski_luke @DorothieBell https:// twitter.com/i/moments/8354 18182592557066?from_editor=true …";;@coolkicks4us @MatrealG @JohnsonTaft @freddyjock @yumacellrepair @cIassy @wiesneski_luke @DorothieBell;;"836320331954601984";https://twitter.com/Cris_Michelle21/status/836320331954601984;
Timestopped4u;2017-02-22 16:59;0;0;"Thanks for the recent follow @DorothieBell @eventswithSOHO ! Happy to connect :) have a great Wednesday. Get this https:// commun.it/thank-you/?aid =thankyou126 …";;@DorothieBell @eventswithSOHO;;"834447538099015680";https://twitter.com/Timestopped4u/status/834447538099015680;
LSUJEFF;2017-02-16 23:16;0;0;"RT @DorothieBell RT @readwriteblue https:// twitter.com/readwriteblue/ status/831990277216759808 …";;@DorothieBell @readwriteblue;;"832367956860432384";https://twitter.com/LSUJEFF/status/832367956860432384;
LyleKlich;2017-02-12 08:09;1;0;"@DorothieBell @BreitbartNews Boycott!";;@DorothieBell @BreitbartNews;;"830690387664711680";https://twitter.com/LyleKlich/status/830690387664711680;MrsCannabis
JanetPursley;2017-02-12 02:45;2;2;"@DorothieBell Amazing isn't it? Some ppl.are so radicalized by Leftist rhetoric that they are willing to lose their Business!";;@DorothieBell;;"830608645184507904";https://twitter.com/JanetPursley/status/830608645184507904;Midgespeaks
Inteliscope;2017-02-03 15:41;0;0;"#firearms Thanks for the RT!";;;#firearms;"827542616195608576";https://twitter.com/Inteliscope/status/827542616195608576;Inteliscope,DorothieBell
traveler002;2017-02-02 18:51;0;0;"@DorothieBell @dcexaminer McCain has no business contacting the Prime minister of Australia. He needs to apologize to Trump";;@DorothieBell @dcexaminer;;"827228040111517697";https://twitter.com/traveler002/status/827228040111517697;Conservatexian
Timestopped4u;2017-01-28 00:50;0;0;"Thanks for the recent follow @DorothieBell @eventswithSOHO ! Happy to connect :) have a great Friday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@DorothieBell @eventswithSOHO;;"825144062118391812";https://twitter.com/Timestopped4u/status/825144062118391812;
JohnKyleOlsen;2017-01-24 17:25;0;0;"I believe this applies to every member of our armed forces; "the fullest measure of devotion".";;;;"823944898546176001";https://twitter.com/JohnKyleOlsen/status/823944898546176001;Network_Citizen,DorothieBell,JAmy208
TrumpTrainOnly;2017-01-23 05:35;0;1;"@DorothieBell @saxonbushell and Dave has REAL friends not crazy lunatic Libs driving off a cliff !!!!!";;@DorothieBell @saxonbushell;;"823403669320142851";https://twitter.com/TrumpTrainOnly/status/823403669320142851;RubinReport
JohnKyleOlsen;2017-01-22 14:07;0;0;"This was a really cool car. Looking forward to seeing the new edition sometime this year.";;;;"823170182680027136";https://twitter.com/JohnKyleOlsen/status/823170182680027136;HistoryTime_,DorothieBell
TheWhoDatDiva;2017-01-22 00:21;0;0;"WOULD LIKE TO SEE THE FACTS FOR THIS STATMENT !!!";;;;"822962480641146884";https://twitter.com/TheWhoDatDiva/status/822962480641146884;DorothieBell
kschwartz88;2017-01-21 23:28;0;1;"Ya thats a message you want your children to hear from a washed up celeb. No class & no one listening";;;;"822949021190762496";https://twitter.com/kschwartz88/status/822949021190762496;RedNationRising,DorothieBell
