username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
sunmanpatu;2017-03-22 21:37;0;0;"Top retweeters this week, @Dab_Judah2 @DrMichaelGarcia @NPRJane : Thank you :) >> Want this ? https:// commun.it/thank-you/?aid =thankyou153 …";;@Dab_Judah2 @DrMichaelGarcia @NPRJane;;"844664429895651329";https://twitter.com/sunmanpatu/status/844664429895651329;
gotdem;2017-03-05 11:11;0;0;"@DrMichaelGarcia @zerohedge Delete this, Snopes says it derives from Alex Jones' Info Wars";;@DrMichaelGarcia @zerohedge;;"838346125446803456";https://twitter.com/gotdem/status/838346125446803456;nmsaints87124
ohyeslawd;2017-03-04 01:10;0;1;"@AFRICANGLOBE_ @IGD_News @DrMichaelGarcia @ananavarro @rolandsmartin @trueblackresist Could this happen w/ #DAPL ? Of course yes! #Colombia https:// twitter.com/telesurenglish /status/837822405405986816 …";;@AFRICANGLOBE_ @IGD_News @DrMichaelGarcia @ananavarro @rolandsmartin @trueblackresist;#DAPL #Colombia;"837832552870207490";https://twitter.com/ohyeslawd/status/837832552870207490;
StateofGlobe;2017-03-02 23:06;1;1;"The latest The State of Globe Daily! http:// paper.li/StateofGlobe/1 322359598?edition_id=e23ae370-ff9c-11e6-ba17-0cc47a0d1609 … Thanks to @z56po @MyblueNM @DrMichaelGarcia #tcot #ctl";;@z56po @MyblueNM @DrMichaelGarcia;#tcot #ctl;"837439030274969600";https://twitter.com/StateofGlobe/status/837439030274969600;
KsKM3;2017-03-02 14:30;2;3;"Um, @SenFranken , you should be asking him to resign. #FireSessions @CNNPolitics @DrMichaelGarcia";;@SenFranken @CNNPolitics @DrMichaelGarcia;#FireSessions;"837309196999790592";https://twitter.com/KsKM3/status/837309196999790592;CNNPolitics
mjleshomo;2017-02-23 10:40;0;0;"@DrMichaelGarcia pic.twitter.com/Wnf11HpcV7";;@DrMichaelGarcia;;"834714594010611712";https://twitter.com/mjleshomo/status/834714594010611712;sherlockmichael
sunmanpatu;2017-02-20 21:05;0;0;"Top retweeters this week, @DrMichaelGarcia @laletrasiente @lals131999 : Thank you :) Want this https:// commun.it/?aid=thankyou1 43 …";;@DrMichaelGarcia @laletrasiente @lals131999;;"833784687390781443";https://twitter.com/sunmanpatu/status/833784687390781443;
hypersmith;2017-02-18 14:38;0;1;"The latest The Hypersmith Morning Post! http:// paper.li/hypersmith?edi tion_id=dd2c0940-f5e7-11e6-89dc-0cc47a0d15fd … Thanks to @DrMichaelGarcia #amwriting #socialmedia";;@DrMichaelGarcia;#amwriting #socialmedia;"832962417730523139";https://twitter.com/hypersmith/status/832962417730523139;
bjohnsbry;2017-02-13 05:04;0;0;"@DrMichaelGarcia No president in history worked as hard or accomplished anywhere near as much. @realDonaldTrump";;@DrMichaelGarcia @realDonaldTrump;;"831006076661178375";https://twitter.com/bjohnsbry/status/831006076661178375;matthewjdowd
hypersmith;2017-02-12 14:38;0;0;"The latest The Hypersmith Morning Post! http:// paper.li/hypersmith?edi tion_id=de5bef30-f130-11e6-89dc-0cc47a0d15fd … Thanks to @DrMichaelGarcia @CCieszynski_CMC @charlesvlotz2 #amwriting";;@DrMichaelGarcia @CCieszynski_CMC @charlesvlotz2;#amwriting;"830788084199473154";https://twitter.com/hypersmith/status/830788084199473154;
