username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
RaschkeAndre;2017-10-04 20:54;0;0;"Das frage ich mich auch...";;;;"915681547197517826";https://twitter.com/RaschkeAndre/status/915681547197517826;DresdenBote
RaschkeAndre;2017-10-04 19:12;0;0;"Ich bin dafür!!!";;;;"915655866203934720";https://twitter.com/RaschkeAndre/status/915655866203934720;DresdenBote
SchroederFr;2017-10-04 18:16;0;1;"Auch so!";;;;"915641798047002625";https://twitter.com/SchroederFr/status/915641798047002625;DresdenBote,jenspadur1
FalkoTubel;2017-10-04 15:30;0;0;"Schöner sieht es schon aus. Aber wer soll das bezahlen";;;;"915600092970840064";https://twitter.com/FalkoTubel/status/915600092970840064;DresdenBote
IreneJansen9;2017-10-03 19:41;0;0;"Schönes Foto";;;;"915300880957755392";https://twitter.com/IreneJansen9/status/915300880957755392;DresdenBote
RussellsTeekann;2017-10-03 09:23;0;0;"Musste man für Wauwaus früher im Osten auch #Hundesteuer zahlen?Bestimmt nicht! #Tagderdeutscheneinheit";;;#Hundesteuer #Tagderdeutscheneinheit;"915145362750496768";https://twitter.com/RussellsTeekann/status/915145362750496768;DresdenBote
Gustav_1963;2017-09-30 12:34;0;0;"Wünsche ich euch auch. Aber in Dresden heißt das bitteschön SONNABEND! Dieses westliche "rumgeSAMSe" müssen wir doch nicht nachäffen!";;;;"914106110537355264";https://twitter.com/Gustav_1963/status/914106110537355264;DresdenBote
gunfunner;2017-09-29 14:00;0;0;"88 #Nazi Symbole Die Straße ist auch noch von den Nazis #Dresden";;;#Nazi #Dresden;"913765475477319681";https://twitter.com/gunfunner/status/913765475477319681;DresdenBote
RaschkeAndre;2017-09-29 13:34;0;0;"Abschiebung und zwar sofort";;;;"913758785008754689";https://twitter.com/RaschkeAndre/status/913758785008754689;DresdenBote
RaschkeAndre;2017-09-29 13:25;0;0;"Wir brauchen eine schule wo alle Kinder (egal mit Handicap oder gesund) sich Wohlfühlen und stofflich auch gut mitkommen. Momentan nicht gut";;;;"913756712015925249";https://twitter.com/RaschkeAndre/status/913756712015925249;DresdenBote
IreneJansen9;2017-09-28 20:19;0;0;"Ja mei, is denn schon Weihnachten?";;;;"913498340301705221";https://twitter.com/IreneJansen9/status/913498340301705221;DresdenBote
saxowert;2017-09-28 14:41;0;0;"Ja geht's schon wieder los";;;;"913413421810556928";https://twitter.com/saxowert/status/913413421810556928;DresdenBote
Al_Qaiser4;2017-09-28 13:02;0;0;"So its das Denn ?";;;;"913388323598737408";https://twitter.com/Al_Qaiser4/status/913388323598737408;DresdenBote
natsocialist;2017-09-28 10:58;0;0;""Deutschland uber alles"";;;;"913357254669123584";https://twitter.com/natsocialist/status/913357254669123584;DresdenBote
atze_atzig;2017-09-27 23:13;0;0;"(＃｀ن´)ﾉ immer drauf auf die jutta!（＾ｖ＾） Du überforderst die Leute hier mit Satiere,auf den Wink mit der CDU ging auch keiner ein... nur(‿ˠ‿)";;;;"913179801174855680";https://twitter.com/atze_atzig/status/913179801174855680;jutta_ditfurth,DresdenBote
jutta_ditfurth;2017-09-27 21:51;0;1;"Hej @atze_atzig du auch?";;@atze_atzig;;"913159233708978176";https://twitter.com/jutta_ditfurth/status/913159233708978176;atze_atzig,DresdenBote
