username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Suzimiya;2017-09-13 08:22;0;0;"was 'auch'? Sozialhilfe kann man deswegen nicht für alle streichen. Ich meine auch Einheimische";;;;"907882240755081216";https://twitter.com/Suzimiya/status/907882240755081216;otto_hops,Nessie43,Erdollum666
SlaveDuck;2017-07-20 18:58;0;0;"@Erdollum666 ist auch weg... Gesperrt...";;@Erdollum666;;"888110968089190400";https://twitter.com/SlaveDuck/status/888110968089190400;
ivywien;2017-07-16 18:18;0;1;"und Erdowahn wird dem sicher stattgeben.....";;;;"886651325815062528";https://twitter.com/ivywien/status/886651325815062528;Erdollum666
Gothdad;2017-05-28 10:45;0;1;"Es ist zu spät";;;;"868780273047097344";https://twitter.com/Gothdad/status/868780273047097344;Erdollum666,CH2CH2CH2CH2CH2
otto_hops;2017-05-28 10:44;0;0;"einfach die Sozialhilfe streichen, dann bleiben auch die illegalen Migranten weg";;;;"868779886823002112";https://twitter.com/otto_hops/status/868779886823002112;Nessie43,Erdollum666
bildschirmspiel;2017-05-27 13:14;1;0;"Lösch dich";;;;"868455359190622208";https://twitter.com/bildschirmspiel/status/868455359190622208;Erdollum666
heutesnow;2017-05-26 09:34;0;0;"@Erdollum666 https:// twitter.com/Erdollum666/st atus/868034011859480576 …";;@Erdollum666;;"868037590431215616";https://twitter.com/heutesnow/status/868037590431215616;
r_lustig;2017-05-26 07:32;0;0;"für mich eher workout ;)";;;;"868006870639931392";https://twitter.com/r_lustig/status/868006870639931392;Erdollum666
m4rgotkaesemann;2017-05-24 16:13;0;0;"obwohl sie alle ausreisepflichtig sind ;-)";;;;"867413298656026625";https://twitter.com/m4rgotkaesemann/status/867413298656026625;Erdollum666
DieBajuwaren;2017-05-23 11:57;0;0;"@welt fragt nach den Sicherheitskontrollen an den Eingängen. Das Problem sind d. #Sicherheitskontrollen an d. #Grenzen & fehlen #Abschiebung";;@welt;#Sicherheitskontrollen #Grenzen #Abschiebung;"866986408233361408";https://twitter.com/DieBajuwaren/status/866986408233361408;Erdollum666
Erdscheiblette;2017-05-22 13:43;0;0;"Hey @twitter ich bin erwachsen und brauche nicht euren Schutz vor potentiellem Augenkrebs, ok? Nicht zu fassen! :( #Zensur";;@twitter;#Zensur;"866650834351861760";https://twitter.com/Erdscheiblette/status/866650834351861760;Erdscheiblette,Erdollum666
Erdscheiblette;2017-05-22 13:41;0;1;"" @Erdollum666 's account has been withheld in: Deutschland." Zustände wie bei Youtube - ohne GEMA-Feigenblatt. :( #Zensur";;@Erdollum666;#Zensur;"866650262802501633";https://twitter.com/Erdscheiblette/status/866650262802501633;
EbinDidegg;2017-05-22 11:10;0;0;"Polizei gibt Entwarnung: bloß eine Holzkiste. Wahrscheinlich nur eine leere Vodkakiste aus dem Führerhaus des verunglückten Schulzzuges.";;;;"866612184842895361";https://twitter.com/EbinDidegg/status/866612184842895361;Erdollum666
timonisch;2017-05-22 10:50;0;0;"Dude you are fucked";;;;"866607074444275712";https://twitter.com/timonisch/status/866607074444275712;Erdollum666
EbinDidegg;2017-05-18 21:35;0;0;"Warum verschweigt die Presse diesen Vorfall völlig? . @Erdollum666 https:// twitter.com/MahirZeynalov/ status/865301089867923456 …";;@Erdollum666;;"865319931134529536";https://twitter.com/EbinDidegg/status/865319931134529536;
UZieprig;2017-05-18 20:34;0;0;"@Erdollum666 vermisse ich sehr. Verdammte Zensur. @Kittypunk7 , das wird ja immer schlimmer. https:// twitter.com/UZieprig/statu s/865302676866834433 …";;@Erdollum666 @Kittypunk7;;"865304522784223232";https://twitter.com/UZieprig/status/865304522784223232;
BirgitKreusel;2017-05-18 11:00;0;0;"Why is @Erdollum666 withheld in Germany? Didn't realise he was bad.";;@Erdollum666;;"865160272872435712";https://twitter.com/BirgitKreusel/status/865160272872435712;
checkerhd;2017-05-17 01:05;0;0;"@TwitterDE den @Erdollum666 haben Sie gesperrt ? ich habe nur manchmal "reingeschaut" . Was war so schlimm ? oder eine Geste an Erdogan ?";;@TwitterDE @Erdollum666;;"864648115755905025";https://twitter.com/checkerhd/status/864648115755905025;
GoldstubeP;2017-05-16 13:51;0;0;"Mal wieder hat Maas seine Häscher geschickt";;;;"864478365323063297";https://twitter.com/GoldstubeP/status/864478365323063297;Erdollum666
PicturePunxx;2017-05-15 17:41;0;0;":-/";;;;"864173817954017280";https://twitter.com/PicturePunxx/status/864173817954017280;Erdollum666
NichtW1xxen67;2017-05-15 15:34;0;0;"@Erdollum666 Wem gehoert Deutschlkand? .";;@Erdollum666;;"864141982397902848";https://twitter.com/NichtW1xxen67/status/864141982397902848;Erdollum666
Baron_v_Renteln;2017-05-15 13:03;1;0;"Ist Wahlbetrug vereinbar mit dem Gesetz faule Eier fürFrische zu verkaufen?? @ProfJohnix @puffyka81 @FinBotschaftDe @sebastiankurz @omarbula";;@ProfJohnix @puffyka81 @FinBotschaftDe @sebastiankurz @omarbula;;"864103939842740224";https://twitter.com/Baron_v_Renteln/status/864103939842740224;Erdollum666
Baron_v_Renteln;2017-05-15 12:59;1;1;"Welche Partei steht für den Luxus keine Kriminellen Wahrheiten zu verkaufen? @puffyka81 @ProfJohnix @FinBotschaftDe @sebastiankurz @finnland";;@puffyka81 @ProfJohnix @FinBotschaftDe @sebastiankurz @finnland;;"864102963207450625";https://twitter.com/Baron_v_Renteln/status/864102963207450625;Erdollum666
Baron_v_Renteln;2017-05-15 12:56;1;1;"@ProfJohnix @puffyka81 Zweitens zu Korruptionssicherung der Beamten Ein Beamtenbestechungsgesetz Modell FI. @sebastiankurz @FinBotschaftDe";;@ProfJohnix @puffyka81 @sebastiankurz @FinBotschaftDe;;"864102124887703558";https://twitter.com/Baron_v_Renteln/status/864102124887703558;Erdollum666
Baron_v_Renteln;2017-05-15 12:51;2;1;"@ProfJohnix @puffyka81 Wichtig sind die Änderungen kriminell legalisiertes Abgeordneten Bestechungsgesetz. @FinBotschaftDe @sebastiankurz";;@ProfJohnix @puffyka81 @FinBotschaftDe @sebastiankurz;;"864101047429713921";https://twitter.com/Baron_v_Renteln/status/864101047429713921;Erdollum666
AME_Nachrichten;2017-05-11 21:12;0;0;"#AMEPRES dankt den letzten Followern @Erdollum666 @goals_bundes Happy to connect :) have a great Thursday. https:// commun.it/thank-you/?aid =thankyou135 …";;@Erdollum666 @goals_bundes;#AMEPRES;"862777409740918784";https://twitter.com/AME_Nachrichten/status/862777409740918784;
CarreidasJet;2017-05-11 13:17;0;0;"Alles für die (Lügen)Presse. Warum besucht sie nicht die fleißig arbeitenden Kurierfahrer aus Rumänien und Polen? Nicht sexy genug, Mutti?";;;;"862657967363153920";https://twitter.com/CarreidasJet/status/862657967363153920;Erdollum666
hope_no1;2017-05-11 09:01;0;0;"was ist das? @Erdollum666 = ZURÜCKGEHALTEN ! Was ist das, #Twitter ? Ich möchte nicht von diesem verfolgt werden! @TwitterDE @Support";;@Erdollum666 @TwitterDE @Support;#Twitter;"862593410879848449";https://twitter.com/hope_no1/status/862593410879848449;
r_lustig;2017-05-11 07:26;0;0;"#Twitter auf #Weltweit umgestellt, nun sehe ich den @Erdollum666 wieder ;)";;@Erdollum666;#Twitter #Weltweit;"862569694527713280";https://twitter.com/r_lustig/status/862569694527713280;Erdollum666
Labbeduddl;2017-05-10 13:26;0;0;"Manchmal ist er mit etwas unheimlich aber ich denke auch, dass er ein wichtiger Verbündeter ist.";;;;"862297781200760832";https://twitter.com/Labbeduddl/status/862297781200760832;Erdollum666
Labbeduddl;2017-05-10 13:20;0;0;"Er würde von mir einen Dankesbrief bekommen.";;;;"862296373609209856";https://twitter.com/Labbeduddl/status/862296373609209856;Erdollum666
Wayfarerpg;2017-05-10 11:45;0;0;"Nicht nur du ...";;;;"862272478483283968";https://twitter.com/Wayfarerpg/status/862272478483283968;Erdollum666
Magdalena_C22;2017-05-09 14:48;0;0;"Er auch @Erdollum666 's account has been withheld in: Deutschland. Mehr erfahren";;@Erdollum666;;"861956009811746816";https://twitter.com/Magdalena_C22/status/861956009811746816;Welt_im_Chaos
VindobonNorikum;2017-05-08 13:37;0;0;"@Erdollum666 #Merkel verteidigt von der Leyens Vorgehen in Bundeswehr-Affäre http://www. rundschau-online.de/26863320 Zwei blöde Weiber #Franco #bundeswehr pic.twitter.com/t6Q0i3487c";;@Erdollum666;#Merkel #Franco #bundeswehr;"861575828836110336";https://twitter.com/VindobonNorikum/status/861575828836110336;
BleyJennifer;2017-05-07 22:18;0;1;"An #Twitter : @Erdollum666 hat weder Nutzeraktionen noch ein Button. Deshalb kann ich dieses Profil von meiner Follower-Seite nicht löschen.";;@Erdollum666;#Twitter;"861344542599114752";https://twitter.com/BleyJennifer/status/861344542599114752;
wellejena;2017-05-07 16:13;1;0;"So steht es bei mir @Erdollum666 zurückgehalten @Erdollum666 's account has been withheld in: Deutschland. Mehr erfahren";;@Erdollum666 @Erdollum666;;"861252535977463808";https://twitter.com/wellejena/status/861252535977463808;sabine_m_b,supersitges2
Zora_211212;2017-05-07 13:14;1;0;"Der nächste account, der @HeikoMaas ' #Zensur zum Opfer fiel: @Erdollum666 #Maas '-Stasi arbeitet momentan wohl im Accord pic.twitter.com/4uXTVSjRcE";;@HeikoMaas @Erdollum666;#Zensur #Maas;"861207588733673472";https://twitter.com/Zora_211212/status/861207588733673472;
DerGelbeStrich;2017-05-07 09:26;0;0;"ja klar.. ich denke dass es über "Schreck" noch weit hinaus geht. Sie sind offensichtlich sehr gealtert, sieht keines aus wie "Schulmädchen"";;;;"861150159870283776";https://twitter.com/DerGelbeStrich/status/861150159870283776;Erdollum666
SoBitte;2017-05-07 08:29;2;1;"Aha. #Zensur @Erdollum666 pic.twitter.com/kU2i6hk3LI";;@Erdollum666;#Zensur;"861135987090608128";https://twitter.com/SoBitte/status/861135987090608128;
DerGelbeStrich;2017-05-07 08:28;0;0;"die sind alle innerlich tot.. sieht man an den Augen.";;;;"861135578376658945";https://twitter.com/DerGelbeStrich/status/861135578376658945;Erdollum666
drumpfh3r93;2017-05-06 15:07;0;0;"@Erdollum666 der Islam Wirft Schwule von Hochhäusern und steinight Frauen, weil sie vergewaltigt wurden. .";;@Erdollum666;;"860873782713434113";https://twitter.com/drumpfh3r93/status/860873782713434113;Erdollum666
NichtW1xxen67;2017-05-05 17:03;0;0;"@Erdollum666 leute die mich Nicht abnlehnen nur weil ich kritisch von ihnen denke, nenn ich meine Freunde. .";;@Erdollum666;;"860540574868402176";https://twitter.com/NichtW1xxen67/status/860540574868402176;Erdollum666
BleyJennifer;2017-05-05 13:17;0;1;"Wer ist @Erdollum666 ? Diese Adresse steht unter meinen Followern, wir sollen uns gegenseitig folgen, obwohl es nicht stimmt! Was ist das?";;@Erdollum666;;"860483665381527556";https://twitter.com/BleyJennifer/status/860483665381527556;
thhueb19;2017-05-05 05:53;0;0;"Noch ein Opfer der deutschen Zensur: @Erdollum666 pic.twitter.com/iOIVFCxbxA";;@Erdollum666;;"860371888144613380";https://twitter.com/thhueb19/status/860371888144613380;
Recht_schaffen;2017-05-05 05:47;1;0;"Es werden immer mehr #stasi ist im vollen Gange. So viel arbeit wie lang nich. #Erdollum666 #withheld #germany pic.twitter.com/Fvp4tFXLuY";;;#stasi #Erdollum666 #withheld #germany;"860370220023787520";https://twitter.com/Recht_schaffen/status/860370220023787520;BonkeKolja,stoersender42,HartesGeld
Recht_schaffen;2017-05-05 05:22;0;0;"Hat es also mal wieder einen getroffen";;;;"860363930492964865";https://twitter.com/Recht_schaffen/status/860363930492964865;Erdollum666
