username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
LCARS_24;2017-03-24 03:56;0;0;"Full-roof solar & EVs everywhere in rich countries plus promoting veganism would slash our carbon footprint drastically.";;;;"845122231982145540";https://twitter.com/LCARS_24/status/845122231982145540;ForceOfLiberty
KarinBorjeesson;2017-02-03 19:50;0;1;"Thank you!";;;;"827605095093256193";https://twitter.com/KarinBorjeesson/status/827605095093256193;em2wice,MrNegroMilitant
em2wice;2017-02-03 17:39;1;2;"#TheyStrive #WeThrive #TimelineTitans @frogsign @KarinBorjeesson @MrNegroMilitant @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty";;@frogsign @KarinBorjeesson @MrNegroMilitant @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty;#TheyStrive #WeThrive #TimelineTitans;"827572237331025920";https://twitter.com/em2wice/status/827572237331025920;
em2wice;2017-01-13 12:37;0;1;"#TheyStrive#WeLive#140ProofTruths#FF @ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW @xperyazoltra @Empowerment779";;@ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW @xperyazoltra @Empowerment779;#TheyStrive #WeLive #140ProofTruths #FF;"819886070636613632";https://twitter.com/em2wice/status/819886070636613632;
Ousa_;2016-12-05 20:09;0;0;"@getfollowersfff ForceOfLiberty";;@getfollowersfff;;"805866618890973184";https://twitter.com/Ousa_/status/805866618890973184;
em2wice;2016-10-14 21:25;1;1;"#FF #TimelineTitans Of #140ProofTruth #FollowTheLeaders #FF @MrNegroMilitant @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty";;@MrNegroMilitant @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty;#FF #TimelineTitans #140ProofTruth #FollowTheLeaders #FF;"787041615097593856";https://twitter.com/em2wice/status/787041615097593856;
em2wice;2016-09-22 12:22;0;0;"#DEFF #DayEarlyFollowFriday #DEFF #BecauseTomorrowIsNotPromised @ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW";;@ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW;#DEFF #DayEarlyFollowFriday #DEFF #BecauseTomorrowIsNotPromised;"778932465490653184";https://twitter.com/em2wice/status/778932465490653184;
em2wice;2016-09-16 14:54;2;1;"#140ProofTruth #FF #TheFireThisTime #FF @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW @xperyazoltra";;@tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW @xperyazoltra;#140ProofTruth #FF #TheFireThisTime #FF;"776796371441418240";https://twitter.com/em2wice/status/776796371441418240;
em2wice;2016-08-13 03:06;0;1;"#FF #TheTwitDown #FF #140ProofTruth @MrNegroMilitant @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW";;@MrNegroMilitant @tcbcannon @ungerbn103 @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW;#FF #TheTwitDown #FF #140ProofTruth;"764297017300353025";https://twitter.com/em2wice/status/764297017300353025;
em2wice;2016-07-15 17:42;0;0;"#SeizeTheTime #FF #TimelineTitans #FF #TellingTruthToTheInternetYouth #FF @BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW";;@BristolTwo @ForceOfLiberty @InBlackAmerica7 @LEEandLOW;#SeizeTheTime #FF #TimelineTitans #FF #TellingTruthToTheInternetYouth #FF;"754008203692797952";https://twitter.com/em2wice/status/754008203692797952;
