username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
g_matheusf;2017-11-02 17:07;0;0;"Georg Simon Ohm que HOMEM";;;;"926133684855549952";https://twitter.com/g_matheusf/status/926133684855549952;
OGrutzmacher;2017-11-02 02:09;0;0;"" Georg Simon Ohm" acho que deves alguma coisa pra esse cara.... ah desculpe vc tem data! E não lembro de ter visto a "sua piada" kkkk #paz";;;#paz;"925907599391850497";https://twitter.com/OGrutzmacher/status/925907599391850497;cloudydaysrbest
AnOrangeSNES;2017-10-27 02:48;0;3;"Georg Simon Ohm: *Sees Trump* That guy is bad Me: Georg Simon Ohm...welcome to the resistance Horse: Yeah that guy sucks Me: Here's a shoe Ω";;;;"923743097967833088";https://twitter.com/AnOrangeSNES/status/923743097967833088;
Muz1s_;2017-10-24 22:54;0;1;"Georg Simon Ohm tem seu nome lembrado até hj, tem uma lei criada em seu nome, Lei de Ohm, então ele nunca sera qlqr um";;;;"922959464537427968";https://twitter.com/Muz1s_/status/922959464537427968;naath_pedroso
Muz1s_;2017-10-24 22:48;0;1;"Georg Simon Ohm o melhor";;;;"922958083789336578";https://twitter.com/Muz1s_/status/922958083789336578;naath_pedroso
Muz1s_;2017-10-24 22:41;0;1;"Isaac Newton era louco, Georg Simon Ohm era louco, Albert Einstein era crazy e mais alguns q podia passa a noite falando";;;;"922956308172673024";https://twitter.com/Muz1s_/status/922956308172673024;naath_pedroso
ftrain;2017-10-24 19:08;3;19;"Georg Simon Ohm...welcome to the Resistance.";;;;"922902697220722688";https://twitter.com/ftrain/status/922902697220722688;
_itsamynazingg;2017-10-23 22:27;0;3;"georg simon ohm kung ano anong dinidiscover mo nahihirapan tuloy ako";;;;"922590379425202177";https://twitter.com/_itsamynazingg/status/922590379425202177;
writtenbyDK;2017-10-19 19:39;9;18;"Resistance - Georg Simon Ohm Pressure - Blaise Pascal Power - James Watt Strike Rate - Virender Sehwag #HappyBirthdayViru #HBDViru pic.twitter.com/u3z6lmhOK0";;;#HappyBirthdayViru #HBDViru;"921098587265781762";https://twitter.com/writtenbyDK/status/921098587265781762;
g4dbn;2017-10-16 18:07;0;0;"or is he just trollin us bigstyle? Yuge belly-laff if that's so. Nerdy bloke Georg Simon Ohm has a lot to answer for with his dratted Law";;;;"919988168514068481";https://twitter.com/g4dbn/status/919988168514068481;m0zpk
411emilio;2017-10-12 03:35;0;0;"Georg Simon Ohm (1789-1854) https:// ztfnews.wordpress.com/2014/03/16/geo rg-simon-ohm-1789-1854/ … vía @ZTF_FCT";;@ZTF_FCT;;"918319216717193218";https://twitter.com/411emilio/status/918319216717193218;
re_in_g;2017-10-04 15:57;0;0;"#このタグを見た人は自分と同じ誕生日の人を1人言う Georg Simon Klügel";;;#;"915606756071370753";https://twitter.com/re_in_g/status/915606756071370753;
AderroEnergy;2017-09-30 10:21;0;0;"Georg Simon Ohm (1789 — 1854), Dupa legea descoperita in 1826, unitatea de măsură a rezistenței îi poartă numele. #aderroenergy pic.twitter.com/czHC16ZMeR";;;#aderroenergy;"914072738884673536";https://twitter.com/AderroEnergy/status/914072738884673536;
RobertBoris;2017-09-30 01:44;0;0;""What You Resist Persists" - Georg Simon Ohm (get it? too much to fast?) pic.twitter.com/SdizFCm8YJ";;;;"913942600268234752";https://twitter.com/RobertBoris/status/913942600268234752;RobertBoris,SaysDana
PaulineOrence14;2017-09-28 06:28;0;1;"Georg Simon Ohms' students pic.twitter.com/fakkOqAd6L";;;;"913289267102617600";https://twitter.com/PaulineOrence14/status/913289267102617600;
BR_Wissen;2017-09-18 11:23;0;2;"Georg Simon Ohm und der elektrische Widerstand. Meilensteine der Naturwissenschaft und Technik, 13:45 Uhr ARD-alpha http://www. br.de/themen/wissen/ physiker-georg-simon-ohm-100.html …";;;;"909739529820676096";https://twitter.com/BR_Wissen/status/909739529820676096;
LetsBladeHD;2017-09-18 05:29;0;0;"@Georg-Simon -Ohm-Berufskolleg https://www. instagram.com/p/BZK7EKGBnMP/";;@Georg;;"909650615046955008";https://twitter.com/LetsBladeHD/status/909650615046955008;
GArheilger;2017-09-12 11:12;0;2;"Georg Simon Ohm";;;;"907562505731559425";https://twitter.com/GArheilger/status/907562505731559425;DB_Presse,IngVersteher
compphysgeek;2017-09-08 13:44;0;0;"Ich mag das @YouTube -Video: http:// youtu.be/ZxR11rWn9iI?a 052 Meilensteine der Naturwissenschaft und Technik - Georg Simon Ohm und der";;@YouTube;;"906151326429609987";https://twitter.com/compphysgeek/status/906151326429609987;
Vawmtsamsiyu;2017-09-07 17:17;0;0;"Join the resistance with Georg Simon Ohm!";;;;"905842535255252992";https://twitter.com/Vawmtsamsiyu/status/905842535255252992;WIRED
MusicEdOnline;2017-09-05 10:09;0;0;"Balletto - Grade 2 Trinity Piano - Georg Simon Löhlein WITH TUTORIAL http:// youtu.be/Z3P5iyPOVRI?a";;;;"905009870142832640";https://twitter.com/MusicEdOnline/status/905009870142832640;
sto_morishita;2017-09-04 08:47;0;0;"Georg Simon Ohm?";;;;"904626852228210689";https://twitter.com/sto_morishita/status/904626852228210689;dogmaticus83,MXPHOENIX_
distributionjob;2017-08-27 18:40;0;0;"#Job #Stellenangebot http:// jobstai.rs/t935762 - Technische Hochschule Nürnberg Georg Simon Ohm: Professur (m/w) für Angewandte Informatik";;;#Job #Stellenangebot;"901876985869336577";https://twitter.com/distributionjob/status/901876985869336577;
