username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
jamieoffshore;2017-10-25 13:20;0;2;"Can’t , I’d chin Paul Hollywood, same reason why I can’t go on masterchef, Greg/gregg";;;;"923177477639430145";https://twitter.com/jamieoffshore/status/923177477639430145;saclfc
SkinnyLouKing;2017-10-15 08:28;0;0;"Greg Gregg Ggregg Greggg Gggggggreggggggggggggggg #gregg";;;#gregg;"919479993843027969";https://twitter.com/SkinnyLouKing/status/919479993843027969;
brucedammeier;2017-10-09 14:03;0;0;"Nice suit Greg! Gregg Bell on what he saw, heard and thought of Seahawks big win in L.A. http://www. thenewstribune.com/sports/nfl/sea ttle-seahawks/seahawks-insider-blog/article177792586.html …";;;;"917390165777178624";https://twitter.com/brucedammeier/status/917390165777178624;
AJoToole;2017-08-31 08:42;0;0;"Greg? Gregg ? Grzezgggg?";;;;"903176276567044096";https://twitter.com/AJoToole/status/903176276567044096;WifiMarxist
DerekPanza;2017-08-15 16:43;0;0;"Loved training Greg Gregg Palzer's sons, Mack and Nathan! Both IFK World Classic Champions in their age... http:// fb.me/vnC9ACie";;;;"897499112014135297";https://twitter.com/DerekPanza/status/897499112014135297;
theraygun;2017-07-26 20:10;0;1;"Inside The Factory at a pasta factory in Italy, featuring Greg "Gregg " Wallace talking to staff slowly, with an Italian accent. Recommended.";;;;"890303222849654786";https://twitter.com/theraygun/status/890303222849654786;
Cidmari_;2017-07-17 16:53;0;0;"vc gosta de greg? — Gregg * e ss mucho(amg) https:// curiouscat.me/70472042061280 8704/post/179996655?t=1500310407 …";;;;"886992252270235648";https://twitter.com/Cidmari_/status/886992252270235648;
G43DHC;2017-07-07 09:01;0;0;"Mad that the guy who owns Gregg's is called Greg Gregg innit.";;;;"883249666112049153";https://twitter.com/G43DHC/status/883249666112049153;
alanibluesky_;2017-07-07 06:13;0;0;"i miss greg &gregg";;;;"883207320687091712";https://twitter.com/alanibluesky_/status/883207320687091712;
Duceblow;2017-07-01 10:41;0;0;"Happy birthday to my Big Cousin Greg Gregg";;;;"881100400987963393";https://twitter.com/Duceblow/status/881100400987963393;
