username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
HayesBrown;2017-11-01 19:21;138;213;"Among my favs so far: @BleepThePolice @destroymepls @LgbtRally @ItsTimeToSecede @DatWiseNigga @GwennyThot @NewYorkDem https:// twitter.com/deray/status/9 25803071246098433 …";;@BleepThePolice @destroymepls @LgbtRally @ItsTimeToSecede @DatWiseNigga @GwennyThot @NewYorkDem;;"925805095228461057";https://twitter.com/HayesBrown/status/925805095228461057;
MrNegroMilitant;2017-05-01 03:10;0;0;"@GwennyThot Greeting to Red Stick, good to see you here. pic.twitter.com/yTnbfLsTIC";;@GwennyThot;;"858881180422352896";https://twitter.com/MrNegroMilitant/status/858881180422352896;
moorbey;2017-04-30 15:55;0;1;"Thanks @Cheetah24u @GwennyThot @mrclydepratt for being top engaged community members this week :) Want this https:// commun.it/grow-your-foll owers?aid=thankyou144 …";;@Cheetah24u @GwennyThot @mrclydepratt;;"858711311387152384";https://twitter.com/moorbey/status/858711311387152384;
realjdobypr;2017-04-22 14:09;1;1;"#thanks @GwennyThot @BlackFeniksSMR , Thanks for the retweets this week. Much appreciated :) (Want this? It's FREE! https:// commun.it/grow-your-like s/?aid=thankyou151 … )";;@GwennyThot @BlackFeniksSMR;#thanks;"855785656131497986";https://twitter.com/realjdobypr/status/855785656131497986;
susanmk7;2017-04-21 19:06;0;0;"Day 4 of Palestinian prisoners mass hunger strike. Get these stunning facts—and... http:// ln.is/JwFO2 by #GwennyThot via @c0nvey pic.twitter.com/dngqBaHm7c";;@c0nvey;#GwennyThot;"855497867745783808";https://twitter.com/susanmk7/status/855497867745783808;
rickywaddas;2017-04-08 05:08;0;0;"@GwennyThot Respect";;@GwennyThot;;"850576005479538688";https://twitter.com/rickywaddas/status/850576005479538688;
IceManeJugg;2017-03-27 09:10;0;0;"@GwennyThot @IAMTONYNEAL https:// mxtpz.me/a/119358";;@GwennyThot @IAMTONYNEAL;;"846288381915119617";https://twitter.com/IceManeJugg/status/846288381915119617;iamthadoopster
MonstaMusic718;2017-03-26 17:50;3;5;"@GwennyThot M blocc to H blocc is now available #Datpiff This what Brooklyn sounds like.11 traccs of audio cracc http:// m.datpiff.com/mixtape/829122";;@GwennyThot;#Datpiff;"846056856523100162";https://twitter.com/MonstaMusic718/status/846056856523100162;
MoreMusicMoreMo;2017-03-24 18:59;0;0;"much support to @realjdobypr from us here at #MMMM pic.twitter.com/p5wPwrAG0G";;@realjdobypr;#MMMM;"845349438851891200";https://twitter.com/MoreMusicMoreMo/status/845349438851891200;realjdobypr,GwennyThot
realjdobypr;2017-03-24 18:49;0;0;"#thanks @GwennyThot @MoreMusicMoreMo - Thanks for being top engaged community members this week :) >> Want this ? https:// commun.it/grow-your-like s/?aid=thankyou157 …";;@GwennyThot @MoreMusicMoreMo;#thanks;"845346890388590592";https://twitter.com/realjdobypr/status/845346890388590592;
