username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
raindropstiny;2016-06-15 20:12;1;5;"jus ig da holdmejerry diye bir hesabı takip edip unf etti sapık justin bieber";;;;"743174447918620673";https://twitter.com/raindropstiny/status/743174447918620673;
shylohg;2016-06-04 17:00;0;0;"Thanks for the recent follow @AlecMooooody @Jani_s_Jac @HoldMeJerry Happy to connect :) have a great Saturday. >> http:// bit.ly/_want_this_free";;@AlecMooooody @Jani_s_Jac @HoldMeJerry;;"739139835235946496";https://twitter.com/shylohg/status/739139835235946496;
zansari8;2016-05-29 16:12;0;0;"Thanks for the recent follow @skemp41 @Jani_s_Jac @HoldMeJerry Happy to connect :) have a great Sunday. >> http:// bit.ly/_want_this_free";;@skemp41 @Jani_s_Jac @HoldMeJerry;;"736953473606901760";https://twitter.com/zansari8/status/736953473606901760;
GatlinMicheal;2016-05-23 16:11;0;0;"Thanks for the recent follow @HoldMeJerry @ClayPaigeBoo @AlecMooooody Happy to connect :) have a great Monday. >> http:// bit.ly/_want_this_free";;@HoldMeJerry @ClayPaigeBoo @AlecMooooody;;"734778683097915392";https://twitter.com/GatlinMicheal/status/734778683097915392;
truoneapparel;2016-05-21 08:01;0;0;"@AlecMooooody @HoldMeJerry @IMissObama Welcome to Tru One Apparel Co. Help us pass the torch! LIKE / RETWEET via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@AlecMooooody @HoldMeJerry @IMissObama;;"733930644422545408";https://twitter.com/truoneapparel/status/733930644422545408;
LilWiLLYDuBOIS;2016-05-20 15:47;0;0;"s/o @AlecMooooody @HoldMeJerry @IMissObama @DamaniMiles @WatchMeWalkin @AdamChapmanJR !! preciate it";;@AlecMooooody @HoldMeJerry @IMissObama @DamaniMiles @WatchMeWalkin @AdamChapmanJR;;"733685678123450368";https://twitter.com/LilWiLLYDuBOIS/status/733685678123450368;
febone1960net;2016-05-18 10:28;0;0;"@HoldMeJerry Thank you for the follow. #BlackLivesMatter and is not Demonic.";;@HoldMeJerry;#BlackLivesMatter;"732880483609116672";https://twitter.com/febone1960net/status/732880483609116672;
_DAWDU;2016-05-17 15:33;0;0;"@HoldMeJerry Poet-Author-Young Professional-Activist. http://www. iamdawdu.com";;@HoldMeJerry;;"732594851502563329";https://twitter.com/_DAWDU/status/732594851502563329;
FliesAtNightWmn;2016-05-07 20:24;0;1;"ThanksForTheFollow @ClayPaigeBoo @Jani_s_Jac @JessyBowWow @AlecMooooody @HoldMeJerry @IMissObama @BrianTheLifter @CoryNaeNae";;@ClayPaigeBoo @Jani_s_Jac @JessyBowWow @AlecMooooody @HoldMeJerry @IMissObama @BrianTheLifter @CoryNaeNae;;"729044131775950851";https://twitter.com/FliesAtNightWmn/status/729044131775950851;
VTEsp;2016-04-21 21:15;0;0;"@AlecMooooody @HoldMeJerry Hola! {screen_name} xie xie por seguirnos! via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@AlecMooooody @HoldMeJerry;;"723258987227947008";https://twitter.com/VTEsp/status/723258987227947008;
sgtcheryldorsey;2016-04-18 15:48;0;0;"@AdamChapmanJR @HoldMeJerry @IMissObama @DamaniMiles @WatchMeWalkin TY for the follow ;-)";;@AdamChapmanJR @HoldMeJerry @IMissObama @DamaniMiles @WatchMeWalkin;;"722089389564661760";https://twitter.com/sgtcheryldorsey/status/722089389564661760;
HowellMikaela;2016-03-15 22:33;0;0;"holdmejerry 's photo https:// instagram.com/p/BC_TvrjFnjV/";;;;"709870109934927872";https://twitter.com/HowellMikaela/status/709870109934927872;
RobertMetfan292;2016-03-12 00:33;0;0;"@HoldMeJerry @wordpressdotcom Christians ethnically cleansed by Palestinian Muslims in WB and Gaza (and by other Muslims across ME).";;@HoldMeJerry @wordpressdotcom;;"708450912071647232";https://twitter.com/RobertMetfan292/status/708450912071647232;HoldMeJerry
RobertMetfan292;2016-03-12 00:33;0;0;"@HoldMeJerry @wordpressdotcom Israel is the only state in ME with freedom of religion and where the Christian population is growing.";;@HoldMeJerry @wordpressdotcom;;"708450772153794560";https://twitter.com/RobertMetfan292/status/708450772153794560;HoldMeJerry
ConnectionRap;2016-02-20 08:23;0;0;"HoldMeJerry : 7 Black Churches Burn Down In The South Since Charleston Shooting : http:// yibster.com/video/5178/7-B lack-Churches-Burn-Down-In-The-South-Since-Charleston-Shooting … #hiphop #BlackLivesMatter #family …";;;#hiphop #BlackLivesMatter #family;"700958852787736576";https://twitter.com/ConnectionRap/status/700958852787736576;
RockefellerAKP;2016-02-09 08:09;0;0;"@HoldMeJerry #EmergeAfterTheOverhypedStorm #NOWitsON #BlackLivesMatter RT:RealHypeworthiness MakeBLMpermanent&UNIVERSAL - Rockefeller";;@HoldMeJerry;#EmergeAfterTheOverhypedStorm #NOWitsON #BlackLivesMatter;"696969178624847872";https://twitter.com/RockefellerAKP/status/696969178624847872;HoldMeJerry
bekunda24;2016-01-29 02:51;0;0;"@HoldMeJerry I am pro-America not pro-GOP. Serious issues affecting our country. Wr need serious people to run it. #GOPDebate #TedCruz";;@HoldMeJerry;#GOPDebate #TedCruz;"692902846954606592";https://twitter.com/bekunda24/status/692902846954606592;HoldMeJerry
d_petrovafire;2016-01-10 01:21;0;0;"holdmejerry 's photo https:// instagram.com/p/BATw7reFnnz/";;;;"685994734066642944";https://twitter.com/d_petrovafire/status/685994734066642944;
