username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
CarasikS;2017-10-31 18:48;0;1;"I hope Quinn does. Vic is much better playing exclusively DE. https:// twitter.com/mattkaroly/sta tus/925433187479834626 …";;;;"925434336245157888";https://twitter.com/CarasikS/status/925434336245157888;
WalterBlackma15;2017-10-31 18:31;0;1;"I hope Quinn stays a KNICK";;;;"925429915750731778";https://twitter.com/WalterBlackma15/status/925429915750731778;knicksjets4life
SweetsSports56;2017-10-31 15:29;0;0;"I really hope Quinn doesn't think Abdullah is the answer. It would suck for us not to make any moves today.";;;;"925384185254154240";https://twitter.com/SweetsSports56/status/925384185254154240;
cbfromdc;2017-10-31 14:47;1;1;"I hope Quinn is on the phone... I wanna see some moves!!!!! #OnePride";;;#OnePride;"925373558896898049";https://twitter.com/cbfromdc/status/925373558896898049;
WelcomeToMy121;2017-10-30 19:54;0;0;"I hope Quinn and Eric stay together and get rid of Sheila, please no more of Sheila http:// story.Today was the first day I watched 2wks";;;;"925088548365225984";https://twitter.com/WelcomeToMy121/status/925088548365225984;RenaSofer
Ombs93;2017-10-30 03:42;0;2;"When we miss the playoffs, I hope Quinn has the balls to admit his mistake and can every fucking coach on the staff.";;;;"924843972391866368";https://twitter.com/Ombs93/status/924843972391866368;riger1984
Cpz9Paul;2017-10-30 01:36;0;0;": Great with Ogeltree, hope Quinn keeps improving, great front 3, & a very good secondary. Great D & Offense. Special teams. All Around";;;;"924812118217711616";https://twitter.com/Cpz9Paul/status/924812118217711616;PFF
ShawnM14;2017-10-27 22:27;0;0;"@Michaeljcampo hope Quinn somehow ruins the party tomorrow";;@Michaeljcampo;;"924039848566063105";https://twitter.com/ShawnM14/status/924039848566063105;
JustWinDetroit;2017-10-27 03:22;1;2;"We all are man. Just have to hope Quinn can get the job done.";;;;"923751736996782080";https://twitter.com/JustWinDetroit/status/923751736996782080;cbfromdc
hiddencoIors;2017-10-26 22:11;0;0;"fuck claudia i’m so fucking sorry i really hope quinn finds you again and upgrades you";;;;"923673513306845184";https://twitter.com/hiddencoIors/status/923673513306845184;98sthrill,goddesshalsey
98sthrill;2017-10-26 20:33;0;5;"i hope quinn upgrades me";;;;"923648702719381514";https://twitter.com/98sthrill/status/923648702719381514;
CSMGators15;2017-10-26 19:23;0;0;"Hope Quinn stays home.";;;;"923631253601046530";https://twitter.com/CSMGators15/status/923631253601046530;mjessenhoward,7NattyChamps,q_ocarroll
BeastessInW8n;2017-10-26 17:36;0;0;"#SHEILA 'S FACE THO! I HOPE QUINN @RenaSofer IS READY TO UP HER PSYCHONESS ☻ #LEHGOOO #BB";;@RenaSofer;#SHEILA #LEHGOOO #BB;"923604208124866560";https://twitter.com/BeastessInW8n/status/923604208124866560;
HalseyInsider;2017-10-25 21:36;1;40;"The VIP lines are all messed up, I really hope Quinn remembers that I've been here all day :( -mel";;;;"923302333508759553";https://twitter.com/HalseyInsider/status/923302333508759553;
JCoug90;2017-10-25 18:00;0;0;"The next time the Jazz start the 2nd half cold, I hope Quinn benches the starters and see what the bench can do to stop the bleeding.";;;;"923247930898649088";https://twitter.com/JCoug90/status/923247930898649088;
r3dvix3n;2017-10-25 17:37;0;5;"I really hope Quinn told Eric about Mateo & Sheila and he's playing Sheila right now #BoldandBeautiful";;;#BoldandBeautiful;"923242166436196354";https://twitter.com/r3dvix3n/status/923242166436196354;
MrsKOutlaw;2017-10-25 17:36;0;1;"At this point I hope Quinn gets Ridge. Eric is an idiot and Sheila is annoying. #BoldandBeautiful pic.twitter.com/oAaU4Vv2Nk";;;#BoldandBeautiful;"923241922042441729";https://twitter.com/MrsKOutlaw/status/923241922042441729;
xcarlyx;2017-10-25 06:40;1;5;"i hope quinn fabray is doing well";;;;"923076904684531717";https://twitter.com/xcarlyx/status/923076904684531717;
LisaBallengee;2017-10-25 01:22;1;5;"I hope Quinn comes out on top!";;;;"922996768328921088";https://twitter.com/LisaBallengee/status/922996768328921088;BandB_CBS
ImFixinToo;2017-10-25 00:57;2;2;"I hope Quinn sneaks into Sheila's hotel room and draws a mustache on it! And horns!";;;;"922990417578287104";https://twitter.com/ImFixinToo/status/922990417578287104;carol08156
PraireLady;2017-10-24 21:40;0;1;"I hope Quinn finds out about Charlie & Pammie too. That will be fun. #BoldandBeautiful";;;#BoldandBeautiful;"922941004633620480";https://twitter.com/PraireLady/status/922941004633620480;
carol08156;2017-10-24 20:42;1;2;"@rick_rica I hope Quinn , finally puts that B***h in her place forever! ( well at least for a long while anyway!) I hope you’ve had a great";;@rick_rica;;"922926212082573312";https://twitter.com/carol08156/status/922926212082573312;
Latisha41447669;2017-10-24 17:44;0;2;"I hope quinn ,handle this the right way I hope she beat shelia,at her own game";;;;"922881395646783488";https://twitter.com/Latisha41447669/status/922881395646783488;BandB_CBS,CBSBigBrother,JOSHMBB19
Holly500;2017-10-24 03:58;0;2;"Hope Quinn is on first. She's one of the great old-school hostesses & former journo so might have interesting gossip, I mean observations";;;;"922673547411099648";https://twitter.com/Holly500/status/922673547411099648;Tabsdesigns,sallyquinndc
terri5453;2017-10-23 20:47;0;2;"Mateo a dork I hope Quinn cold cocks him when he makes his move I especially can't wait when Quinn catches him & Sheila Hopefully bye 2 both";;;;"922565151236136960";https://twitter.com/terri5453/status/922565151236136960;boldinsider
youcant4cme;2017-10-23 04:07;0;0;"I hope Quinn does what TK couldn’t when things clearly weren’t working out with Sarks";;;;"922313546029060096";https://twitter.com/youcant4cme/status/922313546029060096;
rubenfalcon19;2017-10-23 02:56;0;1;"i hope quinn doesnt justify the play calling and makes a change. This is brutal";;;;"922295671708930048";https://twitter.com/rubenfalcon19/status/922295671708930048;wendyradio
DmorgOnly;2017-10-23 02:48;0;1;"I hope Quinn ’s pride doesn’t stop him from seeing that";;;;"922293642341109760";https://twitter.com/DmorgOnly/status/922293642341109760;JJthemarvelous
AdamSchraud;2017-10-23 01:56;0;0;"Hope Quinn ’s message hasn’t been lost. Sark hire seeks to be a huuugee mistake.";;;;"922280470582321153";https://twitter.com/AdamSchraud/status/922280470582321153;JohnKincade,AtlantaFalcons
AdamSchraud;2017-10-23 01:14;0;0;"Such an undisciplined football team. Hope Quinn ’s message hasn’t already gotten stale. Just a bad, stupid football team. #RiseUp";;;#RiseUp;"922269844292153345";https://twitter.com/AdamSchraud/status/922269844292153345;
dragonairily;2017-10-22 15:37;0;4;"[blows kiss to the sky] i hope quinn is eating well and bein happy and dying over cbx";;;;"922124875707355136";https://twitter.com/dragonairily/status/922124875707355136;
drownmeharry;2017-10-22 04:20;0;1;"I hope Quinn knows that I love her very much";;;;"921954492823801856";https://twitter.com/drownmeharry/status/921954492823801856;
yackfatlas;2017-10-22 03:47;0;0;"Hey i hope Quinn and niko had a good time tonight y'all are cuties.";;;;"921946126793822208";https://twitter.com/yackfatlas/status/921946126793822208;
JJoslyn84;2017-10-22 00:28;0;3;"Hope Quinn Nordin doesn't lose any sleepover that missed PAT";;;;"921896044690100224";https://twitter.com/JJoslyn84/status/921896044690100224;
shaunmawdsley;2017-10-19 13:49;0;0;"two fatty's together' hope Quinn is feeding those horses..................";;;;"921010526838296577";https://twitter.com/shaunmawdsley/status/921010526838296577;SportsBreakfast,mickquinn1089
AeshnaMonarch;2017-10-16 19:38;0;0;""I get it. Vanessa grew up too fast, too. I hope Quinn doesn't." https:// twitter.com/ChaosFrosted/s tatus/920010938849173504 …";;;;"920011161810092032";https://twitter.com/AeshnaMonarch/status/920011161810092032;
