username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
404ResponseCode;2017-11-02 19:28;0;0;"currently leaning towards " I_Am_a _ Scatman "";;;;"926169196580491264";https://twitter.com/404ResponseCode/status/926169196580491264;
JayRodriguez;2017-11-01 19:21;1;4;"Includes: -30SecondsToMarsFandom - 666SteveRogers - MetsTheBest - TodayCincinnati - I_Am_a _ Scatman https:// twitter.com/deray/status/9 25803071246098433 …";;;;"925804947291213824";https://twitter.com/JayRodriguez/status/925804947291213824;
DirectingTitan;2017-11-01 19:19;0;1;"" I_Am_A _ Scatman ", I'm looking at you @cushbomb .";;@cushbomb;;"925804459883663360";https://twitter.com/DirectingTitan/status/925804459883663360;
fcata91;2017-09-07 07:18;0;0;"I am a scatman https://www. instagram.com/p/BYuyzOsBAYZ/";;;;"905691798902792192";https://twitter.com/fcata91/status/905691798902792192;
byeImout;2017-09-05 20:33;0;1;"i've listened to Scatman enough times to say that I am a certified Prof.Dr. of Scat";;;;"905166949944053761";https://twitter.com/byeImout/status/905166949944053761;
lapijadedomy;2017-08-30 02:25;0;0;"I am a SCATMAN";;;;"902718766823460864";https://twitter.com/lapijadedomy/status/902718766823460864;
littlepinkwitch;2017-08-24 20:06;0;11;"#firstdates414 " I am a Scatman " ??? Tiene añitos la canción !!!! Qué buena !!!!";;;#firstdates414;"900811540760330240";https://twitter.com/littlepinkwitch/status/900811540760330240;
missmothPG;2017-08-22 00:24;30;118;"I am a : Man Woman Scatman In a: Relationship Marriage Ski-bi dibby dib yo da dub dub Yo da dub dub Ski-bi dibby dib yo da dub";;;;"899789383477460993";https://twitter.com/missmothPG/status/899789383477460993;
LeFatourist;2017-08-21 19:47;0;1;"I am a : man woman Scatman Looking for : man Woman Ski-bi dibby dib yo da dub dub pic.twitter.com/zygwqXU3uG";;;;"899719725088993283";https://twitter.com/LeFatourist/status/899719725088993283;
JoshySinger;2017-08-21 02:49;5;31;"I am a : man woman scatman Interested in: men women Ski-bi dibby dib yo da dub dub, yo da dub dub";;;;"899463321686077441";https://twitter.com/JoshySinger/status/899463321686077441;
KafeiAizawa;2017-08-20 03:16;0;1;"I am a : Man Woman Scatman Looking for: Man Woman State of the condition that doesn't insult my intuition.";;;;"899107803381485568";https://twitter.com/KafeiAizawa/status/899107803381485568;
dagster007;2017-08-01 18:10;0;0;"not a scatman , but I am a HATman. lol I crack myself up";;;;"892447564510920704";https://twitter.com/dagster007/status/892447564510920704;
vishnu2006;2017-07-21 05:49;0;0;"I listening to #radioone , refreshed by listening to " I am a scatman ", great work";;;#radioone;"888274637502554113";https://twitter.com/vishnu2006/status/888274637502554113;
davidaames001;2017-06-07 07:41;0;0;"Scatbolibulabolibulabolibula Scatbolibulabolibulabombomdirirididodom I AM A SCATMAN";;;;"872357902178189312";https://twitter.com/davidaames001/status/872357902178189312;
