username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
OneMillionHouse;2017-07-31 01:30;0;0;"@ImaSwerve Hey pls fol the #Blackpound #spendingpower #UKAfrikanhouseholdUnion http:// wp.me/s4IsC2-1098 @OneMillionHouse #UMOJA £";;@ImaSwerve @OneMillionHouse;#Blackpound #spendingpower #UKAfrikanhouseholdUnion #UMOJA;"891833314885197824";https://twitter.com/OneMillionHouse/status/891833314885197824;
BlackpoundUK;2017-07-30 18:12;0;0;"@ImaSwerve Pls fol @OneMillionHouse #Blackpound #spendingpower http:// wp.me/p4IsC2-kk #unitedwestandunityisSTRENGTH #African #UMOJA";;@ImaSwerve @OneMillionHouse;#Blackpound #spendingpower #unitedwestandunityisSTRENGTH #African #UMOJA;"891723179365994496";https://twitter.com/BlackpoundUK/status/891723179365994496;
akilikt;2017-07-18 14:54;0;0;"Speak it into existence. There is power in the tongue";;;;"887324702720577536";https://twitter.com/akilikt/status/887324702720577536;punishment,ImaSwerve
Thereisaproblem;2017-07-17 22:35;0;0;"So are y'all gonna show the videos of them getting eaten and snatched up too?";;;;"887078264728113152";https://twitter.com/Thereisaproblem/status/887078264728113152;earthescope,ImaSwerve
khanknee;2017-07-17 18:15;0;0;"#FTP How is ongoing murder legal? How sway?";;;#FTP;"887012955010719744";https://twitter.com/khanknee/status/887012955010719744;caitoz,ImaSwerve
NatureboyMDG;2017-07-15 18:05;1;0;"Thanks for the retweets this week @mosmithwick83 @jcurrenaar0n @ImaSwerve much appreciated :) (Want this? https:// commun.it/get-more-follo wers/?aid=thankyou116 … )";;@mosmithwick83 @jcurrenaar0n @ImaSwerve;;"886285610356494336";https://twitter.com/NatureboyMDG/status/886285610356494336;
nonidanita543;2017-07-11 05:17;0;0;"@ImaSwerve Esto seguro te |a a enclntar vacila https:// youtu.be/V6goP540YyMgm8B";;@ImaSwerve;;"884642724527435776";https://twitter.com/nonidanita543/status/884642724527435776;
NatureboyMDG;2017-04-28 17:47;0;0;"Thanks for the retweets this week @LILJordamn @ImaSwerve @some__freshkid much appreciated :) Want this ? https:// commun.it/thank-you/?aid =thankyou122 …";;@LILJordamn @ImaSwerve @some__freshkid;;"858014791344021506";https://twitter.com/NatureboyMDG/status/858014791344021506;
culturemusik1;2017-04-17 02:41;2;1;"Yo thanks bro that means alot I have a few projects coming soon def will let you know when the out . Oh I Might be in the 215 in may .";;;;"853800616690421760";https://twitter.com/culturemusik1/status/853800616690421760;ironmic215,ImaSwerve,RappersIQ
culturemusik1;2017-04-17 02:39;1;1;"Retweeted Iron-M.I.C. ( @ironmic215 ): @culturemusik1 @ImaSwerve @RappersIQ My fist is up . In support of you and... http:// fb.me/1lgRw1XQE";;@ironmic215 @culturemusik1 @ImaSwerve @RappersIQ;;"853800110513324032";https://twitter.com/culturemusik1/status/853800110513324032;
