username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
69_kuky;2017-09-25 16:14;0;0;"Genau so wie die Ossis! Wir hätten die Mauer höher bauen müssen.Da ist alles Rechts. Die gehören in einen Käfig! Wir habendie frei gelassen!";;;;"912349477930962944";https://twitter.com/69_kuky/status/912349477930962944;69_kuky,IsoktobeMark
69_kuky;2017-09-25 16:08;0;0;"Wahrheit tut weh! Haben mir​ sogar NSDAP denken vorgeworfen! Drohten mir mit Gericht! Die Bayern gehören hier wo ich herkomme nicht zur BRD!";;;;"912348105340850176";https://twitter.com/69_kuky/status/912348105340850176;69_kuky,IsoktobeMark
twittourette;2017-09-24 18:05;0;0;"eben: 'kaum' ! heißt nicht, dass sie nicht leben können, übrigens: Billiglohn wird nicht von der Politik gemacht sondern vom Arbeitsmarkt";;;;"912015061417447425";https://twitter.com/twittourette/status/912015061417447425;Marco911_cf,IsoktobeMark
BlackKraya;2017-09-24 18:03;0;1;"Du wärst wahrscheinlich gerne im Jahr 1933.";;;;"912014607027511297";https://twitter.com/BlackKraya/status/912014607027511297;IsoktobeMark
OhSchnullivan;2017-09-24 18:00;0;0;"Dein Bild sagt's: Mit den braunen Wölfen heulen - ohne Sinn und Verstand, und vor allem ohne geschichtliches Wissen.";;;;"912013888950083585";https://twitter.com/OhSchnullivan/status/912013888950083585;IsoktobeMark
6jjEUHccge62TzT;2017-09-24 17:57;0;0;"Welchen Schaden Merkel angerichtet hat,kann mir aber kein AfD-Wähler sagen,typisch,Hauptsache meckern!!";;;;"912013047807475712";https://twitter.com/6jjEUHccge62TzT/status/912013047807475712;IsoktobeMark
joa_now;2017-09-24 17:24;0;1;"Wenn man so denkt -und dann rechtsextreme Leute wählt, die die solidarische Gesellschaft zerstören wollen...wie dämlich ist das eigentlich?";;;;"912004803152228352";https://twitter.com/joa_now/status/912004803152228352;IsoktobeMark
hearmeR000AAR;2017-09-24 16:52;0;0;"und beim Duschen bitte tieeeeef einatmen.";;;;"911996656337522689";https://twitter.com/hearmeR000AAR/status/911996656337522689;IsoktobeMark
BrotAimz;2017-09-24 16:47;0;0;"AfD... Oh man.";;;;"911995636924416001";https://twitter.com/BrotAimz/status/911995636924416001;IsoktobeMark
69_kuky;2017-09-24 16:38;0;3;"Du bist einer von denen, die als erstes Duschen gehen müssen!Du Hurensohn!!";;;;"911993322528534528";https://twitter.com/69_kuky/status/911993322528534528;IsoktobeMark
Marco911_cf;2017-09-24 16:27;0;0;"Und was ist mit den tausenden Leuten die sich für Billiglöhne den Arsch aufreißen und davon kaum leben können?";;;;"911990482728886273";https://twitter.com/Marco911_cf/status/911990482728886273;twittourette,IsoktobeMark
leo100000tier;2017-09-24 15:56;1;1;"Schwachkopp";;;;"911982591896702976";https://twitter.com/leo100000tier/status/911982591896702976;IsoktobeMark
GKomplex;2017-09-24 14:33;1;0;"LÖSCH DICH";;;;"911961697384108032";https://twitter.com/GKomplex/status/911961697384108032;IsoktobeMark
Steffi_muenchen;2017-09-24 13:40;0;0;"Allerdings weiß ich nicht ob die Afd umbedingt der richtige Part dafür ist. Bin kein großer Fan der Partei.";;;;"911948478309388290";https://twitter.com/Steffi_muenchen/status/911948478309388290;IsoktobeMark
Steffi_muenchen;2017-09-24 13:39;0;0;"Eine anständige Opposition in dieser Legislaturperiode schadet nicht. Vielleicht wachen unsere Politiker dann mal auf.";;;;"911948242312728576";https://twitter.com/Steffi_muenchen/status/911948242312728576;IsoktobeMark
Steffi_muenchen;2017-09-24 13:37;0;0;"Bin kein Afd Anhänger, aber eine Pauschalisierung aller Afd Mitglieder würde ich unterlassen. Kritisiert lieber das planlose Wahlprogramm.";;;;"911947694465306624";https://twitter.com/Steffi_muenchen/status/911947694465306624;KapikHusky,IsoktobeMark
twittourette;2017-09-24 12:17;0;0;"dem deutschen Volk geht es so gut wie nie zuvor, manchen schon zu gut";;;;"911927612641030144";https://twitter.com/twittourette/status/911927612641030144;IsoktobeMark
KapikHusky;2017-09-24 12:17;0;0;"Leider muss eine Demokratie auch Neonazis aushalten...";;;;"911927467157348352";https://twitter.com/KapikHusky/status/911927467157348352;IsoktobeMark
Steffi_muenchen;2017-07-17 17:25;0;0;"Gott sei Dank gibt es Twitter zum auskotzen, oder Nettes Profilbild";;;;"887000304583139329";https://twitter.com/Steffi_muenchen/status/887000304583139329;IsoktobeMark
