username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
em2wice;2017-08-04 05:39;1;1;"#TimelineTitans #FF #SeizeTheTimeline @akshun2012 @Jake_Jones93 @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost @the_platfxrm";;@akshun2012 @Jake_Jones93 @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost @the_platfxrm;#TimelineTitans #FF #SeizeTheTimeline;"893345639182086144";https://twitter.com/em2wice/status/893345639182086144;
ABenguedda;2017-07-25 07:26;0;0;"Les constructeurs automobiles allemands se seraient mis d'accord pour tricher @washingtonpost @JacksonCityPost https://www. google.fr/amp/s/www.fran ceinter.fr/amp/economie/constructeurs-automobiles-allemands …";;@washingtonpost @JacksonCityPost;;"889748794421784576";https://twitter.com/ABenguedda/status/889748794421784576;
ABenguedda;2017-05-30 19:41;0;0;"@JacksonCityPost see #Thema sur #ProLife à #Jacksoncity alors que l'ivg est au #USA un droit constitutionnel @ARTEfr pic.twitter.com/SpmgtdDS0W";;@JacksonCityPost @ARTEfr;#Thema #ProLife #Jacksoncity #USA;"869640023959891968";https://twitter.com/ABenguedda/status/869640023959891968;
em2wice;2017-02-03 17:39;0;1;"#TheyStrive #WeThrive #TimelineTitans @JacksonCityPost @the_platfxrm @CinthiaBrunston @supportourownbz @williamevansdun @Bri_Betz";;@JacksonCityPost @the_platfxrm @CinthiaBrunston @supportourownbz @williamevansdun @Bri_Betz;#TheyStrive #WeThrive #TimelineTitans;"827572122578993152";https://twitter.com/em2wice/status/827572122578993152;
em2wice;2017-01-13 12:36;1;3;"#TheyStrive#WeLive#140ProofTruths#FF @budomate @akshun2012 @Jake_Jones93 @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost @the_platfxrm";;@budomate @akshun2012 @Jake_Jones93 @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost @the_platfxrm;#TheyStrive #WeLive #140ProofTruths #FF;"819885957243609088";https://twitter.com/em2wice/status/819885957243609088;
MyJHLS;2017-01-05 16:17;1;0;"@MSLibraryComm @MSLibraryAssoc @SafekidsMs @ParentsKidsMag @teamjxnMS @AlignJackson @JacksonCityPost @KidsCodeMS @JLJacksonMS @riseupms https:// twitter.com/JHLibrary/stat us/817041889224441860 …";;@MSLibraryComm @MSLibraryAssoc @SafekidsMs @ParentsKidsMag @teamjxnMS @AlignJackson @JacksonCityPost @KidsCodeMS @JLJacksonMS @riseupms;;"817042449151488000";https://twitter.com/MyJHLS/status/817042449151488000;
em2wice;2016-10-14 21:24;1;2;"#FF #TimelineTitans Of #140ProofTruth #FollowTheLeaders #FF @akshun2012 @Jake_Jones93 @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost";;@akshun2012 @Jake_Jones93 @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost;#FF #TimelineTitans #140ProofTruth #FollowTheLeaders #FF;"787041459933413376";https://twitter.com/em2wice/status/787041459933413376;
dbvelo_david;2016-09-23 20:43;0;0;"is there a story to this??? Or just a statement?";;;;"779420997304942593";https://twitter.com/dbvelo_david/status/779420997304942593;JacksonCityPost
em2wice;2016-09-22 12:21;2;7;"#DEFF #DayEarlyFollowFriday #DEFF #BecauseTomorrowIsNotPromised @JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost @the_platfxrm";;@JamesGavsie @ZombieRiot @_comicbuzz @JacksonCityPost @the_platfxrm;#DEFF #DayEarlyFollowFriday #DEFF #BecauseTomorrowIsNotPromised;"778932349388152832";https://twitter.com/em2wice/status/778932349388152832;
ray_lively;2016-09-18 10:47;0;0;"His supporters loves his criminal mind !";;;;"777458993396670464";https://twitter.com/ray_lively/status/777458993396670464;JacksonCityPost
