username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
wabashcc;2017-11-03 23:59;0;0;"How did Russian troll account with goal of posing as right wing discord creator get 70k followers @jenn_abrams";;@jenn_abrams;;"926599825910583296";https://twitter.com/wabashcc/status/926599825910583296;
Cull2D;2017-11-03 23:58;0;0;"I reported that guy. He is offside!";;;;"926599601766924290";https://twitter.com/Cull2D/status/926599601766924290;EdKrassen,Jenn_Abrams,TwitterSupport
smDeWittHall;2017-11-03 23:57;0;1;"Wondered what happened there.";;;;"926599285612994560";https://twitter.com/smDeWittHall/status/926599285612994560;JD_Meadows,Cruellaisdevine
AfAirmech;2017-11-03 23:53;0;1;"Thanks for sharing this. Her comments were crazy, understandably now.";;;;"926598152794394626";https://twitter.com/AfAirmech/status/926598152794394626;EdKrassen,val1965,Jenn_Abrams
Cull2D;2017-11-03 23:49;0;0;"No. Infected maybe!";;;;"926597176121348098";https://twitter.com/Cull2D/status/926597176121348098;kupajo333,EdKrassen
phreddiegirl12;2017-11-03 23:48;0;1;"Gotta live the fact that right-wingers have been lapping up everything written by Russians. No different from current POTUS";;;;"926597042679320577";https://twitter.com/phreddiegirl12/status/926597042679320577;EdKrassen,Jenn_Abrams
irishsamom;2017-11-03 23:48;0;0;"I’m sure there are thousands more Jenn’s.";;;;"926597007338242050";https://twitter.com/irishsamom/status/926597007338242050;EdKrassen,Jenn_Abrams
Cull2D;2017-11-03 23:48;0;1;"Hahahahahahahahahahahahaha! I bet even his imaginary friends are bots!";;;;"926596983267233792";https://twitter.com/Cull2D/status/926596983267233792;EdKrassen,Jenn_Abrams
KushkingLonnie;2017-11-03 23:45;0;1;"He's the young Samuel Jackson from Django.";;;;"926596272424923136";https://twitter.com/KushkingLonnie/status/926596272424923136;kupajo333,EdKrassen
LaurierTrash;2017-11-03 23:45;0;1;"How does it feel being fooled?";;;;"926596108373184513";https://twitter.com/LaurierTrash/status/926596108373184513;TragicMagic1776,Jenn_Abrams
tai_nugget;2017-11-03 23:40;0;0;"so we have jenn abrams and nashville gop revealed to be russian troll farm accounts. my next bet is loomer";;;;"926595055363637248";https://twitter.com/tai_nugget/status/926595055363637248;
