username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
UC_Point;2017-10-02 16:07;0;1;"#MondayMotivation What an incredible #MSIgnite2017 ! Check out our #Summary https:// goo.gl/4ZuMYF thanks @uc2go & @UCP_ JimDixon pic.twitter.com/k560IGcqg7";;@uc2go @UCP_;#MondayMotivation #MSIgnite2017 #Summary;"914884656922791936";https://twitter.com/UC_Point/status/914884656922791936;
UCP_JimDixon;2017-09-26 18:35;1;1;"Ignite 2017! Looking forward to chatting about unified communications, conferencing, and managed data services! pic.twitter.com/RlIV8cquFE";;;;"912747530454257664";https://twitter.com/UCP_JimDixon/status/912747530454257664;
islandsports1;2017-09-21 21:03;1;1;"KINGSLEY JONES ANNOUNCED AS HEAD ... https:// goo.gl/iQtxJK #CanadasMensFifteensProgram #HeadCoach #JimDixon #KingsleyJones #RugbyCanada pic.twitter.com/jRLi8jpzev";;;#CanadasMensFifteensProgram #HeadCoach #JimDixon #KingsleyJones #RugbyCanada;"910972894045491200";https://twitter.com/islandsports1/status/910972894045491200;
UCP_JimDixon;2017-09-02 18:22;0;1;"The Future of Video Conferencing: VC Daily Interviews Markus Keller, Founder and CEO of UC Point https://www. videoconferencingdaily.com/trending/futur e-video-conferencing-vc-daily-interviews-markus-keller-founder-ceo-uc-point/ … via @VCDailyNews";;@VCDailyNews;;"904046899392630784";https://twitter.com/UCP_JimDixon/status/904046899392630784;
pintsandscrums;2017-08-16 16:45;7;11;"A candid moment between #JimDixon of @RugbyCanada & Mark Anscombe shortly before the kiwi was fired. #RugbyUnited #DixonOut RT pic.twitter.com/rmO7PUcuAY";;@RugbyCanada;#JimDixon #RugbyUnited #DixonOut;"897861791631286273";https://twitter.com/pintsandscrums/status/897861791631286273;
MyMusicCabinet;2017-01-21 15:01;0;0;"Django Django - Born Under Saturn, 2015 (Pop) http:// bit.ly/2jcQ7B5 #DjangoDjango #JimDixon #ThomasGrace #VincentNeff #DavidMaclean";;;#DjangoDjango #JimDixon #ThomasGrace #VincentNeff #DavidMaclean;"822821547408850944";https://twitter.com/MyMusicCabinet/status/822821547408850944;
CFieldAntiques;2016-12-17 18:54;0;1;"New #antiquebooks dealer now in the centre! #JimDixon #Timescolumn pic.twitter.com/w3vC9d7aab";;;#antiquebooks #JimDixon #Timescolumn;"810196596474478592";https://twitter.com/CFieldAntiques/status/810196596474478592;
gleewoodband;2016-11-08 22:14;0;0;"Just driving to Texas! Playing tonight with jimdixon at the thebluelightlive song swap! Aaand… https://www. instagram.com/p/BMkMgOfhNOz/";;;;"796113801468706816";https://twitter.com/gleewoodband/status/796113801468706816;
HLFNorthEast;2016-09-07 12:38;1;2;"Thanks to JimDixon for being keynote speaker at #AFP16 some great projects described as part of national perspective pic.twitter.com/Sq9xtJy0bE";;;#AFP16;"773500729956954112";https://twitter.com/HLFNorthEast/status/773500729956954112;
CallumScott;2016-07-19 22:56;0;0;"19 tram. I shouldn't have bothered sleeping last night because I feel like I've run a marathon and been expertly beaten by thugs #JimDixon";;;#JimDixon;"755536754816397313";https://twitter.com/CallumScott/status/755536754816397313;
DarleneChanPR;2016-04-14 18:30;0;0;"@jimdixon does length interview w/ @kathleighscott on #caregiving , #grief & moving on. http:// exm.nr/23IpHoC pic.twitter.com/wgHzTxU4X8";;@jimdixon @kathleighscott;#caregiving #grief;"720680651641368576";https://twitter.com/DarleneChanPR/status/720680651641368576;
mkyourf8jen;2016-04-09 18:38;0;2;"Remembering Pastor Jim Dixon today. He led a life of love through Christ and those who heard him speak were surely blessed #jimdixon";;;#jimdixon;"718870624173576192";https://twitter.com/mkyourf8jen/status/718870624173576192;
JeanPalacios5;2016-01-06 16:46;0;0;"Happy birthday to the best actor @wwwbigbaldhead . #NormanReedus #DarylDixon #JimDixon … https://www. instagram.com/p/BANG2LiuzXG/";;@wwwbigbaldhead;#NormanReedus #DarylDixon #JimDixon;"684778022281457664";https://twitter.com/JeanPalacios5/status/684778022281457664;
JeanPalacios5;2016-01-06 16:44;3;2;"Happy birthday to the best actor @wwwbigbaldhead . #NormanReedus #DarylDixon #JimDixon … https://www. instagram.com/p/BANGpvFuzW1/";;@wwwbigbaldhead;#NormanReedus #DarylDixon #JimDixon;"684777585457270784";https://twitter.com/JeanPalacios5/status/684777585457270784;
