username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
IRISHPOLISHMAN;2017-10-11 19:52;0;0;"@JoeDolton Thanks 4 follow";;@JoeDolton;;"918202724763754496";https://twitter.com/IRISHPOLISHMAN/status/918202724763754496;
IRISHPOLISHMAN;2017-10-11 19:50;0;0;"@JoeDolton you going to tweet?";;@JoeDolton;;"918202087594446849";https://twitter.com/IRISHPOLISHMAN/status/918202087594446849;
goodguy42070;2017-09-18 16:39;0;0;"It makes me sick, Joe! They know what they are doing...trying to exterminate the White Race!";;;;"909819097189318656";https://twitter.com/goodguy42070/status/909819097189318656;JoeDolton
BlkRobeReg;2017-09-10 11:48;0;0;"PRESIDENT EVIL !!";;;;"906846921981018112";https://twitter.com/BlkRobeReg/status/906846921981018112;JoeDolton,SLapprich
LAUMUMI;2017-09-10 01:04;0;1;"thank you";;;;"906684751700000768";https://twitter.com/LAUMUMI/status/906684751700000768;JoeDolton
Masshole_Rick;2017-09-10 01:04;3;3;"Barack Saddam Hussein Obama bin Laden might be a fool but the joke was on Americans. Some fell for the fool & others were just to smart.";;;;"906684710134284290";https://twitter.com/Masshole_Rick/status/906684710134284290;JoeDolton,marcydw1
luvcats1019;2017-09-10 00:29;0;0;"After doin this speech a lite went off in his big head & he said "YES I CAN" then in a cruel way he got the hopes up of 800 thousand ppl.";;;;"906675869409792000";https://twitter.com/luvcats1019/status/906675869409792000;JoeDolton,kevindillon801
premie45;2017-09-09 18:56;5;4;"Obama was, is and will remain the biggest flimflam, deceiver in chief, arrogant hater of American. Lousy grades, dope-smoking piece of crap";;;;"906592215069286400";https://twitter.com/premie45/status/906592215069286400;JoeDolton,elisamich0422
goodguy42070;2017-09-08 06:20;0;0;"They even had nerve to make fun of him for going to help the people in Houston.... these libs and dems are very sick in the head!";;;;"906039420008009730";https://twitter.com/goodguy42070/status/906039420008009730;JoeDolton
goodguy42070;2017-09-08 06:18;0;0;"They will NEVER be happy, Joe... they want to tear him down! He is a VERY Strong-Willed Man..EVERYTHING he is doing, he is doing for AMERICA";;;;"906039064037490688";https://twitter.com/goodguy42070/status/906039064037490688;JoeDolton
goodguy42070;2017-09-08 06:16;0;0;"I really do love OUR President... he is such a HUMAN BEING....very REAL...DOWN TO EARTH and HONEST! He HAS done so much, in Eight Months";;;;"906038628689747969";https://twitter.com/goodguy42070/status/906038628689747969;JoeDolton,POTUS
goodguy42070;2017-09-08 06:02;0;0;"You Bet Your Life I Will Sign, Friend";;;;"906034979938877441";https://twitter.com/goodguy42070/status/906034979938877441;10_gop,JoeDolton
VerheulJeanette;2017-09-08 00:47;0;2;"No way!America is a Christian country. Muslim mosques are violent Rat nests geared against its guest country! No mosques in America!";;;;"905955809292464129";https://twitter.com/VerheulJeanette/status/905955809292464129;JoeDolton,AMike4761
SafeLibraries;2017-09-08 00:11;0;0;"Retweeted Joe Dolton ( @JoeDolton ): Obama is a fool thinking we wouldn't find his town hall clip of him... http:// fb.me/8TFXzD28t";;@JoeDolton;;"905946751739330560";https://twitter.com/SafeLibraries/status/905946751739330560;
