username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
bryanmessina;2017-11-02 23:14;0;0;"Russian troll https://www. recode.net/2017/11/2/1659 8312/russia-twitter-trump-twitter-deactivated-handle-list …";;;;"926225971010768897";https://twitter.com/bryanmessina/status/926225971010768897;mnlakegal,mensingdr,Justice4Jamar_
bryanmessina;2017-11-02 23:13;0;0;"This is a Russian troll account. #seriously";;;#seriously;"926225887158308866";https://twitter.com/bryanmessina/status/926225887158308866;mnlakegal,Justice4Jamar_,thatguymn
BunsSteel;2017-10-06 04:13;0;1;"it is possible to both criticize hodges' inaction for justice4jamar & condemn how she's treated just for being a woman in this election";;;;"916154507633053696";https://twitter.com/BunsSteel/status/916154507633053696;
NorthNews_MPLS;2017-10-04 23:33;1;0;"Williams: I have organized for #Justice4Jamar and Philando Castile. I organize for econ. justice as a business owner in Ward 5. #mpls2017";;;#Justice4Jamar #mpls2017;"915721485125287937";https://twitter.com/NorthNews_MPLS/status/915721485125287937;
DDankoopa;2017-09-05 23:09;0;0;"I liked a @YouTube video http:// youtu.be/LwCDia_y95w?a #Justice4Jamar Meme'd In The 1st Degree 11 30 2015 mirror";;@YouTube;#Justice4Jamar;"905206342159396864";https://twitter.com/DDankoopa/status/905206342159396864;
ladjal_m;2017-08-23 07:36;0;0;"#Justice4Jamar protests grow; Cops say Clark went for gun http:// mladjalblog.com/wp/justice4jam ar-protests-grow-cops-say-clark-went-for-gun/ … pic.twitter.com/2DqLClz5N8";;;#Justice4Jamar;"900260358685958144";https://twitter.com/ladjal_m/status/900260358685958144;
Evenings_Seq;2017-08-16 04:02;0;0;"#Justice4Jamar : Twerking4Justice levels of woke";;;#Justice4Jamar;"897669910339387392";https://twitter.com/Evenings_Seq/status/897669910339387392;WeWuzMetokur
Urban_Agenda;2017-07-24 02:54;1;4;"#RealLifeInMINNESOTA #HomeOfPhilandoCastile #Justice4Jamar pic.twitter.com/oNC6Q8MY0l";;;#RealLifeInMINNESOTA #HomeOfPhilandoCastile #Justice4Jamar;"889317890607984640";https://twitter.com/Urban_Agenda/status/889317890607984640;
lauren_moen;2017-07-22 01:05;0;0;"#Justice4Jamar https:// twitter.com/startribune/st atus/888531203384541184 …";;;#Justice4Jamar;"888565738390380545";https://twitter.com/lauren_moen/status/888565738390380545;
PaciniUsa;2017-07-21 15:06;0;0;"@cthagod @LifeIsABusiness #Typical #justice4philando #Justice4Jamar https:// twitter.com/startribune/st atus/888170061940346880 …";;@cthagod @LifeIsABusiness;#Typical #justice4philando #Justice4Jamar;"888414864896667652";https://twitter.com/PaciniUsa/status/888414864896667652;
JGodi;2017-07-21 02:11;1;2;"#Justice4Justine #Justice4Jamar #Justice4Philando #Justice4Trayvon";;;#Justice4Justine #Justice4Jamar #Justice4Philando #Justice4Trayvon;"888219813700665346";https://twitter.com/JGodi/status/888219813700665346;
lauren_moen;2017-07-21 02:06;0;0;"I want to hear Chief Harteau say: "Jamar Clark didn't have to die!" #Justice4Jamar";;;#Justice4Jamar;"888218640503496705";https://twitter.com/lauren_moen/status/888218640503496705;FarrahFazal,deray,MinneapolisPD
EveQAdam026;2017-07-18 04:50;0;0;"OFFICER IDENTIFIED IMMEDIATELY!! Something that's just not done when murder victim is Black & Police is White... #RealTruth #Justice4Jamar";;;#RealTruth #Justice4Jamar;"887172708580155392";https://twitter.com/EveQAdam026/status/887172708580155392;ShaunKing
EveQAdam026;2017-07-18 04:31;0;0;"Well, one thing done right... police identified immediately!! Something just not done when the victim is Black...esp. #Justice4Jamar murder.";;;#Justice4Jamar;"887167949378924545";https://twitter.com/EveQAdam026/status/887167949378924545;BetsyHodges,MayorHodges
EveQAdam026;2017-07-18 04:15;0;0;"U certainly wasn't feeling "heartsick & deeply disturbed" abt #Justice4Jamar police involved MURDER! WHY? Was his life not as important 2u?";;;#Justice4Jamar;"887163804836122624";https://twitter.com/EveQAdam026/status/887163804836122624;BetsyHodges,MayorHodges
mnlakegal;2017-07-17 20:31;0;0;"Thanks for the recent follow @sandrasandy290 @Justice4Jamar _ Happy to connect :) have a great Monday. Want this https:// commun.it/?aid=thankyou1 43 …";;@sandrasandy290 @Justice4Jamar;;"887047099405283328";https://twitter.com/mnlakegal/status/887047099405283328;
BIGrusty1788;2017-07-15 11:14;0;0;"I got distracted by the #justice4jamar streams. People are still using the hashtag btw, full bore white supremacist narrative.";;;#justice4jamar;"886182288009986049";https://twitter.com/BIGrusty1788/status/886182288009986049;BIGrusty1788,Je_ViezeMoeder,WeWuzMetokur
emmachiolson;2017-07-08 23:17;3;7;"@MayorHodges please remember it wasn't just Jamar Clark's death. It was his murder. #justice4jamar #mplsdfl";;@MayorHodges;#justice4jamar #mplsdfl;"883827391235321856";https://twitter.com/emmachiolson/status/883827391235321856;
Mal4Congress;2017-07-03 14:47;3;6;"263 ppl had lives halted due to #wrongfulconvinction . 263 families & victims w/o #justice . The system is broken. Can't go on #justice4jamar https:// twitter.com/evidenceprof/s tatus/881471882566017024 …";;;#wrongfulconvinction #justice #justice4jamar;"881887106695655424";https://twitter.com/Mal4Congress/status/881887106695655424;
NotoriousDGP;2017-06-17 01:31;0;1;"While we were fighting for #Justice4Jamar , @Jacob_Frey coward self was in hiding. Playing respectability politics.";;@Jacob_Frey;#Justice4Jamar;"875888486720696322";https://twitter.com/NotoriousDGP/status/875888486720696322;NotoriousDGP
bravenew1;2017-06-16 22:10;0;0;"http://www. startribune.com/as-he-gears-fo r-re-election-freeman-confronts-the-racial-divide/418735853/ … Go to hell Mike Freeman. Your racist ass won't be tolerated anymore #BlackLivesMatter #Justice4Jamar";;;#BlackLivesMatter #Justice4Jamar;"875838058746261504";https://twitter.com/bravenew1/status/875838058746261504;
mnlakegal;2017-06-16 18:48;0;0;"Thanks for the recent follow @Justice4Jamar _ @james_rico318 @thatguymn Happy to connect :) have a great Friday. https:// commun.it/thank-you/?aid =thankyou134 …";;@Justice4Jamar @james_rico318 @thatguymn;;"875787073202139136";https://twitter.com/mnlakegal/status/875787073202139136;
MaurandainNY;2017-06-13 21:41;0;0;"More detailed version of the Jamar Huggins motion for a new trial hearing. Questions, ask. #Justice4jamar https://www. blogger.com/blogger.g?blog ID=2993878587952879248&pli=1#editor/target=post;postID=5098129968916978800;onPublishedMenu=allposts;onClosedMenu=allposts;postNum=0;src=postname …";;;#Justice4jamar #editor;"874743679654789122";https://twitter.com/MaurandainNY/status/874743679654789122;
MaurandainNY;2017-06-13 04:52;1;7;"Well deserved day in court. My team will be there live tweeting as long as media is permitted. Follow along! #justice4jamar @Undisclosedpod https:// twitter.com/evidenceprof/s tatus/874256678027489280 …";;@Undisclosedpod;#justice4jamar;"874489581533581313";https://twitter.com/MaurandainNY/status/874489581533581313;
MaurandainNY;2017-06-10 18:54;0;1;"Search deep in your heart and pockets. Every dollar counts. Let's bring Jamar home. #justice4jamar https://www. fundedjustice.com/campaigns/f1Cb z4 …";;;#justice4jamar;"873614452045819904";https://twitter.com/MaurandainNY/status/873614452045819904;
mnlakegal;2017-05-14 20:48;0;1;"Thanks for the recent follow @mensingdr @Justice4Jamar _ @james_rico318 Happy to connect :) have a great Sunday. https:// commun.it/thank-you/?aid =thankyou136 …";;@mensingdr @Justice4Jamar @james_rico318;;"863858705837764608";https://twitter.com/mnlakegal/status/863858705837764608;
NitashaLynnNLDI;2017-05-08 12:31;0;0;"Jamar Clark would have been 26... #Justice4Jamar #BlackLivesMatter #WeShallOvercome … https://www. instagram.com/p/BT1NkhsgcaP/";;;#Justice4Jamar #BlackLivesMatter #WeShallOvercome;"861559076274176000";https://twitter.com/NitashaLynnNLDI/status/861559076274176000;
oshaUNREGULATED;2017-04-28 21:50;2;2;"#RestoreHumanity #BlackLivesMatter #Justice4Jamar • Al Ditty dedicated his life to Minneapolis, they took it away: http://www. citypages.com/news/al-ditty- dedicated-his-life-to-minneapolis-a-city-that-one-day-would-take-it-away/420396663 …";;;#RestoreHumanity #BlackLivesMatter #Justice4Jamar;"858076090295656448";https://twitter.com/oshaUNREGULATED/status/858076090295656448;
mnlakegal;2017-04-10 18:01;0;0;"Thanks for the recent follow @TrumpTrain_ @Justice4Jamar _ @JAGE21835 Happy to connect :) have a great Monday. https:// commun.it/thank-you/?aid =thankyou135 …";;@TrumpTrain_ @Justice4Jamar @JAGE21835;;"851495491015766017";https://twitter.com/mnlakegal/status/851495491015766017;
IamJasonSole;2017-04-09 16:55;1;0;""We who believe in #Justice4Jamar will not rest until it happens! #MikeFreemanLied http:// m.startribune.com/as-he-gears-fo r-re-election-freeman-confronts-the-racial-divide/418735853/ …";;;#Justice4Jamar #MikeFreemanLied;"851116297995812865";https://twitter.com/IamJasonSole/status/851116297995812865;
IamJasonSole;2017-03-20 17:59;0;1;"This is the part where we hear that there will be #Justice4Jamar pic.twitter.com/Y72wv8bUmf";;;#Justice4Jamar;"843884755049439234";https://twitter.com/IamJasonSole/status/843884755049439234;
