username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
yodovoo;2017-10-13 23:41;0;0;"http:// yodovo.com/2fH Emmett Till. 1955. Tamir Rice. 2015. #BlackLivesMatter #TamirRice #Justice4Tamir ...";;;#BlackLivesMatter #TamirRice #Justice4Tamir;"918985019670048768";https://twitter.com/yodovoo/status/918985019670048768;
wkycweather;2017-08-31 21:04;0;0;"Thanks #Justice4Tamir for being "Weather Ready" by following us at Channel 3 Weather on Twitter.";;;#Justice4Tamir;"903362799191166978";https://twitter.com/wkycweather/status/903362799191166978;
Amaliada;2017-08-07 01:55;0;0;"Retweeted #Justice4Tamir ( @msgoldsby74 ): Retweeted Abdul-Kareem Nafi ( @kareems_dream ): Just Facts....... http:// fb.me/9j0k6jiZ5";;@msgoldsby74 @kareems_dream;#Justice4Tamir;"894376409510154240";https://twitter.com/Amaliada/status/894376409510154240;
msgoldsby74;2017-08-01 18:42;0;0;"Retweeted #Justice4Tamir ( @msgoldsby74 ): @OnlineCleveland This is why we have little to no trust in our state... http:// fb.me/8HXSpqkYP";;@msgoldsby74 @OnlineCleveland;#Justice4Tamir;"892455445935390721";https://twitter.com/msgoldsby74/status/892455445935390721;
Amaliada;2017-07-28 23:48;0;0;"Retweeted #Justice4Tamir ( @msgoldsby74 ): And we knew this was coming @CLEpolice are always above the law as with... http:// fb.me/BzGYj24c";;@msgoldsby74 @CLEpolice;#Justice4Tamir;"891083067275841537";https://twitter.com/Amaliada/status/891083067275841537;
msgoldsby74;2017-07-28 18:37;0;0;"Retweeted #Justice4Tamir ( @msgoldsby74 ): And we knew this was coming @CLEpolice are always above the law as with... http:// fb.me/2rYDCTjGj";;@msgoldsby74 @CLEpolice;#Justice4Tamir;"891004781292122112";https://twitter.com/msgoldsby74/status/891004781292122112;
KofiAdemola;2017-07-07 21:33;25;67;"I'm looking 4ward to listening & supporting @msgoldsby74 tonight as she speaks about the on going fight for #Justice4Tamir . @Blklivesmatter pic.twitter.com/yPOYdGmGJj";;@msgoldsby74 @Blklivesmatter;#Justice4Tamir;"883438733932072960";https://twitter.com/KofiAdemola/status/883438733932072960;
KofiAdemola;2017-06-26 02:48;2;15;"This was lit! I @YaraShahidi for this! #Justice4Tamir #2017BETAwards #TamirRice . @BLMChi https:// twitter.com/essence/status /879169075158634496 …";;@YaraShahidi @BLMChi;#Justice4Tamir #2017BETAwards #TamirRice;"879169582010949632";https://twitter.com/KofiAdemola/status/879169582010949632;
BLMChi;2017-06-18 14:05;1;5;"#Justice4Tamir #BlackLivesMatter . @Blklivesmatter https:// twitter.com/msgoldsby74/st atus/876439824324067328 …";;@Blklivesmatter;#Justice4Tamir #BlackLivesMatter;"876440812996972544";https://twitter.com/BLMChi/status/876440812996972544;
MELANATED_MEDIA;2017-05-31 22:44;0;0;"Here's why #Tamirrice hasn't received justice.. #OfficerLoehmann fired https:// youtu.be/S7-1WTXQ3fk #cle #ohio #justice4tamir #thursdaythoughts";;;#Tamirrice #OfficerLoehmann #cle #ohio #justice4tamir #thursdaythoughts;"870048385327390720";https://twitter.com/MELANATED_MEDIA/status/870048385327390720;
BLignell;2017-05-31 22:38;1;2;"This is the same @RealTimBlack I found 2 years ago on this same tragedy. Im pissed off this killer walks the streets with no #Justice4Tamir https:// twitter.com/RealTimBlack/s tatus/870039470325854208 …";;@RealTimBlack;#Justice4Tamir;"870046795933536256";https://twitter.com/BLignell/status/870046795933536256;
skynfuel;2017-05-30 20:52;0;0;"#Justice4Tamir Cleveland policeman Timothy Loehmann who fatally shot Tamir Rice is fired http:// a.msn.com/01/en-us/BBBGl Ox?ocid=st …";;;#Justice4Tamir;"869657681069342720";https://twitter.com/skynfuel/status/869657681069342720;
