username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
TheOtherRosie;2016-10-23 01:40;0;0;"I'm a #Trump supporter.";;;#Trump;"790005016270471169";https://twitter.com/TheOtherRosie/status/790005016270471169;ATLBlackStar,KaydenMelton
Lweystah;2016-10-15 19:27;0;0;"@isuckontits";;@isuckontits;;"787374346083926016";https://twitter.com/Lweystah/status/787374346083926016;KaydenMelton
Lweystah;2016-10-15 19:27;0;0;"@NoChill4D";;@NoChill4D;;"787374246871924740";https://twitter.com/Lweystah/status/787374246871924740;KaydenMelton
Amethystt;2016-09-17 10:51;0;1;"http://www. baidu.com/link?url=0JBV7 WcvLJ7j_Xjxo5xdN6de-WtdERAtG2MiHeGZ2F3 … @puddle_bear , @cheaib0 , @curbstv , @kaydenmelton , @pkrg , @edusamani , @jroper6785";;@puddle_bear @cheaib0 @curbstv @kaydenmelton @pkrg @edusamani @jroper6785;;"777097555201044480";https://twitter.com/Amethystt/status/777097555201044480;
d7omevic;2016-09-12 15:20;0;0;"@KaydenMelton";;@KaydenMelton;;"775353401387409408";https://twitter.com/d7omevic/status/775353401387409408;7_mutlaq
TheMaghrebTimes;2016-09-01 17:25;0;0;"cristal or coke? https:// twitter.com/TheMaghrebTime s/status/771258785545412608 …";;;;"771398650891268096";https://twitter.com/TheMaghrebTimes/status/771398650891268096;JamilahLemieux,KaydenMelton
MrNegroMilitant;2016-08-31 17:01;0;0;"@KaydenMelton #VoteGreenIn2016 #BreshaMeadows ʂɧʘʋʈʘʋʈ #SteinBaraka #PalestineYemenSyria";;@KaydenMelton;#VoteGreenIn2016 #BreshaMeadows #SteinBaraka #PalestineYemenSyria;"771030143754117120";https://twitter.com/MrNegroMilitant/status/771030143754117120;
classicirishdem;2016-08-31 05:15;0;0;"he IS THAT obtuse, uninformed, and oblivious to others -";;;;"770852434214211584";https://twitter.com/classicirishdem/status/770852434214211584;hollyrpeete,KaydenMelton
classicirishdem;2016-08-31 05:14;0;0;"he IS THAT obtuse, uninformed, and oblivious to others - trump";;;;"770852278156746752";https://twitter.com/classicirishdem/status/770852278156746752;hollyrpeete,KaydenMelton
Celestewriter01;2016-08-27 19:17;0;0;"Was he suppose to run from the police?";;;;"769614748644237312";https://twitter.com/Celestewriter01/status/769614748644237312;gloed_up,KaydenMelton
