username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
josh_emerson;2017-10-06 00:18;0;0;"they did have a twitter account 2 in fact one at @LGBTuni and one at @lgbtunitedcom https:// webcache.googleusercontent.com/search?q=cache :YEEqB5l3gA0J:https://twitter.com/lgbtuni+&cd=2&hl=en&ct=clnk&gl=us … pic.twitter.com/U9RUdvuArx";;@LGBTuni @lgbtunitedcom;;"916095308869840902";https://twitter.com/josh_emerson/status/916095308869840902;
Kravmaganut;2017-10-05 03:47;0;0;"Oh sure I can totally understand how this would make people vote for Trump. Said no sane person ever.";;;;"915785547242754051";https://twitter.com/Kravmaganut/status/915785547242754051;JackPosobiec,LGBTuni
dakotajustice1;2017-10-04 19:55;0;0;"Thanks for making me throw up into my mouth just a little there.";;;;"915666663147819011";https://twitter.com/dakotajustice1/status/915666663147819011;JackPosobiec,pressbuddy,LGBTuni
1deserthottie;2017-10-04 15:38;0;1;"Well, definitely Ukraine b/c leaders admitted doing things in USA to aid Clinton in 2016 election! Maybe not Russia; not friendly w/Ukraine.";;;;"915602054537633793";https://twitter.com/1deserthottie/status/915602054537633793;aikenski,JackPosobiec,LGBTuni
1deserthottie;2017-10-04 15:35;0;1;"V smart person: "12 hrs for FBI to dismiss Islam terror link in LV massacre WITH evidence! 1-1/2 yrs STILL looking for Trump/Russia ZERO!"";;;;"915601340033777665";https://twitter.com/1deserthottie/status/915601340033777665;women_4Trump,JackPosobiec,LGBTuni
frederickmazar1;2017-10-04 15:21;1;0;"Nobody talking about multiple shooters in Las Vegas. What's up guys.";;;;"915597725542084608";https://twitter.com/frederickmazar1/status/915597725542084608;JackPosobiec,LGBTuni
Morty_Fied;2017-10-04 14:58;0;0;"Well that's embarrassing.";;;;"915591918880530432";https://twitter.com/Morty_Fied/status/915591918880530432;JackPosobiec,LGBTuni
p25735;2017-10-04 14:25;0;1;"Yes, seriously. It reads "NY Times reported and bought". Should be "...was run by Russian troll farm who bought..."";;;;"915583659947696128";https://twitter.com/p25735/status/915583659947696128;dukeblu85,JackPosobiec,LGBTuni
women_4Trump;2017-10-04 13:59;1;1;"Sorry, I'm not even buying the "Russian troll & bot farms" or "Russian-linked" ads, until I see direct, irrefutable, tested, verified, & cross-examined proof that names which exact Russians are guilty. ps-it was never Russia";;;;"915577229349986309";https://twitter.com/women_4Trump/status/915577229349986309;JackPosobiec,LGBTuni
dukeblu85;2017-10-04 11:25;0;0;"If Russia "helped" anyone, it was Hillary.";;;;"915538411754319872";https://twitter.com/dukeblu85/status/915538411754319872;aikenski,JackPosobiec,LGBTuni
dukeblu85;2017-10-04 11:23;0;0;"Seriously? Reread";;;;"915537964725391361";https://twitter.com/dukeblu85/status/915537964725391361;p25735,JackPosobiec,LGBTuni
perrywilson3;2017-10-04 06:26;0;0;"Laughable.";;;;"915463042598445056";https://twitter.com/perrywilson3/status/915463042598445056;JackPosobiec,LGBTuni
CurtSStone1;2017-10-04 06:24;0;0;"Because Hillary pandered to the gays night and day and the real Americans are of Christian heritage and voted against gay power.";;;;"915462662628216832";https://twitter.com/CurtSStone1/status/915462662628216832;Jared_T_Swift,JackPosobiec,LGBTuni
Nebthebald;2017-10-04 05:12;0;1;"Oh man! This MUST be the reason Trump won! I mean it's not like Hillary is widely about as trustworthy as a rabid dog! MUST BE THE RUSSIANS!";;;;"915444566609850368";https://twitter.com/Nebthebald/status/915444566609850368;JackPosobiec,LGBTuni
TheOtherRosie;2017-10-04 05:01;0;0;"I hear them chanting even now, " #Fib , fib together, merrily, merrily fib......."";;;#Fib;"915441716462841856";https://twitter.com/TheOtherRosie/status/915441716462841856;dan_covfefe,JackPosobiec,LGBTuni
TheOtherRosie;2017-10-04 05:00;0;0;"Nope";;;;"915441432919502849";https://twitter.com/TheOtherRosie/status/915441432919502849;TammyeJo,JackPosobiec,LGBTuni
TheOtherRosie;2017-10-04 04:59;0;0;"Maybe Russians are running #HillaryClinton 's Twitter account....";;;#HillaryClinton;"915441293844770816";https://twitter.com/TheOtherRosie/status/915441293844770816;aikenski,JackPosobiec,LGBTuni
tammych84834131;2017-10-04 04:59;0;0;"And this matters because?";;;;"915441231177465857";https://twitter.com/tammych84834131/status/915441231177465857;JackPosobiec,LGBTuni
TheOtherRosie;2017-10-04 04:58;0;1;"They may have.";;;;"915440955913834497";https://twitter.com/TheOtherRosie/status/915440955913834497;p25735,JackPosobiec,LGBTuni
TheOtherRosie;2017-10-04 04:57;0;0;"I've heard that #HillaryClintons Twitter account is run by Russians.";;;#HillaryClintons;"915440764007698434";https://twitter.com/TheOtherRosie/status/915440764007698434;JackPosobiec,LGBTuni
Freman67;2017-10-04 04:22;0;1;"That makes a lot of sense actually. Click bait ad revenue is as appealing to Russians as it is to everyone else.";;;;"915431864294285312";https://twitter.com/Freman67/status/915431864294285312;TassoTass,JackPosobiec,LGBTuni
oso1248;2017-10-04 04:18;0;0;"Ahhhhh the Russians & their completely legal ads!!!!! The US has been usurped by commercials!!!! - every journalist.";;;;"915430881971535873";https://twitter.com/oso1248/status/915430881971535873;JackPosobiec,LGBTuni
