username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
EnglerMD;2017-09-29 09:46;0;0;"oh man";;;;"913701608101425152";https://twitter.com/EnglerMD/status/913701608101425152;MagdeburgBote
EnglerMD;2017-09-19 17:08;0;0;"lasst es zu";;;;"910188917277814785";https://twitter.com/EnglerMD/status/910188917277814785;MagdeburgBote
EnglerMD;2017-09-19 17:08;0;0;"meiner Meinung nach hat Helmut Kohl mit der heutigen Politik nichts mehr zu tun, er hat seinen Platz in der Geschichte";;;;"910188846389882881";https://twitter.com/EnglerMD/status/910188846389882881;MagdeburgBote
mgpunkt50;2017-09-07 14:18;7;5;"Wegen deiner Fahrweise oder weil du nie angeschnallt bist? pic.twitter.com/7o8YaOw13W";;;;"905797314048090113";https://twitter.com/mgpunkt50/status/905797314048090113;Truffe_du_Jour,MagdeburgBote
Truffe_du_Jour;2017-09-07 13:53;0;1;"Jaha....das behauptet ihr... Und dann landen wieder Bilder meiner geilen Karre auf irgendwelchen Schmuddelseiten, nech?";;;;"905791215236513794";https://twitter.com/Truffe_du_Jour/status/905791215236513794;MagdeburgBote,mgpunkt50
Jens62622095;2017-08-20 09:01;0;0;"Eigentlich schade.wir haben ihm sehr viel zu verdanken";;;;"899194698035847168";https://twitter.com/Jens62622095/status/899194698035847168;MagdeburgBote
elroklea;2017-08-10 14:58;0;0;"..was für eine wunderbare Aufnahme ..dieser Augenblick :)";;;;"895660532572725248";https://twitter.com/elroklea/status/895660532572725248;MagdeburgBote
IckeBernd;2017-08-08 11:46;0;0;"Ich hoffe dies ist Anstoß für viele leerstehende und dem Verfall drohende Objekte !!";;;;"894887413784354816";https://twitter.com/IckeBernd/status/894887413784354816;MagdeburgBote
originalhamburg;2017-08-04 12:57;0;1;"Wird wohl eine sein. :-))";;;;"893455810734567425";https://twitter.com/originalhamburg/status/893455810734567425;smaugk,MagdeburgBote,TanjaTheEnd92
smaugk;2017-08-04 12:32;0;1;"@MagdeburgBote @TanjaTheEnd92 Sieht aber schon aus wie ne Möwe, oder?";;@MagdeburgBote @TanjaTheEnd92;;"893449671506628608";https://twitter.com/smaugk/status/893449671506628608;originalhamburg
gunnie1978;2017-08-04 11:58;0;0;"Nun schon der zweite";;;;"893440979486769152";https://twitter.com/gunnie1978/status/893440979486769152;MagdeburgBote
olliMD;2017-07-30 10:17;0;1;"Schaumal @HartmutMD";;@HartmutMD;;"891603709054124034";https://twitter.com/olliMD/status/891603709054124034;MagdeburgBote
zettelfalter;2017-07-30 09:50;0;0;"Von der sternbrücke aus gesehen, als anmerkung, rechts im bild, messma loft";;;;"891596773357215746";https://twitter.com/zettelfalter/status/891596773357215746;MagdeburgBote
nurdersven;2017-07-30 09:49;0;0;"Kein Problem. ;-)";;;;"891596551910547457";https://twitter.com/nurdersven/status/891596551910547457;MagdeburgBote
nurdersven;2017-07-29 13:58;0;0;"Ihr meint bestimmt #Haldensleben .";;;#Haldensleben;"891296887562801154";https://twitter.com/nurdersven/status/891296887562801154;MagdeburgBote
Fesek2;2017-06-29 15:05;0;0;"@MagdeburgBote Vielen Dank :-)";;@MagdeburgBote;;"880442045608931328";https://twitter.com/Fesek2/status/880442045608931328;
FrankEic1;2017-06-29 13:16;0;0;"Vielleicht klappt das auch anders herum, das man ihn damit ins Polizei Auto locken kann. Drecksack den...";;;;"880414637828833287";https://twitter.com/FrankEic1/status/880414637828833287;MagdeburgBote
Babsi58089;2017-06-14 12:26;0;1;"Willkommen in meiner Twitter Welt @MagdeburgBote via https:// Statusbrew.com";;@MagdeburgBote;;"874966371733565440";https://twitter.com/Babsi58089/status/874966371733565440;
