username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
PippoMarmitta;2017-10-18 19:15;2;11;"user denken tatsächlich dass sie durch proxies irgendwo in russland sitzen nein du jockelpeter du sitzt immer noch bei mama im keller";;;;"920730190669647874";https://twitter.com/PippoMarmitta/status/920730190669647874;
tierantonakis;2017-10-12 18:49;0;0;"Russland - shar pei mama braucht dringend eine augen-op - sie hat danach aussicht auf eine ps in dtl. zusammen... http:// fb.me/8QFovxexz";;;;"918549262639644672";https://twitter.com/tierantonakis/status/918549262639644672;
MariavonMagdal1;2017-10-09 06:17;0;4;"Quiz: aus welchem Land kommt diese Maria (Jesu Mama ): 1. USA 2. Russland 3. Norwegen Grüße aus Nazareth :-) pic.twitter.com/xzCi23Zxrn";;;;"917272758345719808";https://twitter.com/MariavonMagdal1/status/917272758345719808;
HerrLatte;2017-09-27 06:33;0;2;"Niedlich. Der Kollege aus Russland . Twoja Mama !!!";;;;"912928060256739329";https://twitter.com/HerrLatte/status/912928060256739329;
speertraeger;2017-08-23 17:56;0;0;"Mama ist alles nicht so, mach nicht alles schlimmer als es ist.. sagte mein Sohn. Deutschland wäre sicherer als Russland , meint er.";;;;"900416457007300608";https://twitter.com/speertraeger/status/900416457007300608;DemetrKl
speertraeger;2017-08-23 17:51;0;0;"Meine Kinder sagen, Mama du bist erwachsen. Du musst dahin gehen, wo du glücklich bist. das ist Russland . Russland mein Land, mein Herz !";;;;"900415323144323081";https://twitter.com/speertraeger/status/900415323144323081;DemetrKl
Wirsing_Crew;2017-08-10 17:25;0;7;"Mama richtig international aufgestellt erst china dann brasilien dann griechenland und bald russland wtf";;;;"895697724133310464";https://twitter.com/Wirsing_Crew/status/895697724133310464;
starnovar1;2017-07-31 20:09;0;2;"Oh Gott wo kommen nur immer diese Schwachmaten her? Krieg führen? Gegen Rußland ? Der Schisser wärst der erste der weinend nach Mama kreischt https:// twitter.com/marcelsardo/st atus/892093540506927104 …";;;;"892115025132957696";https://twitter.com/starnovar1/status/892115025132957696;
NaxSkywalker;2017-07-29 09:27;0;4;"Irgendwo in Russland verlaufen. Sagt meiner Mama dass ich sie liebe";;;;"891228572584685569";https://twitter.com/NaxSkywalker/status/891228572584685569;
patryk2U;2017-07-29 07:26;0;1;"Großer Einkaufsmarkt im Polen. Mama : Brauchen noch Milch. Ich: Hole ich natürlich! *10min später* Ich: Wtf ist das Russland !?";;;;"891198135409811456";https://twitter.com/patryk2U/status/891198135409811456;
Zelda_Kasahara;2017-07-27 10:31;0;5;"Meine 5-jährige russisch-japanische Schülerin meinte zu mir "Du hast die gleiche Augenfarbe wie meine Mama . Bist du auch aus Russland ?"";;;;"890520019993374720";https://twitter.com/Zelda_Kasahara/status/890520019993374720;
ErsteKatze;2017-07-20 11:30;0;2;"Papa ist Schweizer, Oma und Stiefmutter sind aus Russland , Mama ist Deutsche, Stiefvater in spe ist Amerikaner. Läuft bei uns";;;;"887998042464497665";https://twitter.com/ErsteKatze/status/887998042464497665;ErsteKatze
Zamanyolcusu777;2017-07-14 22:21;0;0;"Aha, da wird die Gesinnung aber sehr deutlich! Wer hat in Russland vor Kälte nach seiner Mama geschrien in kurzen Hosen...";;;;"885987520919556098";https://twitter.com/Zamanyolcusu777/status/885987520919556098;GrafTreuberg,west0o,SPIEGELONLINE
sophies__welt;2017-07-10 18:44;0;2;"5 min Mama fragen wir es ihr geht. Eine halbe Stunde diskutieren ob ich 250 € Bargeld nach Russland einführen darf. Obergrenze sind 10 k $.";;;;"884483479290904577";https://twitter.com/sophies__welt/status/884483479290904577;
LiHabr8;2017-07-05 10:47;0;0;"Mama !! Es ist wahr, dass du in Russland spielst? #russia … https://www. instagram.com/p/BWKXzFjAEdBP LwGeLkCIeEJuoan1bSbVC62y9M0/ …";;;#russia;"882551468728995840";https://twitter.com/LiHabr8/status/882551468728995840;
aalkonsum;2017-07-02 20:57;1;4;"Hallo Mama , mit dem Spruch "Diesmal hat Deutschland in Russland nicht verloren" outet man sich als dumm! LG Dein Cpt. Danger Aalkonsum";;;;"881617816503418881";https://twitter.com/aalkonsum/status/881617816503418881;
lisamariejaly;2017-06-15 14:37;0;4;"Früher brachte meine Mama Haribo und Lewis Jeans nach Russland , heute bringe ich Zigaretten zurück. Traditioneller Konsumkreislauf.";;;;"875361711439663104";https://twitter.com/lisamariejaly/status/875361711439663104;
