username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
darrell145;2017-07-04 22:21;0;0;"Bad! We don't say "liars." We say "fibbing."";;;;"882363688837160961";https://twitter.com/darrell145/status/882363688837160961;WBCSaysRepent,MinneapolisON
WBCSaysRepent;2017-07-04 21:59;5;0;"The Lord willing, Westboro Baptist Church to preach Christ to Lutheran liars of Minneapolis, MN cc: @MinneapolisON pic.twitter.com/TKjefyNQBG";;@MinneapolisON;;"882358326767611904";https://twitter.com/WBCSaysRepent/status/882358326767611904;
WBCSaysRepent;2017-07-03 18:45;5;1;"Westboro Baptist Church to preach against the Lutheran liars of Minneapolis, MN: pic.twitter.com/TyJbEmGDKs cc: @MinneapolisON";;@MinneapolisON;;"881947030905638913";https://twitter.com/WBCSaysRepent/status/881947030905638913;
WBCFliers;2017-07-03 11:45;1;0;"Westboro Baptist Church to preach against the Lutheran liars of Minneapolis, MN: pic.twitter.com/KGBq411EAu cc: @MinneapolisON";;@MinneapolisON;;"881841445325426688";https://twitter.com/WBCFliers/status/881841445325426688;
RockDocInLV;2017-06-09 19:29;0;0;"Thanks for the recent follow @MinneapolisON @dsandrock101 Happy to connect :) have a great Friday. Want this https:// commun.it/grow-your-foll owers?aid=thankyou144 …";;@MinneapolisON @dsandrock101;;"873260808003883008";https://twitter.com/RockDocInLV/status/873260808003883008;
RockDocInLV;2017-05-09 18:04;0;0;"Thanks for the recent follow @GOTLUCKIE_COM @MinneapolisON Happy to connect :) have a great Tuesday. Get it https:// commun.it/thank-you/?aid =thankyou127 …";;@GOTLUCKIE_COM @MinneapolisON;;"862005494306787328";https://twitter.com/RockDocInLV/status/862005494306787328;
TeenoutreachMn;2017-04-27 20:45;0;1;"@MinneapolisON We are youg teenagers trying to send 7 impovershed kids to camp tanadoona in could you help us. https://www. gofundme.com/tanadoonaoutdo orleaders …";;@MinneapolisON;;"857697256975290368";https://twitter.com/TeenoutreachMn/status/857697256975290368;
NorthWoods_Kel;2017-04-19 16:18;1;3;"Common #Loon on Lake Calhoun in #Minneapolis this week @MNMOmag @MinneapolisON @AroundMN @OutdoorsNow #migration #wildlife #birdphotography pic.twitter.com/KUnbiKlOOp";;@MNMOmag @MinneapolisON @AroundMN @OutdoorsNow;#Loon #Minneapolis #migration #wildlife #birdphotography;"854730936763772928";https://twitter.com/NorthWoods_Kel/status/854730936763772928;
RockDocInLV;2017-04-08 17:59;0;0;"Thanks for the recent follow @underwaterIife @MinneapolisON Happy to connect :) have a great Saturday. Get this https:// commun.it/thank-you/?aid =thankyou126 …";;@underwaterIife @MinneapolisON;;"850770151469395968";https://twitter.com/RockDocInLV/status/850770151469395968;
RockDocInLV;2017-03-08 16:15;0;0;"Thanks for the recent follow @underwaterIife @MinneapolisON Happy to connect :) have a great Wednesday. Get it https:// commun.it/thank-you/?aid =thankyou127 …";;@underwaterIife @MinneapolisON;;"839509806377422848";https://twitter.com/RockDocInLV/status/839509806377422848;
