username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
DJMANO_COM;2017-02-06 00:58;0;0;"#Halftime #SBLI #Superbowl STREET RAGE RADIO SERIES W/ @DJMANO_COM EP. 53 http:// bit.ly/2jR1fnO @GloriaGarayua @PamBLMDaniels @monikarmbt6";;@DJMANO_COM @GloriaGarayua @PamBLMDaniels @monikarmbt6;#Halftime #SBLI #Superbowl;"828407526429433858";https://twitter.com/DJMANO_COM/status/828407526429433858;
Saucy_Sis;2017-01-27 05:40;0;0;"@blicqer @deray @ShaunKing @goldietaylor @JoyAnnReid @CornellWBrooks @SenBookerOffice @PamBLMDaniels @JudgeGregMathis @SandersFirmPC https:// twitter.com/saucysistah/st atus/824854044095057920 …";;@blicqer @deray @ShaunKing @goldietaylor @JoyAnnReid @CornellWBrooks @SenBookerOffice @PamBLMDaniels @JudgeGregMathis @SandersFirmPC;;"824854596262653952";https://twitter.com/Saucy_Sis/status/824854596262653952;
KingFrosT30;2017-01-15 12:45;0;0;"@PamBLMDaniels hey how's it going? FollowBack?? #Chilly";;@PamBLMDaniels;#Chilly;"820612904391213058";https://twitter.com/KingFrosT30/status/820612904391213058;
DJMANO_COM;2017-01-15 01:58;0;0;"DJ MANO SERIES EP. 137 https://www. podomatic.com/podcasts/djman o/episodes/2016-12-15T19_03_45-08_00 … @PamBLMDaniels @monikarmbt6 @IcedBlondie";;@PamBLMDaniels @monikarmbt6 @IcedBlondie;;"820450042012200967";https://twitter.com/DJMANO_COM/status/820450042012200967;
Sydnyyyy;2017-01-13 18:14;2;1;"gotchu";;;;"819970897717166081";https://twitter.com/Sydnyyyy/status/819970897717166081;croc716,itsTripleM
bleedingheartmx;2017-01-13 05:46;0;0;"@PamBLMDaniels thank you for posting; then i checked and found i only followed you; no worries respec; but not following you again ; block";;@PamBLMDaniels;;"819782637787062272";https://twitter.com/bleedingheartmx/status/819782637787062272;
LOVEnver_fails;2017-01-08 10:52;0;0;"@PamBLMDaniels God's imaginary. #HonestyIsTheNewBravery #HonestyIsLoving #GetHonest #LoveUnconditionally #BlackLivesMatter #Reason";;@PamBLMDaniels;#HonestyIsTheNewBravery #HonestyIsLoving #GetHonest #LoveUnconditionally #BlackLivesMatter #Reason;"818047775606607872";https://twitter.com/LOVEnver_fails/status/818047775606607872;TYCASHH
LOVEnver_fails;2017-01-01 15:14;0;1;"@PamBLMDaniels laughter is the best medicine! You all look great! Happy New Year!";;@PamBLMDaniels;;"815576834582528000";https://twitter.com/LOVEnver_fails/status/815576834582528000;nephewtommy
locdeezy;2016-12-28 00:37;0;0;"@PamBLMDaniels on the love";;@PamBLMDaniels;;"813906645180944384";https://twitter.com/locdeezy/status/813906645180944384;
Duse_Benastar;2016-12-23 17:53;0;0;"@PamBLMDaniels thank You!!";;@PamBLMDaniels;;"812355561157169152";https://twitter.com/Duse_Benastar/status/812355561157169152;
Dzdjewelry;2016-12-23 08:54;2;2;"Thanks for the retweets this week @MelamuMalik @iconfashionURB @PamBLMDaniels much appreciated!";;@MelamuMalik @iconfashionURB @PamBLMDaniels;;"812219875888418816";https://twitter.com/Dzdjewelry/status/812219875888418816;
zamakeupartist;2016-12-19 07:36;0;0;"@PamBLMDaniels Thank you for the retweet";;@PamBLMDaniels;;"810750587763445760";https://twitter.com/zamakeupartist/status/810750587763445760;
JayBaythin;2016-12-17 03:20;0;0;"@PamBLMDaniels preciate tha luv pam";;@PamBLMDaniels;;"809961459715284992";https://twitter.com/JayBaythin/status/809961459715284992;1063atl
BishopLLH;2016-12-16 19:16;0;0;"@PamBLMDaniels thanks for the love! #LiveAgain";;@PamBLMDaniels;#LiveAgain;"809839703625175040";https://twitter.com/BishopLLH/status/809839703625175040;
THEREALCOLDCASH;2016-12-12 19:19;0;1;"#TEAMCOLDCASH SHOUT OUT TO @PamBLMDaniels FOLLOW HER ASAP";;@PamBLMDaniels;#TEAMCOLDCASH;"808390862619213825";https://twitter.com/THEREALCOLDCASH/status/808390862619213825;
CokeBoyzFanpage;2016-12-11 21:14;0;0;"Top retweeters this week, @IvlOgGER @TheeMarvin @PamBLMDaniels : Thank you :) (Want this ? >> http:// bit.ly/tweet_thanks_ )";;@IvlOgGER @TheeMarvin @PamBLMDaniels;;"808057458384048128";https://twitter.com/CokeBoyzFanpage/status/808057458384048128;
La_T_Ly;2016-12-09 17:02;0;0;"@PamBLMDaniels CHECK LA-T-LY's NEW LP ALBUM DAT JUST HIT DA STREETZ "RELEASE DATE 20 14" https:// soundcloud.com/la-t-ly/sets/r elease-date-20-14 …";;@PamBLMDaniels;;"807269242588581888";https://twitter.com/La_T_Ly/status/807269242588581888;
DonThePromoter1;2016-12-02 11:51;0;0;"@PamBLMDaniels https:// twitter.com/DonThePromoter 1/status/779411417153798144 … … If you need your product or music/video promoted all over the world email us today! Follow & Like";;@PamBLMDaniels;;"804654327814045696";https://twitter.com/DonThePromoter1/status/804654327814045696;
FlipitTimothy;2016-11-30 02:41;1;0;"@PamBLMDaniels @DryerBuzz go with the flow.";;@PamBLMDaniels @DryerBuzz;;"803790911855620096";https://twitter.com/FlipitTimothy/status/803790911855620096;DryerBuzz
MsSpice9;2016-11-27 19:40;0;1;"@PamBLMDaniels #GrabyourWallet . #Boycott";;@PamBLMDaniels;#GrabyourWallet #Boycott;"802960343026667520";https://twitter.com/MsSpice9/status/802960343026667520;amazon
BusynessOfME;2016-11-18 14:56;0;0;"Love your bio @PamBLMDaniels I've just added you to my Favs List friend. Thanks for the Likes and Retweets also, you're an #AwesomeEngager";;@PamBLMDaniels;#AwesomeEngager;"799627338757586946";https://twitter.com/BusynessOfME/status/799627338757586946;
ashatarry;2016-11-18 12:08;0;0;"@PamBLMDaniels ty 4 the RT #LifeCareerAndRelationshipCoach #Psychotherapist";;@PamBLMDaniels;#LifeCareerAndRelationshipCoach #Psychotherapist;"799585015910776832";https://twitter.com/ashatarry/status/799585015910776832;ashatarry
realjdobypr;2016-11-13 14:08;0;0;"#thanks @mommacuisine @PamBLMDaniels @PhenomGospel , Thanks for the retweets this week. Much appreciated :) >> http:// bit.ly/_want_this_free";;@mommacuisine @PamBLMDaniels @PhenomGospel;#thanks;"797803361630298112";https://twitter.com/realjdobypr/status/797803361630298112;
REDBRICKSINC;2016-11-11 17:35;0;0;"@PamBLMDaniels follow the real back @REDBRICKSINC";;@PamBLMDaniels @REDBRICKSINC;;"797130528101122048";https://twitter.com/REDBRICKSINC/status/797130528101122048;
