username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
cjcmichel;2017-11-01 19:11;52;76;"Some of the more notable Russia-linked Twitter handles revealed today: - 30ToMarsFandom - 666steverogers - 1488reasons - coldwar20_ru - creeepysmooth - PoliteRussia - RussiaIsBeauty - WokeFromDay1 - NovostiPutin - OnlineCleveland - Patriot_Archive https:// democrats-intelligence.house.gov/uploadedfiles/ exhibit_b.pdf …";;;;"925802496475443200";https://twitter.com/cjcmichel/status/925802496475443200;
Lano4kaSvet25;2017-10-03 02:36;0;0;"Они у нас консульства отжимают,а мы.....";;;;"915042787111915521";https://twitter.com/Lano4kaSvet25/status/915042787111915521;PoliteRussia
irinaprozorowa1;2017-10-02 18:18;0;0;"Ну и сравнили...Крым уходил к себе, на РОдину. А эти хотят быть совсем отдельно. Да кто такое разрешит?";;;;"914917587024252928";https://twitter.com/irinaprozorowa1/status/914917587024252928;PoliteRussia
luan21vek2;2017-09-30 20:32;0;0;"Правильно! Шлите их на х...!";;;;"914226437099487234";https://twitter.com/luan21vek2/status/914226437099487234;PoliteRussia
VaVo_rus;2017-09-28 15:14;0;0;""Хочешь мира, готовься к войне"....";;;;"913421564942733313";https://twitter.com/VaVo_rus/status/913421564942733313;PoliteRussia
shybenyk;2017-09-28 09:52;0;0;"тоже любишь мальчиков?)";;;;"913340581035872256";https://twitter.com/shybenyk/status/913340581035872256;PoliteRussia
Viktori82067539;2017-09-27 17:39;0;0;"НЕТ, НЕ ТАКИМИ - МИНИМУМ - 4-Х ПОЛОСНЫМИ!!!!!!";;;;"913095806986719232";https://twitter.com/Viktori82067539/status/913095806986719232;PoliteRussia
TowMauzer;2017-09-27 10:52;0;0;"" Трасса - ТУ-95"!!!))";;;;"912993282808057856";https://twitter.com/TowMauzer/status/912993282808057856;PoliteRussia
PabloMexikansky;2017-09-27 10:46;0;0;"Крылатые ракеты на внешних пилонах ещё не показывали: только внутренним барабаном пользовались. Интересно.";;;;"912991854609694720";https://twitter.com/PabloMexikansky/status/912991854609694720;PoliteRussia
Vovpta;2017-09-27 10:28;0;0;"Так долго летел, что смог привезти только две ракеты.";;;;"912987368436707328";https://twitter.com/Vovpta/status/912987368436707328;PoliteRussia
EugenePotemkin;2017-09-23 07:49;0;0;"Россияне? А кто это??";;;;"911497766492401665";https://twitter.com/EugenePotemkin/status/911497766492401665;PoliteRussia
e_plahov;2017-09-08 19:25;0;1;"Retweeted Вежливая Россия ( @PoliteRussia ): Американская спортсменка назвала потрясающей атмосферу на ЧМ по... http:// fb.me/6NQx7vNH0";;@PoliteRussia;;"906236957726007296";https://twitter.com/e_plahov/status/906236957726007296;
BellaMisis;2017-09-07 11:05;0;0;"А помнишь дядя ведь не даром Москва спаленная пожаром французу отдана)))навеяло";;;;"905748873691492352";https://twitter.com/BellaMisis/status/905748873691492352;PoliteRussia
uruckkk;2017-09-06 18:19;0;0;"Ничо, Кикабидзе у их на похоронах чо-нить сбацает, а на поминках спляшет.";;;;"905495798141652993";https://twitter.com/uruckkk/status/905495798141652993;PoliteRussia
slav_sh;2017-09-02 18:19;0;0;"Международного права больше НЕТ!";;;;"904046123207327745";https://twitter.com/slav_sh/status/904046123207327745;PoliteRussia
l6fhdhblD3QnKM5;2017-09-01 17:15;0;1;"Кнечн.не.выберут!Потому.как.нет.ПОКА(!)достойной.кандидатки!Имеющиеся дамы-политики,пока."сыроваты"!";;;;"903667677171994625";https://twitter.com/l6fhdhblD3QnKM5/status/903667677171994625;PoliteRussia,PetrSkurlaev
naturakorsak;2017-08-26 23:34;0;0;"да что ж везде эта новость? Мне будет все равно даже если этот ураган смоет всех, включаю саму береговую охрану.";;;;"901588799146385408";https://twitter.com/naturakorsak/status/901588799146385408;PoliteRussia
dimarik2706;2017-08-26 15:59;0;0;"Вы бы из этого Суперджета детали из США заменили отечественными - вот потом бы гордились!";;;;"901474180838957057";https://twitter.com/dimarik2706/status/901474180838957057;PoliteRussia
roman280978;2017-08-25 18:45;0;0;"Пускай сначала нам заплатит семьям за тех 600 тысяч погибших наших солдат которые освободили их от фашизма неблагодарные Поляки!!!";;;;"901153668430483457";https://twitter.com/roman280978/status/901153668430483457;PoliteRussia
torf25;2017-08-25 17:39;0;0;"pic.twitter.com/v2JhQfBVOt";;;;"901136948185755648";https://twitter.com/torf25/status/901136948185755648;PoliteRussia
RusPavelS;2017-08-22 09:26;0;0;"Выгоды от ВТО - санкции? И да предатели из ВШЭ пусть Трампа получат "пошлины не помогают внутренним производителям",а то их спонсоры не знаю";;;;"899925824337575937";https://twitter.com/RusPavelS/status/899925824337575937;PoliteRussia
Vonahal;2017-08-22 08:58;0;0;"Т.Е. Песец подкрадывается незаметно?";;;;"899918665373667329";https://twitter.com/Vonahal/status/899918665373667329;PoliteRussia
boris1550;2017-08-22 03:56;0;0;"Не ужели?";;;;"899842727092920320";https://twitter.com/boris1550/status/899842727092920320;PoliteRussia
GreenthumbCh;2017-08-19 07:40;0;0;"Это свои собственные?Ну-ну.";;;;"898811901290962944";https://twitter.com/GreenthumbCh/status/898811901290962944;PoliteRussia
Vwmoskal;2017-08-16 11:37;0;0;"Не будите спящего медведя";;;;"897784370290974720";https://twitter.com/Vwmoskal/status/897784370290974720;PoliteRussia
KrylovSer63499;2017-08-16 09:00;0;0;"Как будто не глупые, а так и желают стать мишенью..";;;;"897744821397454848";https://twitter.com/KrylovSer63499/status/897744821397454848;PoliteRussia
_jomojo;2017-08-16 05:34;0;0;"столетних";;;;"897692909411205120";https://twitter.com/_jomojo/status/897692909411205120;PoliteRussia,MOCKBA999
xxxxxxxcfffffff;2017-08-15 03:58;0;1;"Россияне исстрадались по желанию съездить в Молдову.";;;;"897306569960034304";https://twitter.com/xxxxxxxcfffffff/status/897306569960034304;PoliteRussia
Vovpta;2017-08-14 03:06;0;0;"Вся Россия ожидала, что он достанет из под нейтральной майки флаг своей страны и споёт гимн России.";;;;"896930951409803264";https://twitter.com/Vovpta/status/896930951409803264;PoliteRussia
Svinin2011;2017-08-13 20:26;0;0;"Президент ВФЛА Шляхтин, прогнувшийся и склонившийся перед ВАДА (хранители мочи и кала спортсменов всего мира - положительно поприветствовал";;;;"896830254349791236";https://twitter.com/Svinin2011/status/896830254349791236;PoliteRussia
lemis2008;2017-08-09 20:06;0;0;"Кого еще надо предать, что бы заслужить доверие амеров...?!";;;;"895375687875428352";https://twitter.com/lemis2008/status/895375687875428352;PoliteRussia
VAricx;2017-08-08 10:35;0;0;"За рулём катера был. Решение правильное, что ж тут смешного";;;;"894869677029158912";https://twitter.com/VAricx/status/894869677029158912;k__lirik,PoliteRussia
e_plahov;2017-08-08 05:25;0;0;"Retweeted Вежливая Россия ( @PoliteRussia ): Железнодорожный арочный пролет Крымского моста снят со стапеля.... http:// fb.me/87e2Rvg3e";;@PoliteRussia;;"894791739004915712";https://twitter.com/e_plahov/status/894791739004915712;
k__lirik;2017-08-08 03:46;0;0;"Гордимси!";;;;"894766781016952834";https://twitter.com/k__lirik/status/894766781016952834;PoliteRussia,VAricx
rasharasiche;2017-08-07 07:16;0;1;"Это порядочная Нравственность здравого Русского Человека, к которой надо стремиться всем нам.";;;;"894457170804301824";https://twitter.com/rasharasiche/status/894457170804301824;PoliteRussia
tv_protest;2017-08-07 07:12;0;0;"Это что, его как то характеризует?";;;;"894456307213901824";https://twitter.com/tv_protest/status/894456307213901824;PoliteRussia
tekton78;2017-08-07 07:03;0;1;"Правильно,пьяная рыбалка-это не рыбалка.За столом коньяк пить нужно,а на рыбалке-рыбачить!";;;;"894454027056021505";https://twitter.com/tekton78/status/894454027056021505;PoliteRussia,MOCKBA999
