username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
tomplatek;2017-10-28 19:36;1;2;"@ARizzo44 @TBrownYahoo Well Deserved!! @CubbiesCorner @PJKirk7 @PriceForPierce @kentpg @Blanken01 @jcoralpark #FlyTheW RIZZO WINS https:// twitter.com/TBrownYahoo/st atus/924039881915060224 …";;@ARizzo44 @TBrownYahoo @CubbiesCorner @PJKirk7 @PriceForPierce @kentpg @Blanken01 @jcoralpark;#FlyTheW;"924359121217912833";https://twitter.com/tomplatek/status/924359121217912833;
tomplatek;2017-10-23 19:08;1;0;"@BlackPeppa2 @dhaybron1 Had To Pass This On #ChicagoCesspool #Politics At Work @PJKirk7 @PriceForPierce @kentpg @blanken01 @JHowardx24 https:// twitter.com/BlackPeppa2/st atus/922052092960878592 …";;@BlackPeppa2 @dhaybron1 @PJKirk7 @PriceForPierce @kentpg @blanken01 @JHowardx24;#ChicagoCesspool #Politics;"922540196779962369";https://twitter.com/tomplatek/status/922540196779962369;
tomplatek;2017-10-16 16:04;0;0;"@mcgilh Oh My, Tripped 'Again' #CrookedHilly Should Take her Millions And Just GO AWAY! @PeacefulConserv @DeblorableYes @PriceForPierce https:// twitter.com/mcgilh/status/ 919938390631608320 …";;@mcgilh @PeacefulConserv @DeblorableYes @PriceForPierce;#CrookedHilly;"919957139350794242";https://twitter.com/tomplatek/status/919957139350794242;
tomplatek;2017-09-01 22:42;2;1;"@thebradfordfile If He Went back To His Roots, He Could Be King Of Kenya #Truth @PJKirk7 @PriceForPierce @kentpg @CubbiesCorner @BLANKEN01 https:// twitter.com/thebradfordfil e/status/903629432296001536 …";;@thebradfordfile @PJKirk7 @PriceForPierce @kentpg @CubbiesCorner @BLANKEN01;#Truth;"903749983106686976";https://twitter.com/tomplatek/status/903749983106686976;
tomplatek;2017-08-31 04:50;1;1;"@KentMurphy @CoachJohn20 For Sure @MStrooo6 And @Cubs BIAZ They Play For The Love Of The Game!! @PriceForPierce @PJKirk7 @kentpg https:// twitter.com/KentMurphy/sta tus/903088085864501248 …";;@KentMurphy @CoachJohn20 @MStrooo6 @Cubs @PriceForPierce @PJKirk7 @kentpg;;"903117838654853120";https://twitter.com/tomplatek/status/903117838654853120;
tomplatek;2017-07-06 15:17;1;1;"CUB FANS #VoteKB Voting ends 4pm ET Get a position player on from the defend WORLD CHAMPS @CubbiesCorner @PJKirk7 @PriceForPierce @kentpg pic.twitter.com/Hk4ak36KsJ";;@CubbiesCorner @PJKirk7 @PriceForPierce @kentpg;#VoteKB;"882981819007873024";https://twitter.com/tomplatek/status/882981819007873024;
readwriteblue;2017-05-04 20:58;0;0;"Top retweeters this week, @PriceForPierce @Hollydler @BlackandBlondeM : Thank you :) (Want this ? >> http:// bit.ly/tweet_thanks_ )";;@PriceForPierce @Hollydler @BlackandBlondeM;;"860237256526790656";https://twitter.com/readwriteblue/status/860237256526790656;
tomplatek;2017-04-12 15:36;1;1;"My brothers in Blue! @JosephLocus @Chicago_Police @catholic_police @DryHeat115 @HonoredValor @NYPD_HoleyName @CubbiesCorner @PriceForPierce https:// twitter.com/JosephLocus/st atus/851998106904403968 …";;@JosephLocus @Chicago_Police @catholic_police @DryHeat115 @HonoredValor @NYPD_HoleyName @CubbiesCorner @PriceForPierce;;"852183621523951616";https://twitter.com/tomplatek/status/852183621523951616;
RyanDDowns;2017-04-12 05:14;0;0;"@PriceForPierce : Thank you for the likes & RT's, Kenneth; God bless you! #ryanddowns";;@PriceForPierce;#ryanddowns;"852027205316001792";https://twitter.com/RyanDDowns/status/852027205316001792;
RyanDDowns;2017-04-12 05:12;0;0;"Follow @PriceForPierce";;@PriceForPierce;;"852026728255938560";https://twitter.com/RyanDDowns/status/852026728255938560;
Conservatexian;2017-04-07 12:47;0;1;"#ff @justinpgdr , @PriceForPierce , @Edmalawey , @julie_cappiello , @Cjg111958 , @kathyolsen100 #followfriday by http:// twitnerd.com";;@justinpgdr @PriceForPierce @Edmalawey @julie_cappiello @Cjg111958 @kathyolsen100;#ff #followfriday;"850329083108098048";https://twitter.com/Conservatexian/status/850329083108098048;
tomplatek;2017-04-02 22:03;1;1;"Retweet in case some 4got "The Defending WORLD SERIES CHAMPION CUBS" R on 2 nite! @PJKIRK7 @PriceForPierce @KentPG @CubbiesCorner @Cubs pic.twitter.com/szU1h8JAev";;@PJKIRK7 @PriceForPierce @KentPG @CubbiesCorner @Cubs;;"848657142601142273";https://twitter.com/tomplatek/status/848657142601142273;
cindycapo;2017-03-30 17:57;0;0;"Thanks for the retweets this week @iamAM0n3 @ArchieOlivers @PriceForPierce much appreciated! Want this ? https:// commun.it/thank-you/?aid =thankyou124 …";;@iamAM0n3 @ArchieOlivers @PriceForPierce;;"847508112907145216";https://twitter.com/cindycapo/status/847508112907145216;
tomplatek;2017-03-21 21:51;1;0;"#EakeNews Thanks @GreekSTL @LibsNoFun @RightwingHumor @DryHeat115 @PriceForPierce @PJKURK7 @RandomGrumpyness @JHaystrand @VetsForTrump @NRA https:// twitter.com/GreekSTL/statu s/844272152241041408 …";;@GreekSTL @LibsNoFun @RightwingHumor @DryHeat115 @PriceForPierce @PJKURK7 @RandomGrumpyness @JHaystrand @VetsForTrump @NRA;#EakeNews;"844305368289292289";https://twitter.com/tomplatek/status/844305368289292289;
readwriteblue;2017-03-19 20:53;1;0;"Top retweeters this week, @PatriarchTree @AKMessiah @PriceForPierce : Thank you :) >> Want this ? https:// commun.it/thank-you/?aid =thankyou153 …";;@PatriarchTree @AKMessiah @PriceForPierce;;"843566129452867585";https://twitter.com/readwriteblue/status/843566129452867585;
