username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
prakash24429779;2017-07-21 11:12;0;0;"Hi frd";;;;"888356013039951872";https://twitter.com/prakash24429779/status/888356013039951872;RH0lbr00k,AmericanAlbert
tbeaux29;2017-04-09 15:44;0;1;"Exactly!";;;;"851098523085021185";https://twitter.com/tbeaux29/status/851098523085021185;jefferymyers,DineshDSouza,RH0lbr00k
jefferymyers;2017-01-12 18:26;1;1;"Thank you. @realBethNeale @DineshDSouza @RH0lbr00k";;@realBethNeale @DineshDSouza @RH0lbr00k;;"819611637820903426";https://twitter.com/jefferymyers/status/819611637820903426;lynn_weiser
lynn_weiser;2017-01-12 17:48;0;2;"@realBethNeale @DineshDSouza @RH0lbr00k Well said!!";;@realBethNeale @DineshDSouza @RH0lbr00k;;"819601870784065537";https://twitter.com/lynn_weiser/status/819601870784065537;jefferymyers
erikandk;2017-01-11 01:48;0;1;"They're all so passive aggressive. Smooth talkers. Stab you in the back USA.";;;;"818997987347197953";https://twitter.com/erikandk/status/818997987347197953;jefferymyers,DineshDSouza,RH0lbr00k
jefferymyers;2017-01-11 00:50;17;24;"@RH0lbr00k Holder and Lynch, respectively, weren't appointed to enforce the law but rather to protect Obama from the law.";;@RH0lbr00k;;"818983380347998208";https://twitter.com/jefferymyers/status/818983380347998208;DineshDSouza
TaltonTrey;2017-01-10 10:26;0;0;"@RH0lbr00k The zombie apocalypse is real!";;@RH0lbr00k;;"818766000778838017";https://twitter.com/TaltonTrey/status/818766000778838017;cjtweetstation
doinad;2017-01-10 00:58;0;0;"Thanks for the mention! HMHopperDriver: Share the love: doinad RH0lbr00k , Thank you for the retweets this week :) … http:// bit.ly/tweet_thanks_ )";;;;"818622942733012992";https://twitter.com/doinad/status/818622942733012992;
SaxxSkwerl;2017-01-09 22:18;0;0;"@RH0lbr00k Follow back?";;@RH0lbr00k;;"818582633105989632";https://twitter.com/SaxxSkwerl/status/818582633105989632;
CrazyClancey1;2017-01-08 06:31;0;0;"I absolutely love this!";;;;"817982003442225153";https://twitter.com/CrazyClancey1/status/817982003442225153;Isla_78,RH0lbr00k
bigmacalaska;2017-01-07 18:02;0;0;"@RH0lbr00k @FoxNews Didn't anyone tell the US Army Obama is leaving and we don't want our soldiers dressed like Iranians, too far";;@RH0lbr00k @FoxNews;;"817793494320181248";https://twitter.com/bigmacalaska/status/817793494320181248;burrbunch
RosaleeAdams;2017-01-03 20:52;0;1;"one more OOPS moment which MSM seems to be stepping in quite frequently @washingtonpost";;@washingtonpost;;"816386765346902018";https://twitter.com/RosaleeAdams/status/816386765346902018;CaptTedNorin,RH0lbr00k,weaselzippers
Johnny_Petrini;2016-12-31 16:05;0;0;"Thanks @Madddman26 @RH0lbr00k for being top engaged community members this week :) >> Want this ? https:// commun.it/thank-you/?aid =thankyou111 …";;@Madddman26 @RH0lbr00k;;"815227426565451776";https://twitter.com/Johnny_Petrini/status/815227426565451776;
Counselor70;2016-12-30 17:17;0;0;"@RH0lbr00k Hi Rachael thanks for the likes";;@RH0lbr00k;;"814883188854099969";https://twitter.com/Counselor70/status/814883188854099969;
DogsonDeploymnt;2016-12-29 23:31;0;0;"turn your RT into a donation for @DogsonDeploymnt by clicking here: https:// gdw.io/7cf300";;@DogsonDeploymnt;;"814614809240956928";https://twitter.com/DogsonDeploymnt/status/814614809240956928;DogsonDeploymnt,RH0lbr00k
carbidethung;2016-12-29 17:43;0;0;"This pathetic lady is only pushing forward a failed agenda of lies rejected by Trump's resounding,landslide victory.";;;;"814527212888014848";https://twitter.com/carbidethung/status/814527212888014848;PatriotCELL,RH0lbr00k
NewEraDawning;2016-12-26 19:19;0;0;"@RH0lbr00k @RedState Jeh Johnson needs to be investigated for crimes against America";;@RH0lbr00k @RedState;;"813464226345861124";https://twitter.com/NewEraDawning/status/813464226345861124;cqlivingston
NewEraDawning;2016-12-26 19:18;0;0;"@RH0lbr00k These two teams could beat and in fact one did beat those in the RIGGED Playoff!";;@RH0lbr00k;;"813463991775207424";https://twitter.com/NewEraDawning/status/813463991775207424;sbsun
NewEraDawning;2016-12-26 19:15;0;0;"@RH0lbr00k Lock Her Up";;@RH0lbr00k;;"813463260519276544";https://twitter.com/NewEraDawning/status/813463260519276544;DailyCaller
