username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
TheRiddleAges;2017-10-09 08:38;1;4;"Brett Roscoe 's commentary fills in some of Riddle 67's glaring gaps https:// goo.gl/sAhp4Y #medieval #riddles";;;#medieval #riddles;"917308187291906049";https://twitter.com/TheRiddleAges/status/917308187291906049;
TheRiddleAges;2017-10-02 15:06;0;1;"Brett Roscoe takes on the translation of a very damaged Riddle 67: https:// goo.gl/up7PP4 #medieval #riddles #GlobalOE";;;#medieval #riddles #GlobalOE;"914869076983472128";https://twitter.com/TheRiddleAges/status/914869076983472128;
michael_velardi;2017-07-14 17:11;0;0;"@RosciaSF @Roscoe _ Riddle @RoscoeD4 @RoscoeGeorge5 @RoscoePeco https:// twitter.com/ritchie_ed/sta tus/885317349481496576 …";;@RosciaSF @Roscoe @RoscoeD4 @RoscoeGeorge5 @RoscoePeco;;"885909624196538368";https://twitter.com/michael_velardi/status/885909624196538368;
StokelyHathaway;2017-05-12 21:51;1;9;"Matthew Kenneth Riddle and Frederick Roscoe Yehi. https:// twitter.com/peteprickly/st atus/863147390727057409 …";;;;"863149699422879744";https://twitter.com/StokelyHathaway/status/863149699422879744;StokelyHathaway
TheRiddleAges;2017-04-04 09:59;0;3;"Go reed Brett Roscoe 's commentary on Riddle 60: https:// goo.gl/RJz9Kz (get it? get it? yes I know how to spell 'read') #riddles #medieval";;;#riddles #medieval;"849199843394412544";https://twitter.com/TheRiddleAges/status/849199843394412544;
TheRiddleAges;2017-03-17 11:06;5;5;"OE Riddle 60 boldly declares its message! (with a little help from translator Brett Roscoe ): https:// goo.gl/kjw1KW #medieval #riddles";;;#medieval #riddles;"842693651704832000";https://twitter.com/TheRiddleAges/status/842693651704832000;
TheRiddleAges;2017-02-27 10:11;3;4;"What's in a cup? A whole lot of religious meaning! See Brett Roscoe on Old English Riddle 59 https:// goo.gl/Ih2QTf #riddles #medieval";;;#riddles #medieval;"836156771127476224";https://twitter.com/TheRiddleAges/status/836156771127476224;
__ROSCOE_;2017-02-23 19:38;0;0;"I liked a @YouTube video http:// youtu.be/vrt3PYe7_f0?a Can You Solve The Driver's Riddle ?";;@YouTube;;"834849952593481728";https://twitter.com/__ROSCOE_/status/834849952593481728;
TheRiddleAges;2017-02-19 10:47;1;3;"Speaking rings and religious signs: Brett Roscoe translates Old English Riddle 59 https:// goo.gl/OmHxYM #riddles #medieval #GlobalOE";;;#riddles #medieval #GlobalOE;"833266640737427457";https://twitter.com/TheRiddleAges/status/833266640737427457;
tanner_roscoe;2016-12-09 22:58;0;0;"Funny! Riddle me this, how can a small govt person be a nazi?";;;;"807358764529557504";https://twitter.com/tanner_roscoe/status/807358764529557504;conrad1058,CNN,brianstelter
yolsfandom;2016-11-22 14:55;0;0;"ok riddle me this. Say I take your point. Why aren't u equally as outraged by trump appointing ppl leading movements that-";;;;"801076580424548356";https://twitter.com/yolsfandom/status/801076580424548356;tanner_roscoe
CUSTOMGLOW420;2016-03-10 07:37;0;2;"Umm so how am I supposed to sleep with a goddamn roscoe dash song stuck in my head? Huh? Riddle me that";;;;"707832765861900288";https://twitter.com/CUSTOMGLOW420/status/707832765861900288;
sdv92;2016-03-01 00:05;0;0;"@kenk22 @Roscoe _ Riddle @newspolice1 Lol. Yep you are right.";;@kenk22 @Roscoe @newspolice1;;"704457436279640064";https://twitter.com/sdv92/status/704457436279640064;kenk22
OneMilintheBank;2016-02-10 15:08;0;0;"@Roscoe _ Riddle One Million in the Bank 4 awards-Gold Medal Entrepreneurship & Finance & 1st Best Informational & 3rd BestSelf Help BookPZRT";;@Roscoe;;"697436962458718208";https://twitter.com/OneMilintheBank/status/697436962458718208;
DrWhoWhereRU;2016-02-09 12:16;0;0;"The @DrWhoWhereRU Daily is out! http:// paper.li/DrWhoWhereRU?e dition_id=f2dd3b80-cf26-11e5-9e3d-002590a5ba2d … Stories via @Roscoe _ Riddle @johntabin @kittenry";;@DrWhoWhereRU @Roscoe @johntabin @kittenry;;"697031325715468288";https://twitter.com/DrWhoWhereRU/status/697031325715468288;
