username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
CoolS509;2017-09-28 01:47;0;0;"Yes I do think he's going to participate and he has already. It's about time";;;;"913218574931550213";https://twitter.com/CoolS509/status/913218574931550213;chatty216,loumev71
chatty216;2017-09-28 00:27;0;0;"This is so funny you really thought he was going 2participate? The King kneels 4 knowone He's protecting his brand. Liberals are crying";;;;"913198494944579584";https://twitter.com/chatty216/status/913198494944579584;CoolS509,loumev71
iamdianalemon;2017-09-26 23:54;0;0;"This! @scottgohard had to #repost https://www. instagram.com/p/BZhfz22H1ND6 peUPNt9bxhGVWqqysLXjStWqlE0/ …";;@scottgohard;#repost;"912827670110621698";https://twitter.com/iamdianalemon/status/912827670110621698;
804_tim;2017-08-08 23:16;0;0;"We know the answer. No!";;;;"895061158335533056";https://twitter.com/804_tim/status/895061158335533056;Q423,SCOTTGOHARD
mjvenesco;2017-08-08 23:14;0;0;"I thought Jesus played soccer?";;;;"895060620399312896";https://twitter.com/mjvenesco/status/895060620399312896;Q423,SCOTTGOHARD
Q423;2017-08-08 23:13;0;0;"If the knicks signed Jesus would anybody be happy ?";;;;"895060385740599296";https://twitter.com/Q423/status/895060385740599296;804_tim,SCOTTGOHARD
804_tim;2017-08-08 23:11;0;0;"Phil didn't try at what?";;;;"895059835959619584";https://twitter.com/804_tim/status/895059835959619584;SCOTTGOHARD,mjvenesco
804_tim;2017-08-08 23:10;0;0;"Talent doesn't always win for several reasons in every sport. It takes skill to motivate men to win & few coaches do. So Phil's no slouch.";;;;"895059717038514176";https://twitter.com/804_tim/status/895059717038514176;SCOTTGOHARD,mjvenesco
mjvenesco;2017-08-08 22:55;0;0;"";;;;"895056000734158850";https://twitter.com/mjvenesco/status/895056000734158850;SCOTTGOHARD,forevershinin
mjvenesco;2017-08-08 22:50;0;2;"Oh yes especially now that we are free of the";;;;"895054600990011392";https://twitter.com/mjvenesco/status/895054600990011392;804_tim,SCOTTGOHARD
forevershinin;2017-08-08 22:40;0;0;"Lmaoooooo stop this u mean with a dedicated melo on the team yes without him um OK";;;;"895052008490758146";https://twitter.com/forevershinin/status/895052008490758146;SCOTTGOHARD
804_tim;2017-08-08 22:38;0;0;"Hmmm. Show and prove the whole game .";;;;"895051666000662533";https://twitter.com/804_tim/status/895051666000662533;mjvenesco,SCOTTGOHARD
mjvenesco;2017-08-08 22:35;0;0;"I'll wait to see that";;;;"895050943930281984";https://twitter.com/mjvenesco/status/895050943930281984;SCOTTGOHARD,forevershinin
mjvenesco;2017-08-08 22:35;0;1;"Show me the D!";;;;"895050855065563136";https://twitter.com/mjvenesco/status/895050855065563136;804_tim,SCOTTGOHARD
804_tim;2017-08-08 22:30;0;0;"He's active when he's focused.";;;;"895049673223831553";https://twitter.com/804_tim/status/895049673223831553;mjvenesco,SCOTTGOHARD
mjvenesco;2017-08-08 22:29;0;1;"Hehe. Welp they must have seen something they liked in him. I want to start sitting in on these scouting practices.";;;;"895049262819532800";https://twitter.com/mjvenesco/status/895049262819532800;804_tim,SCOTTGOHARD
804_tim;2017-08-08 22:27;0;1;"I hear you. I would have gone Terence Jones>Mike Beazley. But I'm armchair GM. #Knicks";;;#Knicks;"895048737696952320";https://twitter.com/804_tim/status/895048737696952320;mjvenesco,SCOTTGOHARD
mjvenesco;2017-08-08 22:25;0;0;"Welp I'm always willing to a new guy a shot.";;;;"895048299660619777";https://twitter.com/mjvenesco/status/895048299660619777;804_tim,SCOTTGOHARD
804_tim;2017-08-08 22:23;0;0;"He once was hailed as a top NBA prospect for being the last college freshman since C. Anthony that averaged 20/10 per game. SMH NBA Beazley.";;;;"895047890925756421";https://twitter.com/804_tim/status/895047890925756421;SCOTTGOHARD,forevershinin
mjvenesco;2017-08-08 21:57;0;0;"He better";;;;"895041425435504643";https://twitter.com/mjvenesco/status/895041425435504643;SCOTTGOHARD,forevershinin
kaymariephd;2017-08-08 03:15;0;1;"Yeah, he kind of comes off that way.";;;;"894758993695985664";https://twitter.com/kaymariephd/status/894758993695985664;SCOTTGOHARD,blogdiva
kaymariephd;2017-08-08 02:42;0;0;"Yeah. I'm not a fan of Marcellus so I don't watch that show much, but I like Michelle.";;;;"894750588621037569";https://twitter.com/kaymariephd/status/894750588621037569;blogdiva,SCOTTGOHARD
blogdiva;2017-08-08 02:40;0;1;"i like her! i've watched the show a few times & she's fire. totally unapologetic about using her white privilege to call our racists";;;;"894750210571739138";https://twitter.com/blogdiva/status/894750210571739138;kaymariephd,SCOTTGOHARD
kaymariephd;2017-08-08 02:36;0;0;"No prob!";;;;"894749153917419520";https://twitter.com/kaymariephd/status/894749153917419520;blogdiva,SCOTTGOHARD
blogdiva;2017-08-08 02:36;0;1;"thank you! am a moron when it comes to remembering names, LOL";;;;"894749104550457344";https://twitter.com/blogdiva/status/894749104550457344;kaymariephd,SCOTTGOHARD
kaymariephd;2017-08-08 02:36;0;1;"This is her she show "Sports Nation" on ESPN.";;;;"894749067149950976";https://twitter.com/kaymariephd/status/894749067149950976;kaymariephd,SCOTTGOHARD,blogdiva
kaymariephd;2017-08-08 02:35;0;1;"Michelle Beadle. Yes, she's usually pretty good.";;;;"894748911876820994";https://twitter.com/kaymariephd/status/894748911876820994;SCOTTGOHARD,blogdiva
blogdiva;2017-08-08 02:32;0;1;"what's her name? she's in ESPN, right? her commentary is usually right on point. she's awesome & i am embarrassed i can't remember her name";;;;"894748027885203457";https://twitter.com/blogdiva/status/894748027885203457;SCOTTGOHARD,mulatta10
ShabakaExp;2017-08-08 01:37;0;1;"Agreed";;;;"894734391758307328";https://twitter.com/ShabakaExp/status/894734391758307328;blogdiva,loumev71
SarahSpain;2017-08-08 01:36;1;0;"exactly. more interested in the piece of cloth than the ideals its meant to represent.";;;;"894734004817076224";https://twitter.com/SarahSpain/status/894734004817076224;SCOTTGOHARD
SarahSpain;2017-08-08 01:01;0;0;"I'm not sure I understand what you're saying, sorry. FWIW, I think people are spinning his protest into anti-patriotism to avoid real issue.";;;;"894725197747568640";https://twitter.com/SarahSpain/status/894725197747568640;SCOTTGOHARD
IMSOAMBITIOUS90;2017-08-07 21:07;0;0;"Huh?";;;;"894666223526572032";https://twitter.com/IMSOAMBITIOUS90/status/894666223526572032;SCOTTGOHARD,clintonyates
diane63h;2017-08-06 09:40;0;1;"I agree!! This is the best one!!";;;;"894130980478439424";https://twitter.com/diane63h/status/894130980478439424;blogdiva,SCOTTGOHARD
diane63h;2017-08-06 09:38;0;1;"HAHAHAHAAA!!";;;;"894130563984105473";https://twitter.com/diane63h/status/894130563984105473;SCOTTGOHARD,mulatta10
jewellthe2nd;2017-08-06 09:28;0;0;"";;;;"894128102527434752";https://twitter.com/jewellthe2nd/status/894128102527434752;SCOTTGOHARD
jewellthe2nd;2017-08-06 08:55;0;1;"";;;;"894119844127420416";https://twitter.com/jewellthe2nd/status/894119844127420416;SCOTTGOHARD,mulatta10
SwaggyRa;2017-08-06 04:40;0;1;"What u type for this gif";;;;"894055655010705408";https://twitter.com/SwaggyRa/status/894055655010705408;SCOTTGOHARD,mulatta10
kikitaughtyuu;2017-08-05 19:42;0;0;"Yesssir!! pic.twitter.com/zV7Vl9ghnP";;;;"893920125887426560";https://twitter.com/kikitaughtyuu/status/893920125887426560;SCOTTGOHARD
kikitaughtyuu;2017-08-05 19:34;0;0;"Thank you lmao and congrats on kordell blocking you... Well earned";;;;"893918199338684416";https://twitter.com/kikitaughtyuu/status/893918199338684416;SCOTTGOHARD
