username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
faithheadband;2017-02-06 19:38;2;3;"#HappyMonday @Siccerthanyou @Mark_Feesh @ElRoiShalom thanks for being top engaged members - have a great week :)";;@Siccerthanyou @Mark_Feesh @ElRoiShalom;#HappyMonday;"828689438570082306";https://twitter.com/faithheadband/status/828689438570082306;
MYGIRL201579;2016-11-20 22:14;0;0;"@Siccerthanyou Hi Alexander, it's been a while since we last talked. I hope all is well! Have a great day :)";;@Siccerthanyou;;"800462305846693888";https://twitter.com/MYGIRL201579/status/800462305846693888;
Aframerica;2016-11-19 16:13;0;0;"You see the fruit already.";;;;"800009060804272129";https://twitter.com/Aframerica/status/800009060804272129;BougieLa,Siccerthanyou
realjdobypr;2016-11-11 17:57;1;2;"#thanks @NE3Music @Siccerthanyou @Cgutta2012 - Thanks for being top engaged community members this week :) >> http:// bit.ly/_want_this_free";;@NE3Music @Siccerthanyou @Cgutta2012;#thanks;"797136222309249024";https://twitter.com/realjdobypr/status/797136222309249024;
TanyaKasim;2016-11-10 10:54;0;0;"When you say "We", you mean Bernie supporters also, right?";;;;"796667418764525568";https://twitter.com/TanyaKasim/status/796667418764525568;katyperry,Siccerthanyou
faithheadband;2016-10-29 14:02;0;2;"#thanks @TwtGoon4life @Siccerthanyou @eva__azis , Thanks for the retweets this week. Much appreciated :)";;@TwtGoon4life @Siccerthanyou @eva__azis;#thanks;"792366029133316096";https://twitter.com/faithheadband/status/792366029133316096;
MYGIRL201579;2016-10-20 08:54;0;0;"#thanks @joel_patgarett7 @BulbulZilani @Siccerthanyou , Thanks for the retweets this week. Much appreciated :)";;@joel_patgarett7 @BulbulZilani @Siccerthanyou;#thanks;"789027029890981888";https://twitter.com/MYGIRL201579/status/789027029890981888;
Aframerica;2016-10-06 23:48;0;0;"While she's laid up doing . . . what?";;;;"784178617139929088";https://twitter.com/Aframerica/status/784178617139929088;DcSlumdog,Siccerthanyou
Morialgernon;2016-10-06 08:34;0;0;"@Siccerthanyou Thank you 4 RT!";;@Siccerthanyou;;"783948581950464000";https://twitter.com/Morialgernon/status/783948581950464000;
NicoleLuongoCP;2016-09-20 23:45;0;0;"Thanks for the recent follow @Siccerthanyou @MalloryJared Happy to connect :) have a great Tuesday. >> Want this ? https:// commun.it/get-more-follo wers/?aid=thankyou112 …";;@Siccerthanyou @MalloryJared;;"778379592658673664";https://twitter.com/NicoleLuongoCP/status/778379592658673664;
Aframerica;2016-09-12 15:33;0;0;"He is a Predator. A Pedophile. @zellieimani @Siccerthanyou";;@zellieimani @Siccerthanyou;;"775356575829544960";https://twitter.com/Aframerica/status/775356575829544960;zellieimani
IAmJLuvDaPrince;2016-09-09 03:41;0;0;"Thanks for following me, @Siccerthanyou @BaoBaeHam @MalloryJared @Capps340mp @758ENT . Let's connect soon! via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@Siccerthanyou @BaoBaeHam @MalloryJared @Capps340mp @758ENT;;"774090286662168577";https://twitter.com/IAmJLuvDaPrince/status/774090286662168577;
silkdaddybart;2016-09-08 11:00;0;0;"@Siccerthanyou black lives matter in yo bio so you goood wit me";;@Siccerthanyou;;"773838312351997954";https://twitter.com/silkdaddybart/status/773838312351997954;
TXSVIKING;2016-08-31 18:03;0;0;"@Siccerthanyou Scram Racist piece of crap!";;@Siccerthanyou;;"771045873522311168";https://twitter.com/TXSVIKING/status/771045873522311168;
kimdallas07;2016-08-28 15:57;0;1;"I watched & @morningmika was way our of line, rude as hell @Siccerthanyou @Morning_Joe @CNNMoney";;@morningmika @Siccerthanyou @Morning_Joe @CNNMoney;;"769926814550462464";https://twitter.com/kimdallas07/status/769926814550462464;
ChicagoStylePol;2016-08-24 21:06;0;0;"@Siccerthanyou Thanks! >>> http://www. ChicagoStylePolitics.com #ChicagoStylePolitics #Corruption #TREASON #BarackObama via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@Siccerthanyou;#ChicagoStylePolitics #Corruption #TREASON #BarackObama;"768555009390837760";https://twitter.com/ChicagoStylePol/status/768555009390837760;
RepCharlesSC;2016-08-20 18:56;0;0;"Thanks for the recent follow @Siccerthanyou @CliftonHughes_ Happy to connect :) have a great Saturday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@Siccerthanyou @CliftonHughes_;;"767072794181931008";https://twitter.com/RepCharlesSC/status/767072794181931008;
RepCharlesSC;2016-08-20 13:38;0;1;"A #welcomeTweet for my NEW #Follower (s) @Siccerthanyou @LeanneStewart @betterbythought - Give 'em a #Follow too! via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@Siccerthanyou @LeanneStewart @betterbythought;#welcomeTweet #Follower #Follow;"766992841826500609";https://twitter.com/RepCharlesSC/status/766992841826500609;
ericsean467;2016-08-16 12:04;0;0;"@Siccerthanyou Thanks for the follow...";;@Siccerthanyou;;"765519522799378432";https://twitter.com/ericsean467/status/765519522799378432;
r0ckeye;2016-08-15 18:37;0;0;"@Siccerthanyou Get the fuck off my page";;@Siccerthanyou;;"765256110035075072";https://twitter.com/r0ckeye/status/765256110035075072;
proudmamababa;2016-08-04 21:25;0;0;"@Siccerthanyou thank you for the follow brother";;@Siccerthanyou;;"761312094457397248";https://twitter.com/proudmamababa/status/761312094457397248;
lexiplexed;2016-08-04 15:36;0;0;"@Siccerthanyou I block bulk follows.";;@Siccerthanyou;;"761224233758240768";https://twitter.com/lexiplexed/status/761224233758240768;
esecurityguy;2016-08-04 14:52;0;0;"Thanks #TopNewFollowers @Siccerthanyou @MalloryJared @JadonHutchinson Happy to connect :)";;@Siccerthanyou @MalloryJared @JadonHutchinson;#TopNewFollowers;"761213109436547076";https://twitter.com/esecurityguy/status/761213109436547076;
d3wd;2016-07-22 08:28;0;0;"What up nigga? Thanks for the follow.";;;;"756405633054900224";https://twitter.com/d3wd/status/756405633054900224;Siccerthanyou
LarryAltmayer;2016-07-22 08:28;0;0;"@Siccerthanyou Thanks for the #follow !";;@Siccerthanyou;#follow;"756405622241759232";https://twitter.com/LarryAltmayer/status/756405622241759232;
SnowFreeThinker;2016-06-28 11:02;0;0;"@Siccerthanyou it concerns me that u have RT'd a pic of Boko Haram on your timeline. Did you follow me for any particular reason?";;@Siccerthanyou;;"747747051274932225";https://twitter.com/SnowFreeThinker/status/747747051274932225;
DarleneHBrook;2016-06-24 11:56;2;3;"for such a time as this @ZzzacharyZzz @CliftonHughes @Siccerthanyou #BlackLivesMatter #Psalm139 :13-18 my brothers pic.twitter.com/r0wCnwa8F5";;@ZzzacharyZzz @CliftonHughes @Siccerthanyou;#BlackLivesMatter #Psalm139;"746311155602366464";https://twitter.com/DarleneHBrook/status/746311155602366464;
expertsdotcomvp;2016-06-17 15:44;0;0;"@KPanelApp @CliftonHughes_ @BrentMcclure275 @BaoBaeHam @Siccerthanyou @MalloryJared @SamirGooden @ErRivvvvers @DamaniMiles thx 4 following";;@KPanelApp @CliftonHughes_ @BrentMcclure275 @BaoBaeHam @Siccerthanyou @MalloryJared @SamirGooden @ErRivvvvers @DamaniMiles;;"743831690389270528";https://twitter.com/expertsdotcomvp/status/743831690389270528;
DaBeautiful1984;2016-06-13 02:21;0;0;"#Blessings2U @Siccerthanyou @BaoBaeHam @MalloryJared me on @IAmOfficiallyJessicaJai & @QueenJessicaJai via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@Siccerthanyou @BaoBaeHam @MalloryJared @IAmOfficiallyJessicaJai @QueenJessicaJai;#Blessings2U;"742180059742494720";https://twitter.com/DaBeautiful1984/status/742180059742494720;
kerima_cevik;2016-06-10 15:46;0;0;"Thanks for the recent follow @Siccerthanyou @ZzzacharyZzz Happy to connect :) have a great Friday. >> Get FREE? http:// bit.ly/_tweet_thanks";;@Siccerthanyou @ZzzacharyZzz;;"741295519935258624";https://twitter.com/kerima_cevik/status/741295519935258624;
FlatEarthCity;2016-06-02 02:42;0;1;"@SPYvsY @8cho5inco @Siccerthanyou pic.twitter.com/wg8Qv6idz0";;@SPYvsY @8cho5inco @Siccerthanyou;;"738199152824180737";https://twitter.com/FlatEarthCity/status/738199152824180737;SPYvsY
SPYvsY;2016-06-02 01:29;0;0;"ya, except it doesnt'";;;;"738180590424326144";https://twitter.com/SPYvsY/status/738180590424326144;FlatEarthCity,8cho5inco,Siccerthanyou
FlatEarthCity;2016-06-02 00:29;1;2;"@SPYvsY @8cho5inco @Siccerthanyou pic.twitter.com/nb59fpffUW";;@SPYvsY @8cho5inco @Siccerthanyou;;"738165489113792513";https://twitter.com/FlatEarthCity/status/738165489113792513;SPYvsY
SPYvsY;2016-06-01 22:54;0;1;"it'll be never ending if you have another 350 million years to wait for the process";;;;"738141773084528643";https://twitter.com/SPYvsY/status/738141773084528643;8cho5inco,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 22:47;0;1;"Why isn't it all the same? Chemical composition of materials, and decomposition processes";;;;"738139872473415680";https://twitter.com/SPYvsY/status/738139872473415680;8cho5inco,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:52;0;0;"Plants, bones, bacteria... Whatever word you want to choose. Why isn't it all the same?";;;;"738126005072625664";https://twitter.com/8cho5inco/status/738126005072625664;SPYvsY,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:45;0;0;"oh so now it's made of plants and not dinosaurs? When will you get your story straight?";;;;"738124248082960384";https://twitter.com/SPYvsY/status/738124248082960384;8cho5inco,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:36;0;0;"firstly, oil and coal are much older than dinosaurs, occur much deeper in the geologic record";;;;"738122173294862336";https://twitter.com/SPYvsY/status/738122173294862336;8cho5inco,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:36;0;0;"there was no metaphor, you honestly don't know how fossil fuels are created, and you're covering";;;;"738121974551969792";https://twitter.com/SPYvsY/status/738121974551969792;8cho5inco,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:34;0;0;"you fail to understand the metaphor.";;;;"738121650944675842";https://twitter.com/8cho5inco/status/738121650944675842;SPYvsY,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:33;0;0;"everyone but you apparently. You think it was made from dead dinosaurs?";;;;"738121261658689536";https://twitter.com/SPYvsY/status/738121261658689536;8cho5inco,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:32;0;0;"Everyone knows how fossils fuels are made. Now answer the question.";;;;"738120988563361792";https://twitter.com/8cho5inco/status/738120988563361792;SPYvsY,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:30;0;0;"no it's not the question is the truth. Your flawed question exposed your ignorance on the subject";;;;"738120548467646464";https://twitter.com/SPYvsY/status/738120548467646464;8cho5inco,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:29;0;0;"That's not the question. Way to deflect.";;;;"738120218367516673";https://twitter.com/8cho5inco/status/738120218367516673;SPYvsY,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:28;0;0;"you don't know how "fossil fuel" formed do you?";;;;"738120017204547584";https://twitter.com/SPYvsY/status/738120017204547584;8cho5inco,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:24;0;0;"Must have been a hell of a stegosaurusus burning fossils fuels still ain't no shortages...";;;;"738119059703619584";https://twitter.com/8cho5inco/status/738119059703619584;SPYvsY,FlatEarthCity,Siccerthanyou
SPYvsY;2016-06-01 21:18;0;0;"lol not at all, BoB got rekt, science answered him, then mocked him";;;;"738117531781726208";https://twitter.com/SPYvsY/status/738117531781726208;8cho5inco,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:15;0;1;"You're either a fool or uneducated. pic.twitter.com/Updg6263Tv";;;;"738116758754598912";https://twitter.com/8cho5inco/status/738116758754598912;SPYvsY,FlatEarthCity,Siccerthanyou
8cho5inco;2016-06-01 21:14;1;2;"Actually @neiltyson got destroyed on Fk'n science by BoB. Still waiting for science to answer him";;@neiltyson;;"738116620862644224";https://twitter.com/8cho5inco/status/738116620862644224;SPYvsY,FlatEarthCity,Siccerthanyou
