username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
JennyCavanaugh;2017-11-03 23:57;1;1;"Now your talking. That is where WE made mistakes through the election. We as in not #MAGA #MSM got him elected. YES feeding his base lol";;;#MAGA #MSM;"926599315702808576";https://twitter.com/JennyCavanaugh/status/926599315702808576;lauren_ten,NetflixMulhouse
applewaithe;2017-11-03 23:56;3;5;"He has a low IQ and almost no EQ..most important 4 business. Empathy is what he screams then bites hands that feed him @KeithOlbermann";;@KeithOlbermann;;"926598954313072640";https://twitter.com/applewaithe/status/926598954313072640;lauren_ten,JennyCavanaugh
BuffaloBearGuy;2017-11-03 23:54;0;3;"I've never interacted with a Trump crazy. Only had to block one. Super easy to ignore. I just post and move on. Troll battle is so 2012.";;;;"926598521570066432";https://twitter.com/BuffaloBearGuy/status/926598521570066432;TheCentryst,NetflixMulhouse
lauren_ten;2017-11-03 23:52;2;7;"He's street-smart, good at being a shyster, but I think his IQ is questionable. Ever heard him speak at a rally or ad-libbing at a presser?";;;;"926598078328537088";https://twitter.com/lauren_ten/status/926598078328537088;JennyCavanaugh,NetflixMulhouse
JennyCavanaugh;2017-11-03 23:47;0;3;"That is where you r wrong. Trump is not stupid, he just plays 1 on TV. If he was he wouldn't b president. His followers r stupid 2 believe";;;;"926596677993160704";https://twitter.com/JennyCavanaugh/status/926596677993160704;NetflixMulhouse,TheCentryst
thepokerbob;2017-11-03 23:43;0;0;"RT MalcolmNance RT bitburner: IDK if people remember so here is a history lesson... TEN _ GOP was suspended 7/4 & ca… https:// twitter.com/MalcolmNance/s tatus/926595126717288448malcolmnance …";;;;"926595637398921222";https://twitter.com/thepokerbob/status/926595637398921222;
KGraceHill;2017-11-03 23:41;0;3;"";;;;"926595103883325440";https://twitter.com/KGraceHill/status/926595103883325440;lauren_ten,NetflixMulhouse
lauren_ten;2017-11-03 23:40;6;10;"#IvankaTrump like Dad and bros, not the brightest bulb in the room. pic.twitter.com/Hyg5bcXOma";;;#IvankaTrump;"926594960782012416";https://twitter.com/lauren_ten/status/926594960782012416;NetflixMulhouse,TheCentryst
applewaithe;2017-11-03 23:37;0;2;"MERKEL:Really she is as much of a bimbo as her father. I hope my eyes are hiding my contempt for this s ss";;;;"926594256919183360";https://twitter.com/applewaithe/status/926594256919183360;NetflixMulhouse,TheCentryst
mapocoloco;2017-11-03 23:32;0;0;"Changes to GOP tax bill reduce individual benefits by tens of billions of dollars http:// wapo.st/2zd4KMi";;;;"926592921008267264";https://twitter.com/mapocoloco/status/926592921008267264;
mariatihui;2017-11-03 23:29;0;0;"Changes to GOP tax bill reduce individual benefits by tens of billions of… - http:// goo.gl/news/6D969?shr =t … via http:// news.google.com";;;;"926592258006188032";https://twitter.com/mariatihui/status/926592258006188032;
TheCentryst;2017-11-03 23:28;0;3;"They’re special that’s for sure. However, they’re too old for treatment now.";;;;"926591873048858624";https://twitter.com/TheCentryst/status/926591873048858624;NetflixMulhouse,applewaithe
applewaithe;2017-11-03 23:27;0;3;"Love the fact that just like in most places, Japanese have some special ways to describe DJT complete w disgusted tone of voice.";;;;"926591672087068672";https://twitter.com/applewaithe/status/926591672087068672;TheCentryst,YerOpinion
TheCentryst;2017-11-03 23:27;0;2;"She’s just oh my, I can’t!";;;;"926591580206706688";https://twitter.com/TheCentryst/status/926591580206706688;applewaithe,YerOpinion
applewaithe;2017-11-03 23:25;0;3;"The stick..think it is now part of her..like djt just born that way.";;;;"926591112239751169";https://twitter.com/applewaithe/status/926591112239751169;TheCentryst,YerOpinion
applewaithe;2017-11-03 23:23;5;7;"https://www. theguardian.com/us-news/2017/n ov/03/empty-seats-greet-ivanka-trump-at-womens-empowerment-speech-in-tokyo … on a national holiday Japanese made no time 4 her. Hahahaa";;;;"926590700644270080";https://twitter.com/applewaithe/status/926590700644270080;applewaithe,YerOpinion
TheCentryst;2017-11-03 23:23;2;9;"She needs to pull that stick out and find out whether she’s really a woman or a entitled stupid girl on her way to the penitentiary.";;;;"926590677693222917";https://twitter.com/TheCentryst/status/926590677693222917;applewaithe,YerOpinion
TheCentryst;2017-11-03 23:22;0;2;"Good these crazies are a pain.";;;;"926590372968648704";https://twitter.com/TheCentryst/status/926590372968648704;NetflixMulhouse,BuffaloBearGuy
applewaithe;2017-11-03 23:21;3;9;"Ivanka must have felt by now that she is as popular in Japan as she was in Germany prob worse in UK.";;;;"926590212272144384";https://twitter.com/applewaithe/status/926590212272144384;applewaithe,YerOpinion
applewaithe;2017-11-03 23:18;0;5;"Kelly wants also for all to have to scratch empy barrels";;;;"926589308487704576";https://twitter.com/applewaithe/status/926589308487704576;lauren_ten,dash_bandy
TheCentryst;2017-11-03 23:17;0;2;"It will come back and bite her in that privileged and entitled ass.";;;;"926589179668070400";https://twitter.com/TheCentryst/status/926589179668070400;applewaithe,YerOpinion
