username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
OldSaukRiver;2017-11-03 22:40;0;0;"Again, you don't appear to have read my earlier responses,";;;;"926579922369265664";https://twitter.com/OldSaukRiver/status/926579922369265664;FartyMaloof3,1_1_1_1_1v,TEN_GOP
dearsarah;2017-11-03 22:40;0;0;"Missed this! Its excellent; thank you @shaft —good on you! https:// twitter.com/shaft/status/9 25747549641863169 …";;@shaft;;"926579821227806720";https://twitter.com/dearsarah/status/926579821227806720;dearsarah,TEN_GOP,shaft
OldSaukRiver;2017-11-03 22:37;0;0;"If you're posting to me, it doesn't sound like you've read my posts to you, earlier. 1/x";;;;"926579077238046720";https://twitter.com/OldSaukRiver/status/926579077238046720;FartyMaloof3,1_1_1_1_1v,TEN_GOP
dearsarah;2017-11-03 22:34;0;0;"FB & Twitter not only evade liability (& being called “media cos”) but they structurally ensure these voices have their own isolated lane.";;;;"926578461136715776";https://twitter.com/dearsarah/status/926578461136715776;dearsarah,TEN_GOP,shaft
dearsarah;2017-11-03 22:33;0;1;"Since Facebook & Twitter contract out, eg, customer service & content moderation, these folks have no voice at the company—or in the product";;;;"926578071079043072";https://twitter.com/dearsarah/status/926578071079043072;dearsarah,TEN_GOP,shaft
dearsarah;2017-11-03 22:31;0;0;"& how many contractors? Was it just raw pursuit of profit-democracy be damned-or other structural reasons these cos didn’t/don’t listen?";;;;"926577477744390144";https://twitter.com/dearsarah/status/926577477744390144;dearsarah,TEN_GOP,shaft
dearsarah;2017-11-03 22:29;0;0;"How many employees at Facebook, Twitter, Google etc brought up these issues & more—& were told, as @shaft was, to “stay in your lane”?";;@shaft;;"926576998268276737";https://twitter.com/dearsarah/status/926576998268276737;dearsarah,TEN_GOP,shaft
pauligirll;2017-11-03 22:27;0;0;". @TEN _ GOP was a Kremlin account.";;@TEN;;"926576637403045888";https://twitter.com/pauligirll/status/926576637403045888;4divots,coolnilk,TEN_GOP
dearsarah;2017-11-03 22:25;0;0;"Obvi smart folks at these cos “raised alarms” on fake news, , Cambridge Analytica & T-rump’s targeting, elections, Rohingya genocide...";;;;"926576161894711297";https://twitter.com/dearsarah/status/926576161894711297;dearsarah,TEN_GOP,shaft
dearsarah;2017-11-03 22:23;1;1;"@shaft for insisting Twitter asking “Who could’ve known” & take responsibility for not listening—& for valuing growth over security. pic.twitter.com/TiAfIe5MaL";;@shaft;;"926575652630757377";https://twitter.com/dearsarah/status/926575652630757377;dearsarah,TEN_GOP
dearsarah;2017-11-03 22:21;0;0;"Twitter brushed off warnings from employees about Russia-linked accounts https://www. vanityfair.com/news/2017/11/t witter-brushed-off-warnings-about-russia-linked-accounts … Disrupting democracy is profitable!";;;;"926575017210478593";https://twitter.com/dearsarah/status/926575017210478593;dearsarah,TEN_GOP
kwh561;2017-11-03 22:16;0;0;"@HuckSawyer2 congrats on calling @TEN _ GOP a Russian bot back in Sept 2016, u seem to have been the first https:// twitter.com/HuckSawyer2/st atus/779639821698494464 …";;@HuckSawyer2 @TEN;;"926573782399094784";https://twitter.com/kwh561/status/926573782399094784;TEN_GOP
BioExcel_Philly;2017-11-03 21:55;0;0;"Disturbing charges. NYT front page advertising liberal march in NYC tomorrow. Wouldn't that be considered a divisive event?";;;;"926568541440102400";https://twitter.com/BioExcel_Philly/status/926568541440102400;cwarzel,TEN_GOP
kwh561;2017-11-03 21:26;1;0;"it looks like the edited document in question was produced by some idiot on 4chan and then the screenshot was repropagated out on twitter. pic.twitter.com/teDwNWehiU";;;;"926561343779540992";https://twitter.com/kwh561/status/926561343779540992;emptywheel,pwnallthethings,TEN_GOP
emptywheel;2017-11-03 21:13;0;0;"Oh, yeah. That's a particularly special case of a release.";;;;"926557894597906433";https://twitter.com/emptywheel/status/926557894597906433;kwh561,pwnallthethings,TEN_GOP
kwh561;2017-11-03 21:11;0;0;"this was one of the first articles, it has a tweet shown in it but I remember seeing others at the time. researching http://www. economicpolicyjournal.com/2016/09/hot-dn c-pay-tor-play-ambassadorships.html …";;;;"926557377213673473";https://twitter.com/kwh561/status/926557377213673473;emptywheel,pwnallthethings,TEN_GOP
