username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
Rainer2602;2017-10-20 07:02;0;0;"Ich hoffe dass die Verantwortlichen schnell ermittelt werden.";;;;"921270402680225797";https://twitter.com/Rainer2602/status/921270402680225797;ThueringenBote
schraps66;2017-10-18 19:53;0;0;"Flüchtlingsboote "retten" ?";;;;"920739596480253952";https://twitter.com/schraps66/status/920739596480253952;ThueringenBote
Heester11;2017-10-18 18:54;0;0;"Manche Thüringer Würstchen sind zu allem fähig.";;;;"920724759242997760";https://twitter.com/Heester11/status/920724759242997760;ThueringenBote,Lars_TSPD
DonKurti1349;2017-10-17 10:07;0;0;"Was sind das nur für Menschen die Bombendrohungen gegen Krankenhaeuser machen";;;;"920229704942145536";https://twitter.com/DonKurti1349/status/920229704942145536;ThueringenBote
Rotgrimm;2017-10-16 16:24;0;0;"Es ist auch der Ruf des Winters.";;;;"919962336357765120";https://twitter.com/Rotgrimm/status/919962336357765120;ThueringenBote
DerMaki;2017-10-16 04:20;0;1;"Das „Blaue Wunder“ steht in Dresden. Nicht jede Brücke ist ein Wunder, nur weil sie blau ist. Die auf dem Bild z.B. ist schön, aber nichts besonderes.";;;;"919780027520241671";https://twitter.com/DerMaki/status/919780027520241671;ThueringenBote
Charly_S_aus_R;2017-10-15 14:43;0;0;"Danke. #mussmanwissen";;;#mussmanwissen;"919574543731253249";https://twitter.com/Charly_S_aus_R/status/919574543731253249;ThueringenBote
tyramizou;2017-10-15 14:17;0;0;"pic.twitter.com/WkrwsAZr2t";;;;"919568031969431553";https://twitter.com/tyramizou/status/919568031969431553;ThueringenBote
mbitterblue;2017-10-15 05:53;0;0;"Man schreibt es so: "zusammen zu arbeiten" - Nein. Ist nicht gemeint, verfälscht. Wahr: Jedes Ziel, was Leben erleichert, wird unterstützt.";;;;"919440964212658176";https://twitter.com/mbitterblue/status/919440964212658176;ThueringenBote
F_von_Steiner;2017-10-13 17:00;0;0;"Gleich verhaften und ans Kreuz nageln!!!";;;;"918884215059566597";https://twitter.com/F_von_Steiner/status/918884215059566597;ThueringenBote
JensSilbermann;2017-10-12 11:05;0;0;"Hätte man solch einen Vorschlag bei Frau von der Leyen gemacht, wäre es ein riesen Skandal - Nicht so bei der Wölfin!????";;;;"918432411674869760";https://twitter.com/JensSilbermann/status/918432411674869760;ThueringenBote
