username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
JayRodriguez;2017-11-01 19:21;1;4;"Includes: -30SecondsToMarsFandom - 666SteveRogers - MetsTheBest - TodayCincinnati - I_Am_a_Scatman https:// twitter.com/deray/status/9 25803071246098433 …";;;;"925804947291213824";https://twitter.com/JayRodriguez/status/925804947291213824;
stpaulplayersoh;2017-08-17 15:36;0;0;"@ENQThingsToDo @TodayCincinnati @Local12 @BobHerzog $5 off if you mention tweet. Please retweet. pic.twitter.com/PQ5ThA0sJM";;@ENQThingsToDo @TodayCincinnati @Local12 @BobHerzog;;"898207021174075393";https://twitter.com/stpaulplayersoh/status/898207021174075393;
DrMyEyz;2017-08-14 23:22;0;0;"Great news! Now #Cincinnati has to tear down #freedomcenter ! @TodayCincinnati @Enquirer @Local12 @WLWT @FOX19 @700wlw @BillHemmer";;@TodayCincinnati @Enquirer @Local12 @WLWT @FOX19 @700wlw @BillHemmer;#Cincinnati #freedomcenter;"897236967280304128";https://twitter.com/DrMyEyz/status/897236967280304128;
churchofbasebal;2017-08-08 23:00;0;0;"DJT goals: 1. Arrest users 2. Let Big Pharma that started a lot of the addiction get off scot-free. 3. Don't change any hospital policies.";;;;"895057152800419844";https://twitter.com/churchofbasebal/status/895057152800419844;TodayCincinnati
rupe45;2017-08-08 20:22;0;0;"Is that a serious question?";;;;"895017446993801216";https://twitter.com/rupe45/status/895017446993801216;TodayCincinnati
AghotteSteve;2017-08-07 17:37;0;0;"Let me help you on the Pete Rose issue. The man is incapable being truthful and now we find out he's a pedophile. God knows what's next?";;;;"894613547648507905";https://twitter.com/AghotteSteve/status/894613547648507905;TodayCincinnati
Bryan_Hackney;2017-08-06 13:24;0;0;"Last time I had to call, it rang 10 times before someone answered... used to never be like that";;;;"894187497898594304";https://twitter.com/Bryan_Hackney/status/894187497898594304;TodayCincinnati
mikerobb38;2017-08-06 01:59;0;0;"Big-time upset win";;;;"894015017221271553";https://twitter.com/mikerobb38/status/894015017221271553;TodayCincinnati
brinaallen;2017-08-06 01:49;0;0;"pic.twitter.com/LuDrJFlRye";;;;"894012470687387648";https://twitter.com/brinaallen/status/894012470687387648;TodayCincinnati
HarshfieldGreg;2017-08-04 22:49;0;3;"When I wanted to live downtown, I couldn't afford to. Now that I can afford to, I don't want to. So, no.";;;;"893604870326038528";https://twitter.com/HarshfieldGreg/status/893604870326038528;TodayCincinnati
RayshonMack;2017-08-04 14:14;0;0;"Would you?";;;;"893475200104321025";https://twitter.com/RayshonMack/status/893475200104321025;TodayCincinnati
Dante7237;2017-08-04 12:19;0;0;"Didn't they just pull a gator out of there?";;;;"893446380387278848";https://twitter.com/Dante7237/status/893446380387278848;TodayCincinnati
ThatSchoolcraft;2017-08-04 02:42;0;0;"Wot?";;;;"893301094750855168";https://twitter.com/ThatSchoolcraft/status/893301094750855168;TodayCincinnati
JNLIII;2017-08-03 02:43;0;0;"Odds that since Dantonio came in and cleaned up UC FBALL Kelly and Jones rode on his coat tails to bigger programs - just pay me all u bet.";;;;"892938828817862656";https://twitter.com/JNLIII/status/892938828817862656;TodayCincinnati
mikerobb38;2017-08-03 01:51;0;0;"The pressure is on Kelly and Dantonio are on hot seats to get the team to bowl games this year";;;;"892925828841000960";https://twitter.com/mikerobb38/status/892925828841000960;TodayCincinnati
PastorPitman;2017-08-03 00:27;0;0;"The latest The Exception Noted Daily! http:// paper.li/PastorPitman/1 336868874?edition_id=879829a0-77e2-11e7-970d-002590a5ba2d … Thanks to @onenewsnowcom @TodayCincinnati @JeanDReinhardt #leadership #tcot";;@onenewsnowcom @TodayCincinnati @JeanDReinhardt;#leadership #tcot;"892904724638445568";https://twitter.com/PastorPitman/status/892904724638445568;
HockettTimmy;2017-08-02 21:55;0;0;"I think Cincinnati will get a mls soccer franchase and I think they will play their games at paul brown stadium my vote is yes";;;;"892866595004928000";https://twitter.com/HockettTimmy/status/892866595004928000;TodayCincinnati
Merkinstein;2017-08-01 03:12;0;0;"Good. RT @TodayCincinnati : Bengals' George Iloka avoids major injury, but out 3-4 weeks http://www. cincinnati.com/story/sports/n fl/bengals/2017/07/31/cincinnati-bengals-george-iloka-avoids-major-injury-but-out-3-4-weeks/527399001/ … https://twitter.com/TodayCincinnati/status/892216156244910082/photo/1 pic.twitter.com/mbhZLT4iiR";;@TodayCincinnati;;"892221475964555265";https://twitter.com/Merkinstein/status/892221475964555265;
DrMyEyz;2017-07-30 16:17;0;0;"This is YOU @SenSherrodBrown @TimRyan @SenateFloor @HouseDemocrats @HouseGOP @senrobportman @RepSteveChabot @WLWT @TodayCincinnati @700wlw https:// twitter.com/genemcvay/stat us/891693182618144768 …";;@SenSherrodBrown @TimRyan @SenateFloor @HouseDemocrats @HouseGOP @senrobportman @RepSteveChabot @WLWT @TodayCincinnati @700wlw;;"891694195110555648";https://twitter.com/DrMyEyz/status/891694195110555648;
