username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
msantoni;2017-11-01 20:46;0;0;"Congress releases Russian Facebook ads, Twitter accts including local-news site @TodayPittsburgh https:// shar.es/1Px8bl via @TribLIVE";;@TodayPittsburgh @TribLIVE;;"925826527480119297";https://twitter.com/msantoni/status/925826527480119297;
ReedMartha;2017-05-29 12:43;3;1;"Don't miss @CityofAsylum local author event June 17th: http://www. littsburgh.com/spotlight-pitt sburgh-sisters-crime/ … #SinC30 @Littsburgh @TodayPittsburgh";;@CityofAsylum @Littsburgh @TodayPittsburgh;#SinC30;"869172466148626433";https://twitter.com/ReedMartha/status/869172466148626433;
DawnMisodawn;2017-05-15 18:09;0;0;"Hey @TodayPittsburgh @ToccaraStano thanks for being top new followers this week! Much appreciated :) >> Get FREE? https:// bit.ly/_tweet_thanks_ new_followers …";;@TodayPittsburgh @ToccaraStano;;"864181028272918529";https://twitter.com/DawnMisodawn/status/864181028272918529;
jng_investments;2017-05-08 17:07;0;0;"Thanks for the recent follow @TodayPittsburgh @pgiblett @EstateSalesOrg Happy to connect :) have a great Monday. https:// commun.it/thank-you/?aid =thankyou134 …";;@TodayPittsburgh @pgiblett @EstateSalesOrg;;"861628703679422466";https://twitter.com/jng_investments/status/861628703679422466;
CityLifeStabbs;2017-05-01 17:02;0;0;"Share the love: @TodayPittsburgh @enmusic06 , thanks for being top new followers this week :) >> Want this ? https:// commun.it/get-more-follo wers/?aid=thankyou154 …";;@TodayPittsburgh @enmusic06;;"859090611118493696";https://twitter.com/CityLifeStabbs/status/859090611118493696;
JoshDeMaria;2017-04-25 22:01;0;0;"They should use this the next time teachers demand a raise";;;;"856991509530517512";https://twitter.com/JoshDeMaria/status/856991509530517512;TodayPittsburgh
MysteryLovers1;2017-04-25 18:50;2;2;"RT @ReedMartha : Hey @TodayPittsburgh Self-Pub curious? Hear the inside scoop! Sat, May 13 2-3:30 PM. @MysteryLovers1 pic.twitter.com/RfqAjs90th";;@ReedMartha @TodayPittsburgh @MysteryLovers1;;"856943430257324034";https://twitter.com/MysteryLovers1/status/856943430257324034;
ReedMartha;2017-04-25 11:25;5;5;"Hey @TodayPittsburgh Self-Pub curious? Hear the inside scoop! Sat, May 13 2-3:30 PM. @MysteryLovers1 @littsburgh @CityPGH @PittsburghPG pic.twitter.com/7urFaCC6WM";;@TodayPittsburgh @MysteryLovers1 @littsburgh @CityPGH @PittsburghPG;;"856831518244732929";https://twitter.com/ReedMartha/status/856831518244732929;
BurnsBrodney;2017-04-25 02:59;0;0;"Show up for some town hall meetings";;;;"856704307919556608";https://twitter.com/BurnsBrodney/status/856704307919556608;TodayPittsburgh
sophieli4u4ever;2017-04-24 13:11;0;0;"@TodayPittsburgh thank you for retweeting!";;@TodayPittsburgh;;"856495784891752448";https://twitter.com/sophieli4u4ever/status/856495784891752448;sophieli4u4ever,TodayPittsburgh
StuOutside;2017-04-24 11:08;0;0;"Hey PPD, how about a storefront precinct in the South Side?";;;;"856464749097357312";https://twitter.com/StuOutside/status/856464749097357312;TodayPittsburgh
jill_deberry;2017-04-23 22:34;0;3;"@ChristenTubbs what a beautiful child...God bless him and his family.";;@ChristenTubbs;;"856275076488077314";https://twitter.com/jill_deberry/status/856275076488077314;TodayPittsburgh
zwaite;2017-04-23 15:35;0;1;"While in #Pittsburgh don't miss #Randyland - a definite #gem @BoringPGH @PittsburghMaps @TodayPittsburgh pic.twitter.com/EfJLEIZJIQ – bei Randyland";;@BoringPGH @PittsburghMaps @TodayPittsburgh;#Pittsburgh #Randyland #gem;"856169689420115968";https://twitter.com/zwaite/status/856169689420115968;
nickjsciullo;2017-04-23 03:36;0;0;"@TodayPittsburgh thanks for the follow! #daburgh #pgh #pittsburgh #alleghenycounty #pa #pennsylvania";;@TodayPittsburgh;#daburgh #pgh #pittsburgh #alleghenycounty #pa #pennsylvania;"855988603779993600";https://twitter.com/nickjsciullo/status/855988603779993600;
Honor_Grace;2017-04-22 19:28;0;0;"@TodayPittsburgh Thnks for following-more on sharing honor,grace,&celebration with family @http://www. honorgracecelebrate.com Enjoy our books&blog too";;@TodayPittsburgh @http;;"855865989908615170";https://twitter.com/Honor_Grace/status/855865989908615170;
viTekiM;2017-04-22 02:01;0;0;"@TodayPittsburgh Did you want to interview me?";;@TodayPittsburgh;;"855602372017610753";https://twitter.com/viTekiM/status/855602372017610753;
AWalk_Husky;2017-04-22 01:38;0;3;"BREAKING NEWS: @TodayPittsburgh followed @BatDogBogie . Suspect they may be onto his secret identity of masked crusader of Pittsburgh. pic.twitter.com/o2Kw24ErwI";;@TodayPittsburgh @BatDogBogie;;"855596714857725953";https://twitter.com/AWalk_Husky/status/855596714857725953;
realBrianReid;2017-04-21 07:55;0;0;"@TodayPittsburgh I wonder why u guys decided to follow me? I'm small fry. But thanks, my tweets have been getting much, much better lately.";;@TodayPittsburgh;;"855329082946404352";https://twitter.com/realBrianReid/status/855329082946404352;
0xiclean;2017-04-21 02:45;0;0;"@TodayPittsburgh why are you following me I hate Armpittsburgh";;@TodayPittsburgh;;"855251153814257665";https://twitter.com/0xiclean/status/855251153814257665;
ThomasL53593975;2017-04-21 02:43;0;0;"@TodayPittsburgh Pittsburgh Today Crosby McDavid NHL Canada";;@TodayPittsburgh;;"855250532461674496";https://twitter.com/ThomasL53593975/status/855250532461674496;
