username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
davemaney;2017-11-03 16:38;1;1;"@DeemCEO @jimjonas @CentProj @GregOrman @JohnAvlon @DanBeldy";;@DeemCEO @jimjonas @CentProj @GregOrman @JohnAvlon @DanBeldy;;"926488881821655040";https://twitter.com/davemaney/status/926488881821655040;
BilyanaLilly;2017-11-02 19:29;0;1;"U.S. House of Reps Permanent Committee on Intelligence releases the names of over 2,700 #twitter accounts linked to #Russia . Among the winners: @_AnnaSwanson @_Becker_Gerald @_beglov @_Ben_Santos @_Billy_Moyer_ @_Edward_Connor_ @_Gabriel_Pope_ @_GeorgeSchultz_ @_ GregorVan";;@_AnnaSwanson @_Becker_Gerald @_beglov @_Ben_Santos @_Billy_Moyer_ @_Edward_Connor_ @_Gabriel_Pope_ @_GeorgeSchultz_ @_;#twitter #Russia;"926169503423008769";https://twitter.com/BilyanaLilly/status/926169503423008769;
EstabrookAaron;2017-11-01 22:53;0;2;"@GregOrman wrote book on this instead Monday morning quarterbacking @pmiller1693 (See #1 Amazon Bestseller https://www. amazon.com/Declaration-In dependents-Two-Party-Stranglehold-American/dp/1626343322 … ) #ksleg";;@GregOrman @pmiller1693;#1 #ksleg;"925858406463918085";https://twitter.com/EstabrookAaron/status/925858406463918085;EstabrookAaron,pmiller1693
JacobBojanski;2017-10-26 02:02;0;0;"Seriously @GregOrman you would have the SOS race. Little doubt in my mind.";;@GregOrman;;"923369313725308928";https://twitter.com/JacobBojanski/status/923369313725308928;pmiller1693
benbGATech;2017-10-25 18:22;0;0;"I was a professional wrestling commentator, and I purposely drew parallels to politics. Too much fake emotion.";;;;"923253465308106752";https://twitter.com/benbGATech/status/923253465308106752;CentProj,GregOrman
nealjsimon;2017-10-24 16:34;0;0;"Great insights from @GregOrman : “Americans are tired of the professional wrestling in politics” via @KCStar http://www. kansascity.com/opinion/reader s-opinion/guest-commentary/article178808306.html …";;@GregOrman @KCStar;;"922863762587209728";https://twitter.com/nealjsimon/status/922863762587209728;
CentProj;2017-10-23 14:55;7;9;"Centrist Project supporter Stephanie writes why she wants @GregOrman to run for #Kansas Governor as an independent https:// goo.gl/LJyjZq";;@GregOrman;#Kansas;"922476618999894016";https://twitter.com/CentProj/status/922476618999894016;
poorhouseinmo;2017-10-21 13:00;1;0;"@kcpt "Ruckus" was a good show. Shanin's bitterness & attacks of guests w different views turned it to trash. Update Ruckus, throw Mike out!";;@kcpt;;"921722944350511105";https://twitter.com/poorhouseinmo/status/921722944350511105;EMaterKCPT,kcchamber
KCPT;2017-10-19 18:11;1;3;"Tonight at 7pm on #RuckusKC : @MikeShanin interviews @kcchamber CEO @JReardonKC . Then the Ruckettes discuss @KCIAirport , @GregOrman & more. pic.twitter.com/Yx8bpDxBj6";;@MikeShanin @kcchamber @JReardonKC @KCIAirport @GregOrman;#RuckusKC;"921076384860200961";https://twitter.com/KCPT/status/921076384860200961;
EMaterKCPT;2017-10-19 17:11;3;6;"Tonight at 7:30 on #RuckusKC : 1on1 w/ @kcchamber @JReardonKC . Ruckettes discuss #NewKCI , @GregOrman , @KrisKobach1787 , @HawleyMO , @clairecmc . pic.twitter.com/shSivtcH5m";;@kcchamber @JReardonKC @GregOrman @KrisKobach1787 @HawleyMO @clairecmc;#RuckusKC #NewKCI;"921061286536011777";https://twitter.com/EMaterKCPT/status/921061286536011777;
Dnavarrojr;2017-10-19 14:17;0;2;"If you split the vote and Kobach is elected, will you publicly accept responsibility?";;;;"921017452233936896";https://twitter.com/Dnavarrojr/status/921017452233936896;GregOrman
ianpatrickhines;2017-10-18 17:21;0;0;"@GregOrman";;@GregOrman;;"920701330024517632";https://twitter.com/ianpatrickhines/status/920701330024517632;
ianpatrickhines;2017-10-18 15:43;0;0;"Pick a Monday or Thursday night, and I’ll be there.";;;;"920676721849982976";https://twitter.com/ianpatrickhines/status/920676721849982976;ltthompso,Joel_Searby
