username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
badpjofanfic;2017-11-01 11:32;0;0;"Travis Jason Leo and Percy are friends but fierce rivals. Which is the master";;;;"925687077802467328";https://twitter.com/badpjofanfic/status/925687077802467328;
greenwichborofc;2017-10-31 21:19;0;1;"SUB: Leo Goring replaced Travis Gregory (78') https://www. footballwebpages.co.uk/match/isthmian -football-league-cup/dulwich-hamlet/greenwich-borough/20292 …";;;;"925472353005592584";https://twitter.com/greenwichborofc/status/925472353005592584;
Campamentos_SP;2017-10-31 20:05;2;0;"cualquiera que se enamore de cameron travis seth damian y leo https:// twitter.com/Campamentos_SP /status/925453647571488768 …";;;;"925453806795620354";https://twitter.com/Campamentos_SP/status/925453806795620354;
doeisaboss;2017-10-30 02:23;0;0;"Doubt its storyline cause leo ain't a heal..";;;;"924823995807076352";https://twitter.com/doeisaboss/status/924823995807076352;Travis_FowlHark,atomflower
ARKTKTmusic;2017-10-29 16:14;0;1;"Managed to party with Travis Scott and Leo DiCaprio last night. I think that makes up for last halloweekend";;;;"924670822966611968";https://twitter.com/ARKTKTmusic/status/924670822966611968;
ceci1899;2017-10-29 00:01;0;1;"Cuanto más leo este libro, más me sorprende, porque está claro que tengo a un " Travis Maddox" a mi lado JAJAJA";;;;"924426011562921985";https://twitter.com/ceci1899/status/924426011562921985;
paulstring182;2017-10-28 21:10;0;1;"Sim mano, os três mandarem demais! Mas fiquei MUITO feliz que o Skiba fez bem a parte dele e não tem reclamação. Travis é o Travis né hahaha";;;;"924382861041590273";https://twitter.com/paulstring182/status/924382861041590273;leo_tmt182
stbmrsevans;2017-10-28 03:37;0;1;"Travis and I got matching horoscope necklaces. Except.. his isn't Leo lol";;;;"924117860045197312";https://twitter.com/stbmrsevans/status/924117860045197312;
ZCalcio;2017-10-24 04:02;1;2;"Once Travis and Leo retire, this generation is officially finished https:// twitter.com/zcalcio/status /922666993496584192 …";;;;"922674726769692672";https://twitter.com/ZCalcio/status/922674726769692672;
Jessietellerbt;2017-10-24 02:25;0;0;"shipments was hijacked. Travis was killed and Leo was left for dead. He's in bad shape right now.";;;;"922650338821361669";https://twitter.com/Jessietellerbt/status/922650338821361669;LolaLexBT,johnnylawlessbt
geenaehlich;2017-10-23 08:03;0;1;"Leo ’s playlist goes from Alex K to Travis Scott .. makes no sense";;;;"922372918775910401";https://twitter.com/geenaehlich/status/922372918775910401;
TradeBot5k;2017-10-21 06:16;2;1;"Leo Komarov to the Flyers for Travis Sanheim #NHLTrade";;;#NHLTrade;"921621230062579713";https://twitter.com/TradeBot5k/status/921621230062579713;
nachoaguilar;2017-10-20 18:08;0;1;"Travis County Sheriff's office confirms Sheriff Hernandez is attending roundtable discussion w/Sessions and other LEOs . #Immigration";;;#Immigration;"921438034545037315";https://twitter.com/nachoaguilar/status/921438034545037315;
badpjofanfic;2017-10-17 14:32;0;0;"Travis Jason Leo and Percy are friends but fierce rivals. Which is the master";;;;"920296538424799232";https://twitter.com/badpjofanfic/status/920296538424799232;
neighboneless;2017-10-15 18:03;0;0;"alex høgh travis fimmel ed westwick johnny depp leo dicaprio 5 tbm https:// twitter.com/dracaryens/sta tus/919423596853972998 …";;;;"919624784308244485";https://twitter.com/neighboneless/status/919624784308244485;
bcautyqueensp;2017-10-15 01:36;2;3;"Menciono a Travis y luego leo a su user queriendo conseguirle novia :(";;;;"919376446900011008";https://twitter.com/bcautyqueensp/status/919376446900011008;
badpjofanfic;2017-10-14 08:32;0;0;"Travis Jason Leo and Percy are friends but fierce rivals. Which is the master";;;;"919118774682263552";https://twitter.com/badpjofanfic/status/919118774682263552;
Pebb_StuCo;2017-10-14 00:53;3;19;"it’s GAME TIME Leo and Travis are READY!!! pic.twitter.com/MxjdzxY17x";;;;"919003097892052992";https://twitter.com/Pebb_StuCo/status/919003097892052992;
aproposdeseins;2017-10-13 22:46;0;2;"Scorpios: Leo DiCaprio, Travis Barker, Ryan Reynolds, Drake Geminis: Trump, Blake Shelton, @Uhlexahs Wow, what a debate";;@Uhlexahs;;"918971145231224833";https://twitter.com/aproposdeseins/status/918971145231224833;
irmadopercyj;2017-10-13 01:22;2;25;"Ja tem Nico Thalia Reyna Leo Will Hazel Annabeth Percy Frank Travis e connor Luke Tyson Bianca Rachel Hestia Piper Srta O'leary";;;;"918648109923753985";https://twitter.com/irmadopercyj/status/918648109923753985;
_Boneeee;2017-10-12 21:25;0;0;"Leo Travis wossop https:// twitter.com/_travis_23/sta tus/918578464856428545 …";;;;"918588398843191297";https://twitter.com/_Boneeee/status/918588398843191297;
mioneverdeen;2017-10-12 02:18;1;2;"Nico e Leo já foram citados, então vou citar Travis e Connor Stoll";;;;"918299811937509376";https://twitter.com/mioneverdeen/status/918299811937509376;irmadopercyj
jackthehatphoto;2017-10-11 20:48;0;1;"Billy, Corey, Travis , Leo , Albert & Winston are already on our list of tenants :-)";;;;"918216873250041857";https://twitter.com/jackthehatphoto/status/918216873250041857;3LeggedThing
KirstiQueTee;2017-10-11 03:44;0;0;"Yea! With Travis Scott!";;;;"917959004906811393";https://twitter.com/KirstiQueTee/status/917959004906811393;_Leo_Starlight_
teemcee;2017-10-10 22:24;0;0;"Women make up approximately half of the population and are represented by 12% of sworn LEOs . Of 14K agencies, < 250 have female chiefs.";;;;"917878516917477377";https://twitter.com/teemcee/status/917878516917477377;Travis_Brown512,clstevens1972,danieltosh
KwikStiks;2017-10-09 21:55;0;1;"Gonna play this gig tonight for you Uncle Leo !!! 2012 Macadelic Tour with Travis … https://www. instagram.com/p/BaCwiYegKys/";;;;"917508776508510209";https://twitter.com/KwikStiks/status/917508776508510209;
aeronautic1;2017-10-08 14:13;0;0;"Police are a REACTIONARY FORCE. Don’t show up until AFTER the assault, rape or murder has occurred. When seconds count, LEO 20 mins away.";;;;"917030179217838081";https://twitter.com/aeronautic1/status/917030179217838081;travis_may1,marklevinshow
TiT4N_yt;2017-10-08 13:23;0;0;"J'aime une vidéo @YouTube : "Freeride au Japon avec Travis Rice & Léo Slemett !" à l'adresse http:// youtu.be/OhGMklaejcY?a .";;@YouTube;;"917017540295036928";https://twitter.com/TiT4N_yt/status/917017540295036928;
Adventurergab;2017-10-08 02:39;0;8;"My hair went from travis to backstreet boy to yung leo dicaprio and im ok with it";;;;"916855531456806912";https://twitter.com/Adventurergab/status/916855531456806912;
dolle_tom;2017-10-07 23:21;0;0;"J'aime une vidéo @YouTube : "Freeride au Japon avec Travis Rice & Léo Slemett !" à l'adresse http:// youtu.be/OhGMklaejcY?a .";;@YouTube;;"916805795215527936";https://twitter.com/dolle_tom/status/916805795215527936;
_guimesquitaa;2017-10-06 21:35;0;1;"como de costume né , travis foda p crlh";;;;"916416666120138753";https://twitter.com/_guimesquitaa/status/916416666120138753;rpmxnter
PaulyDeathwish;2017-10-06 02:40;1;1;"Awesome, Travis ! Thanks for all your years of service as combat vet and LEO . And you are still kicking ass :)";;;;"916131060852908033";https://twitter.com/PaulyDeathwish/status/916131060852908033;WarriorforKids,TNeliton
MartinBlancoo;2017-10-05 17:53;0;0;"Amo la OLD amo a 50cent Eminem 2pac etc... Pero lo mío es el trap Kidd Leo Travis Scott etc...";;;;"915998333914763264";https://twitter.com/MartinBlancoo/status/915998333914763264;
HeyImCi;2017-10-05 01:01;0;1;"Meu deus, seria o Travis Barker???";;;;"915743692601864193";https://twitter.com/HeyImCi/status/915743692601864193;leo_tmt182
Campamentos_SP;2017-10-02 21:12;0;0;"En verdad estoy entre Travis , Damian o Leo pero no le hablo a ninguna/o de sus users ok";;;;"914961336857169920";https://twitter.com/Campamentos_SP/status/914961336857169920;
tj__shime;2017-10-02 14:18;0;0;"Travis 漢字出来ないJapan";;;;"914857211104436224";https://twitter.com/tj__shime/status/914857211104436224;sky___LEO
prettymessy_sp;2017-10-02 14:04;0;1;"Leo a Travis y a Silena y diabetes me da";;;;"914853610168705024";https://twitter.com/prettymessy_sp/status/914853610168705024;
wow_air;2017-10-02 08:51;0;0;"...a closer look at this. - Leo 2/2 https:// twitter.com/messages/compo se?recipient_id=399388492 …";;;;"914774948350251008";https://twitter.com/wow_air/status/914774948350251008;Travis_thornell
xPlutoDaughter;2017-10-02 04:28;0;0;"Travis , superalo. No voy a estar con Leo nunca.";;;;"914708674140082176";https://twitter.com/xPlutoDaughter/status/914708674140082176;
calimishell94;2017-09-30 14:51;0;1;"last night top drunk conversation: " travis scott is a taurus that belongs with a libra not a leo ! we need to drive to houston & save him"";;;;"914140638001664000";https://twitter.com/calimishell94/status/914140638001664000;
theseanhooker;2017-09-29 15:23;0;0;"Is that Jack Travis , corrupt cop from Lethal Weapon 3, who savagely shot Leo Getz during that hockey game in 1992. pic.twitter.com/l3FdYl5yTT";;;;"913786341510516736";https://twitter.com/theseanhooker/status/913786341510516736;KevinMKruse
DorianHarvilli1;2017-09-29 00:47;0;1;"hi yes reminder i would die for percy, annabeth, grover,nico, will jason, piper, leo ,hazel ,frank, reyna ,katie , travis ,conner and thalia.";;;;"913565769056899072";https://twitter.com/DorianHarvilli1/status/913565769056899072;
travie_p817;2017-09-28 20:59;0;0;"Travis , Leo , black and gold https:// twitter.com/forkurtcobain/ status/912361990693191680 …";;;;"913508528232517633";https://twitter.com/travie_p817/status/913508528232517633;
morz_e;2017-09-28 19:46;0;0;"I see pics of her with jordyn more than I do of her with travis Scott. Proper Leo she is";;;;"913490191821807617";https://twitter.com/morz_e/status/913490191821807617;
Bymonkid;2017-09-27 13:55;0;0;"Men yo saco damas gratis, las pelotas, leo garcia y algunos mas, y traigo a uzi o travis scott";;;;"913039285712031744";https://twitter.com/Bymonkid/status/913039285712031744;agvstind
ZodiiacQueen;2017-09-26 21:50;0;0;"#Leo Kylie Jenner is confirmed to be pregnant by #Taurus Travis Scott. The two started dating after she and #Scorpio Tyra broke up";;;#Leo #Taurus #Scorpio;"912796474802675712";https://twitter.com/ZodiiacQueen/status/912796474802675712;
maintainjordan;2017-09-25 20:13;4;2;"MIGUEL LOVES KALI JAYDEN LOVES LEO DUSTIN LOVES YOU TRAVIS LOVES STEPH CODY LOVES COURT";;;;"912409744060633088";https://twitter.com/maintainjordan/status/912409744060633088;haleysws
DitaVonChaos;2017-09-24 03:16;0;0;"I'm only going to follow Travis , Zac, Brock, and Leo .";;;;"911791367109660672";https://twitter.com/DitaVonChaos/status/911791367109660672;GrumpRen
goldmedalsteph;2017-09-23 23:22;2;4;"leo and i were calmly watching the video of gambit he has and I SCREAMED SO LOUD AND RAN TO THE CORNER BC HE CAUGHT TRAVIS SMILING AT ME";;;;"911732518751227904";https://twitter.com/goldmedalsteph/status/911732518751227904;
ppaolabaca;2017-09-23 01:35;0;0;"Travis Scott is a Taurus and Kylie is a Leo so you just know it's all going to end very badly";;;;"911403507462193152";https://twitter.com/ppaolabaca/status/911403507462193152;
ninthcloudx;2017-09-23 00:11;0;0;"Naaaaa :0 yo leo que es de Travis";;;;"911382485703036928";https://twitter.com/ninthcloudx/status/911382485703036928;mikedrug
