username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
GaysWithKids;2017-06-05 15:15;0;0;"We’ve been following dads Adam (im_adam _nee) and Michael with their son on their #gaycation … https://www. instagram.com/p/BU9mm31FeOE/";;;#gaycation;"871747241660342272";https://twitter.com/GaysWithKids/status/871747241660342272;
serkanfaca;2017-06-01 13:26;0;0;"TV'lerdeki DİN,TÜCCAR'LARI acaba,ihale yolsuzlukları,benim Adam'ım,adam 'ıma afaki maaş,bunlara'da deyinirmi acaba elbette hayır,";;;;"870270256056500224";https://twitter.com/serkanfaca/status/870270256056500224;
syildiz19033455;2017-03-06 12:59;0;0;"beşiktaş adamımadam yapar";;;;"838735879510327296";https://twitter.com/syildiz19033455/status/838735879510327296;Mustafacevik10,vlknyildiz52,sureyyasoner
Mevlanaidris;2017-01-17 11:51;13;68;"AdamımAdam : pic.twitter.com/Lwe9R9vEYG";;;;"821324061011836928";https://twitter.com/Mevlanaidris/status/821324061011836928;
Lemsipz_TV;2016-10-24 20:36;0;3;"Wait we have another adam? Im adam too";;;;"790653321493315584";https://twitter.com/Lemsipz_TV/status/790653321493315584;EKOeSports,RealityCS
lizmacdraws;2016-09-11 01:22;1;4;"Happy birthday, Adam! @im_adam_barrett pic.twitter.com/cMtzYfP99F";;@im_adam_barrett;;"774780050164113408";https://twitter.com/lizmacdraws/status/774780050164113408;
NSRasta;2016-09-09 11:36;1;1;"Happy #Birthday Adam! @im_adam_barrett Maybe @nickcave 'll send you his newly released SKELETON TREE album or wish? pic.twitter.com/vwxUTtCSsy";;@im_adam_barrett @nickcave;#Birthday;"774209757007577088";https://twitter.com/NSRasta/status/774209757007577088;
tiff_settledown;2016-08-17 07:06;0;0;"adam: im adam nick: hes adam adam&nick: ... adam: and this is nick @AdamBongo @Nick_TheHat pic.twitter.com/HBeAA3Ef9S";;@AdamBongo @Nick_TheHat;;"765807026865831936";https://twitter.com/tiff_settledown/status/765807026865831936;
Dubusaurus;2016-04-24 22:14;0;1;"ADAM IM ADAM NO LIE THERE https:// twitter.com/grounderiana/s tatus/724211011197104130 …";;;;"724360774198517761";https://twitter.com/Dubusaurus/status/724360774198517761;jasperjordam
AkAyse42;2016-04-17 11:18;2;1;"@SiyasiMit Benim bacı oldugum nereden biliyorsun O benim çocuğumun adı ADAM ım ADAM";;@SiyasiMit;;"721659059108229121";https://twitter.com/AkAyse42/status/721659059108229121;
donutlover1345;2016-01-03 19:17;0;0;"@Settledownkids honestly the best one...... Ryan* what did you get nick? Adam* im adam Ryan* shit or fuck Me* got me dead asf";;@Settledownkids;;"683729028050620416";https://twitter.com/donutlover1345/status/683729028050620416;
