username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
mgc0083;2017-08-18 17:29;0;1;"@MittRomney you are out of touch with middle class Americans& 100% out of touch with Poor People.Your eloquent speech- is haughty,&hollow.";;@MittRomney;;"898597854511419397";https://twitter.com/mgc0083/status/898597854511419397;anaaleSSIs,teamcombover16
ralph_ralph1156;2017-08-18 17:18;0;0;"@FoxNews @DanaPerino";;@FoxNews @DanaPerino;;"898594849364029440";https://twitter.com/ralph_ralph1156/status/898594849364029440;anaaleSSIs
ralph_ralph1156;2017-08-18 17:17;0;0;"@MikeSigner so the truth comes out Obamas flunky told the cops to stand down and let them riots @EboniKWilliams you are a lawyer investigate";;@MikeSigner @EboniKWilliams;;"898594642605871105";https://twitter.com/ralph_ralph1156/status/898594642605871105;anaaleSSIs
Jerrycbptr2010;2017-08-18 17:12;0;0;"I like his shirt. "Think, it's not illegal yet"";;;;"898593475477753858";https://twitter.com/Jerrycbptr2010/status/898593475477753858;anaaleSSIs
ralph_ralph1156;2017-08-18 17:04;0;0;"@EboniKWilliams here we go with the real thruth. @GovMcAuliffe @CNN @sengraham2016 @marcorubio you all were wrong";;@EboniKWilliams @GovMcAuliffe @CNN @sengraham2016 @marcorubio;;"898591399926308864";https://twitter.com/ralph_ralph1156/status/898591399926308864;anaaleSSIs
EdwardGoebbels;2017-08-18 11:27;0;0;"I think you're justified";;;;"898506626742734848";https://twitter.com/EdwardGoebbels/status/898506626742734848;anaaleSSIs
USMC1035;2017-08-18 07:53;0;0;"If they are so tough, why do they hide their faces?";;;;"898452838782652416";https://twitter.com/USMC1035/status/898452838782652416;anaaleSSIs
TessLanei;2017-08-18 07:50;0;0;"Hope Trumps Mexican and Black vote sets records next election.";;;;"898451955491545090";https://twitter.com/TessLanei/status/898451955491545090;anaaleSSIs,FriendofAm
LatinGeneral;2017-08-18 07:15;0;0;"Thanks for sharing! Must go viral!!...";;;;"898443201882673152";https://twitter.com/LatinGeneral/status/898443201882673152;anaaleSSIs,DeplorablMe
knkstumpy;2017-08-18 07:13;0;0;"Paris put the #AltLeft on notice. He is his own man and won't be a pawn in the ridiculous attacks on Trump or his own status. #Respect";;;#AltLeft #Respect;"898442826932822017";https://twitter.com/knkstumpy/status/898442826932822017;anaaleSSIs
DeplorablMe;2017-08-18 07:10;0;0;"@donlemon Remember this? Still true!";;@donlemon;;"898441881750614018";https://twitter.com/DeplorablMe/status/898441881750614018;anaaleSSIs,ManMountain78R3
DeplorablMe;2017-08-18 07:09;0;0;"@MMFlint pay attention PLEASE! #trumptrain";;@MMFlint;#trumptrain;"898441738133528576";https://twitter.com/DeplorablMe/status/898441738133528576;anaaleSSIs,ManMountain78R3
Researcher_2017;2017-08-18 07:09;0;0;"pic.twitter.com/3BsiU6GqxV";;;;"898441661134524417";https://twitter.com/Researcher_2017/status/898441661134524417;anaaleSSIs,ManMountain78R3
snarkyaussie;2017-08-18 07:01;0;2;"Paris was awesome!";;;;"898439653644148737";https://twitter.com/snarkyaussie/status/898439653644148737;anaaleSSIs,ManMountain78R3
amystanley4242;2017-08-18 03:58;0;1;"Awesome!!";;;;"898393678263103488";https://twitter.com/amystanley4242/status/898393678263103488;anaaleSSIs,N8iveTucsonan
