username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;replyTo
dennelo67;2017-08-18 22:44;0;0;"@arieensLpe this is what came up for you......fyi. ???? pic.twitter.com/xQOWhGK9ed";;@arieensLpe;;"898677125150068736";https://twitter.com/dennelo67/status/898677125150068736;
WesleyTBrown2;2017-08-18 05:40;0;1;"Canada is going down the tubes, and this idiot wants to talk American politics. Better clean up his own yard before trying to clean ours.";;;;"898419389401145344";https://twitter.com/WesleyTBrown2/status/898419389401145344;NuveenKrollxx,borjesittler
WesleyTBrown2;2017-08-18 05:21;0;0;"And you KNOW that, how, mr. Canadian?";;;;"898414619806490625";https://twitter.com/WesleyTBrown2/status/898414619806490625;borjesittler,NuveenKrollxx
borjesittler;2017-08-18 05:17;0;0;"Not for long.";;;;"898413398110609409";https://twitter.com/borjesittler/status/898413398110609409;NuveenKrollxx,WesleyTBrown2
WesleyTBrown2;2017-08-18 05:11;0;1;"Driving libs crazy, one dose of reality at a time.";;;;"898412016150364164";https://twitter.com/WesleyTBrown2/status/898412016150364164;arieensLpe
WesleyTBrown2;2017-08-18 05:02;0;1;"That's funny as hell when you read it out loud.";;;;"898409834948640768";https://twitter.com/WesleyTBrown2/status/898409834948640768;NuveenKrollxx,harley_gernand,arieensLpe
JustKlowin;2017-08-17 21:29;0;0;"Soros is a pig all he want is America to flailand the left see no problem in it or mainstream";;;;"898295790585602049";https://twitter.com/JustKlowin/status/898295790585602049;arieensLpe
Jerzygma;2017-08-17 15:01;1;0;"@cnnbrk @MSNBC @ABC @CBSNews @NBCNews YOU ARE THE ONLY ONES RESPONSIBLE FOR THE DIVISIVENESS&HATE #fakenewsindustrialcomplex";;@cnnbrk @MSNBC @ABC @CBSNews @NBCNews;#fakenewsindustrialcomplex;"898198031522287618";https://twitter.com/Jerzygma/status/898198031522287618;arieensLpe
Dannaja64Danny;2017-08-17 14:59;0;0;"Snowflakes have to play the race card. Russian collusion is almost dead. It's all in the Democratic playbook nothing new here.";;;;"898197709227741185";https://twitter.com/Dannaja64Danny/status/898197709227741185;arieensLpe
JamesFe39958472;2017-08-17 14:42;1;1;"My President is what he says he's working on making America great again don't listen to the fake news";;;;"898193281900830720";https://twitter.com/JamesFe39958472/status/898193281900830720;arieensLpe,THETRUMPBUREAU
jaford57;2017-08-17 10:55;0;0;"Saw this on #CBS this morning. A must watch these women are wonderful!!";;;#CBS;"898136099616419840";https://twitter.com/jaford57/status/898136099616419840;arieensLpe
Dannaja64Danny;2017-08-17 08:54;0;0;"pic.twitter.com/JRTqCI38Ez";;;;"898105620833996802";https://twitter.com/Dannaja64Danny/status/898105620833996802;arieensLpe
toad462;2017-08-16 18:01;0;0;"Dirty-haired liberals, at that.";;;;"897881029440135168";https://twitter.com/toad462/status/897881029440135168;arieensLpe
RonnieLeonard13;2017-08-12 20:21;0;0;"@arieensLpe are you real";;@arieensLpe;;"896466790976507904";https://twitter.com/RonnieLeonard13/status/896466790976507904;
Winstonchurchil;2017-08-09 17:50;0;0;"are you a lesbian? You seem confused. Nothing wrong with meting a lesbian mind you.";;;;"895341606802399233";https://twitter.com/Winstonchurchil/status/895341606802399233;arieensLpe
